Phoneme,Type,Height,Backness,Diphthong,Place,Manner,Voiced,No_Stress,Length
AH,V,Mid,Central,False,,,,['AH'],1
OY,V,Mid,Back,True,,,,['OY'],1
AA,V,Low,Back,False,,,,['AA'],1
AY,V,Low,Central,True,,,,['AY'],1
ER,V,Mid,Central,False,,,,['ER'],1
AO,V,Mid,Back,False,,,,['AO'],1
UW,V,High,Back,False,,,,['UW'],1
IH,V,High,Front,False,,,,['IH'],1
EH,V,Mid,Front,False,,,,['EH'],1
UH,V,High,Back,False,,,,['UH'],1
IY,V,High,Front,False,,,,['IY'],1
EY,V,Mid,Front,True,,,,['EY'],1
OW,V,Mid,Back,True,,,,['OW'],1
AE,V,Low,Front,False,,,,['AE'],1
AW,V,Low,Central,True,,,,['AW'],1
P,C,,,,Labial,Stop,False,['P'],1
T,C,,,,Coronal,Stop,False,['T'],1
K,C,,,,Dorsal,Stop,False,['K'],1
B,C,,,,Labial,Stop,True,['B'],1
D,C,,,,Coronal,Stop,True,['D'],1
G,C,,,,Dorsal,Stop,True,['G'],1
F,C,,,,Labial,Fricative,False,['F'],1
TH,C,,,,Coronal,Fricative,False,['TH'],1
S,C,,,,Coronal,Fricative,False,['S'],1
SH,C,,,,Coronal,Fricative,False,['SH'],1
Z,C,,,,Coronal,Fricative,True,['Z'],1
ZH,C,,,,Coronal,Fricative,True,['ZH'],1
V,C,,,,Labial,Fricative,True,['V'],1
DH,C,,,,Coronal,Fricative,True,['DH'],1
HH,C,,,,Glottal,Fricative,False,['HH'],1
CH,C,,,,Coronal,Stop,False,['CH'],1
JH,C,,,,Coronal,Stop,True,['JH'],1
M,C,,,,Labial,Nasal,True,['M'],1
N,C,,,,Coronal,Nasal,True,['N'],1
NG,C,,,,Dorsal,Nasal,True,['NG'],1
L,C,,,,Coronal,Approximant,True,['L'],1
R,C,,,,Coronal,Approximant,True,['R'],1
W,C,,,,Labial,Approximant,True,['W'],1
Y,C,,,,Coronal,Approximant,True,['Y'],1
