,Phonemes,No_Stress,Sonority,Type,Length
0,"['P', 'T', 'AH0']","['P', 'T', 'AH']",0,CCV,3
1,"['AH0', 'P', 'T']","['AH', 'P', 'T']",0,VCC,3
2,"['P', 'T', 'OY0']","['P', 'T', 'OY']",0,CCV,3
3,"['OY0', 'P', 'T']","['OY', 'P', 'T']",0,VCC,3
4,"['P', 'T', 'AA0']","['P', 'T', 'AA']",0,CCV,3
5,"['AA0', 'P', 'T']","['AA', 'P', 'T']",0,VCC,3
6,"['P', 'T', 'AY0']","['P', 'T', 'AY']",0,CCV,3
7,"['AY0', 'P', 'T']","['AY', 'P', 'T']",0,VCC,3
8,"['P', 'T', 'ER0']","['P', 'T', 'ER']",0,CCV,3
9,"['ER0', 'P', 'T']","['ER', 'P', 'T']",0,VCC,3
10,"['P', 'T', 'AO0']","['P', 'T', 'AO']",0,CCV,3
11,"['AO0', 'P', 'T']","['AO', 'P', 'T']",0,VCC,3
12,"['P', 'T', 'UW0']","['P', 'T', 'UW']",0,CCV,3
13,"['UW0', 'P', 'T']","['UW', 'P', 'T']",0,VCC,3
14,"['P', 'T', 'IH0']","['P', 'T', 'IH']",0,CCV,3
15,"['IH0', 'P', 'T']","['IH', 'P', 'T']",0,VCC,3
16,"['P', 'T', 'EH0']","['P', 'T', 'EH']",0,CCV,3
17,"['EH0', 'P', 'T']","['EH', 'P', 'T']",0,VCC,3
18,"['P', 'T', 'UH0']","['P', 'T', 'UH']",0,CCV,3
19,"['UH0', 'P', 'T']","['UH', 'P', 'T']",0,VCC,3
20,"['P', 'T', 'IY0']","['P', 'T', 'IY']",0,CCV,3
21,"['IY0', 'P', 'T']","['IY', 'P', 'T']",0,VCC,3
22,"['P', 'T', 'EY0']","['P', 'T', 'EY']",0,CCV,3
23,"['EY0', 'P', 'T']","['EY', 'P', 'T']",0,VCC,3
24,"['P', 'T', 'OW0']","['P', 'T', 'OW']",0,CCV,3
25,"['OW0', 'P', 'T']","['OW', 'P', 'T']",0,VCC,3
26,"['P', 'T', 'AE0']","['P', 'T', 'AE']",0,CCV,3
27,"['AE0', 'P', 'T']","['AE', 'P', 'T']",0,VCC,3
28,"['P', 'T', 'AW0']","['P', 'T', 'AW']",0,CCV,3
29,"['AW0', 'P', 'T']","['AW', 'P', 'T']",0,VCC,3
30,"['P', 'K', 'AH0']","['P', 'K', 'AH']",0,CCV,3
31,"['AH0', 'P', 'K']","['AH', 'P', 'K']",0,VCC,3
32,"['P', 'K', 'OY0']","['P', 'K', 'OY']",0,CCV,3
33,"['OY0', 'P', 'K']","['OY', 'P', 'K']",0,VCC,3
34,"['P', 'K', 'AA0']","['P', 'K', 'AA']",0,CCV,3
35,"['AA0', 'P', 'K']","['AA', 'P', 'K']",0,VCC,3
36,"['P', 'K', 'AY0']","['P', 'K', 'AY']",0,CCV,3
37,"['AY0', 'P', 'K']","['AY', 'P', 'K']",0,VCC,3
38,"['P', 'K', 'ER0']","['P', 'K', 'ER']",0,CCV,3
39,"['ER0', 'P', 'K']","['ER', 'P', 'K']",0,VCC,3
40,"['P', 'K', 'AO0']","['P', 'K', 'AO']",0,CCV,3
41,"['AO0', 'P', 'K']","['AO', 'P', 'K']",0,VCC,3
42,"['P', 'K', 'UW0']","['P', 'K', 'UW']",0,CCV,3
43,"['UW0', 'P', 'K']","['UW', 'P', 'K']",0,VCC,3
44,"['P', 'K', 'IH0']","['P', 'K', 'IH']",0,CCV,3
45,"['IH0', 'P', 'K']","['IH', 'P', 'K']",0,VCC,3
46,"['P', 'K', 'EH0']","['P', 'K', 'EH']",0,CCV,3
47,"['EH0', 'P', 'K']","['EH', 'P', 'K']",0,VCC,3
48,"['P', 'K', 'UH0']","['P', 'K', 'UH']",0,CCV,3
49,"['UH0', 'P', 'K']","['UH', 'P', 'K']",0,VCC,3
50,"['P', 'K', 'IY0']","['P', 'K', 'IY']",0,CCV,3
51,"['IY0', 'P', 'K']","['IY', 'P', 'K']",0,VCC,3
52,"['P', 'K', 'EY0']","['P', 'K', 'EY']",0,CCV,3
53,"['EY0', 'P', 'K']","['EY', 'P', 'K']",0,VCC,3
54,"['P', 'K', 'OW0']","['P', 'K', 'OW']",0,CCV,3
55,"['OW0', 'P', 'K']","['OW', 'P', 'K']",0,VCC,3
56,"['P', 'K', 'AE0']","['P', 'K', 'AE']",0,CCV,3
57,"['AE0', 'P', 'K']","['AE', 'P', 'K']",0,VCC,3
58,"['P', 'K', 'AW0']","['P', 'K', 'AW']",0,CCV,3
59,"['AW0', 'P', 'K']","['AW', 'P', 'K']",0,VCC,3
60,"['P', 'B', 'AH0']","['P', 'B', 'AH']",0,CCV,3
61,"['AH0', 'P', 'B']","['AH', 'P', 'B']",0,VCC,3
62,"['P', 'B', 'OY0']","['P', 'B', 'OY']",0,CCV,3
63,"['OY0', 'P', 'B']","['OY', 'P', 'B']",0,VCC,3
64,"['P', 'B', 'AA0']","['P', 'B', 'AA']",0,CCV,3
65,"['AA0', 'P', 'B']","['AA', 'P', 'B']",0,VCC,3
66,"['P', 'B', 'AY0']","['P', 'B', 'AY']",0,CCV,3
67,"['AY0', 'P', 'B']","['AY', 'P', 'B']",0,VCC,3
68,"['P', 'B', 'ER0']","['P', 'B', 'ER']",0,CCV,3
69,"['ER0', 'P', 'B']","['ER', 'P', 'B']",0,VCC,3
70,"['P', 'B', 'AO0']","['P', 'B', 'AO']",0,CCV,3
71,"['AO0', 'P', 'B']","['AO', 'P', 'B']",0,VCC,3
72,"['P', 'B', 'UW0']","['P', 'B', 'UW']",0,CCV,3
73,"['UW0', 'P', 'B']","['UW', 'P', 'B']",0,VCC,3
74,"['P', 'B', 'IH0']","['P', 'B', 'IH']",0,CCV,3
75,"['IH0', 'P', 'B']","['IH', 'P', 'B']",0,VCC,3
76,"['P', 'B', 'EH0']","['P', 'B', 'EH']",0,CCV,3
77,"['EH0', 'P', 'B']","['EH', 'P', 'B']",0,VCC,3
78,"['P', 'B', 'UH0']","['P', 'B', 'UH']",0,CCV,3
79,"['UH0', 'P', 'B']","['UH', 'P', 'B']",0,VCC,3
80,"['P', 'B', 'IY0']","['P', 'B', 'IY']",0,CCV,3
81,"['IY0', 'P', 'B']","['IY', 'P', 'B']",0,VCC,3
82,"['P', 'B', 'EY0']","['P', 'B', 'EY']",0,CCV,3
83,"['EY0', 'P', 'B']","['EY', 'P', 'B']",0,VCC,3
84,"['P', 'B', 'OW0']","['P', 'B', 'OW']",0,CCV,3
85,"['OW0', 'P', 'B']","['OW', 'P', 'B']",0,VCC,3
86,"['P', 'B', 'AE0']","['P', 'B', 'AE']",0,CCV,3
87,"['AE0', 'P', 'B']","['AE', 'P', 'B']",0,VCC,3
