,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Vowel Count,Consonant Count
0,attending,RLCH,real,long,complex,2.04e-05,7,4.31,"['AH0', 'T', 'EH1', 'N', 'D', 'IH0', 'NG']","['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']",VERB,3,4
1,commissioner,RLCH,real,long,complex,2.69e-05,8,4.43,"['K', 'AH0', 'M', 'IH1', 'SH', 'AH0', 'N', 'ER0']","['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N', 'ER']",NOUN,4,4
2,operation,RLCH,real,long,complex,8.32e-05,7,4.92,"['AA2', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",NOUN,4,3
3,hospitals,RLCH,real,long,complex,2.14e-05,9,4.33,"['HH', 'AA1', 'S', 'P', 'IH2', 'T', 'AH0', 'L', 'Z']","['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L', 'Z']",NOUN,3,6
4,acquisition,RLCH,real,long,complex,1.82e-05,9,4.26,"['AE2', 'K', 'W', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']","['AE', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",NOUN,4,5
5,drinking,RLCH,real,long,complex,5.13e-05,7,4.71,"['D', 'R', 'IH1', 'NG', 'K', 'IH0', 'NG']","['D', 'R', 'IH', 'NG', 'K', 'IH', 'NG']",VERB,2,5
6,universe,RLCH,real,long,complex,3.89e-05,7,4.59,"['Y', 'UW1', 'N', 'AH0', 'V', 'ER2', 'S']","['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S']",NOUN,3,4
7,obviously,RLCH,real,long,complex,6.31e-05,8,4.8,"['AA1', 'B', 'V', 'IY0', 'AH0', 'S', 'L', 'IY0']","['AA', 'B', 'V', 'IY', 'AH', 'S', 'L', 'IY']",ADV,4,4
8,physically,RLCH,real,long,complex,2e-05,8,4.3,"['F', 'IH1', 'Z', 'IH0', 'K', 'AH0', 'L', 'IY0']","['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L', 'IY']",ADV,4,4
9,awareness,RLCH,real,long,complex,2.75e-05,7,4.44,"['AH0', 'W', 'EH1', 'R', 'N', 'AH0', 'S']","['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']",NOUN,3,4
10,perfectly,RLCH,real,long,complex,4.07e-05,8,4.61,"['P', 'ER1', 'F', 'AH0', 'K', 'T', 'L', 'IY0']","['P', 'ER', 'F', 'AH', 'K', 'T', 'L', 'IY']",ADV,3,5
11,underground,RLCH,real,long,complex,2.09e-05,9,4.32,"['AH1', 'N', 'D', 'ER0', 'G', 'R', 'AW2', 'N', 'D']","['AH', 'N', 'D', 'ER', 'G', 'R', 'AW', 'N', 'D']",ADV,3,6
12,listening,RLCH,real,long,complex,4.57e-05,7,4.66,"['L', 'IH1', 'S', 'AH0', 'N', 'IH0', 'NG']","['L', 'IH', 'S', 'AH', 'N', 'IH', 'NG']",VERB,3,4
