seed	metric	n_points	mean	sd	min	max	lag1_absdiff_q95	lag1_absdiff_max	lag1_diff_sd	lag2_absdiff_q95	lag2_absdiff_max	lag2_diff_sd	lag5_absdiff_q95	lag5_absdiff_max	lag5_diff_sd	lag10_absdiff_q95	lag10_absdiff_max	lag10_diff_sd
s19	ltm_canonical_err	60	3291.5000	103.2905	3130.0000	3551.0000	248.9000	302.0000	132.1318	235.1000	273.0000	117.9360	286.4000	311.0000	133.2778	290.7500	330.0000	153.9571
s19	ltm_freear_err	60	3291.5167	103.2887	3130.0000	3551.0000	248.9000	302.0000	132.1212	235.1000	273.0000	117.9416	286.4000	311.0000	133.2738	290.7500	330.0000	153.9175
s19	c_err	60	35.7833	2.9291	30.0000	43.0000	7.0000	7.0000	3.5761	7.0000	8.0000	3.8441	6.3000	10.0000	3.5269	7.0000	9.0000	3.5585
s19	full_canonical_err	60	3.0000	1.4729	0.0000	7.0000	3.0000	4.0000	1.7852	3.0000	4.0000	1.5502	4.0000	5.0000	1.9078	3.0000	4.0000	1.8518
s19	full_freear_err	60	3.0000	1.4729	0.0000	7.0000	3.0000	4.0000	1.7852	3.0000	4.0000	1.5502	4.0000	5.0000	1.9078	3.0000	4.0000	1.8518
s19	wm_err	60	0.2000	0.4034	0.0000	1.0000	0.0000	1.0000	0.1857	1.0000	1.0000	0.2649	1.0000	1.0000	0.4303	1.0000	1.0000	0.6389
s19	naming_err	60	0.0333	0.1810	0.0000	1.0000	1.0000	1.0000	0.2626	1.0000	1.0000	0.2649	1.0000	1.0000	0.2722	1.0000	1.0000	0.2857
s20	ltm_canonical_err	60	3648.6500	136.1487	3415.0000	4025.0000	361.7000	526.0000	189.0335	485.5000	560.0000	215.0691	314.1000	518.0000	178.3322	339.6500	406.0000	171.7270
s20	ltm_freear_err	60	3648.6167	136.1828	3415.0000	4025.0000	361.7000	526.0000	189.0596	485.5000	560.0000	215.0972	314.1000	518.0000	178.3370	339.6500	406.0000	171.7390
s20	c_err	60	40.3500	2.7729	35.0000	51.0000	6.2000	13.0000	3.7531	6.1500	12.0000	3.8738	7.0000	10.0000	3.8836	7.6500	12.0000	4.0157
s20	full_canonical_err	60	0.7333	0.8804	0.0000	4.0000	2.1000	4.0000	1.2318	3.0000	4.0000	1.2634	3.0000	4.0000	1.2274	3.0000	4.0000	1.3250
s20	full_freear_err	60	0.7333	0.8804	0.0000	4.0000	2.1000	4.0000	1.2318	3.0000	4.0000	1.2634	3.0000	4.0000	1.2274	3.0000	4.0000	1.3250
s20	wm_err	60	0.2333	0.4265	0.0000	1.0000	1.0000	1.0000	0.5252	1.0000	1.0000	0.6489	1.0000	1.0000	0.6383	1.0000	1.0000	0.6224
s20	naming_err	60	0.0500	0.2198	0.0000	1.0000	1.0000	1.0000	0.3216	1.0000	1.0000	0.2957	1.0000	1.0000	0.3037	1.0000	1.0000	0.3188
