state_id	competence_category	n_items	errors_gained
W1_SRC	BOTH_CORRECT	26186	0
W1_SRC	WM_ONLY_CORRECT	3385	0
W1_SRC	LTM_ONLY_CORRECT	0	0
W1_SRC	NEITHER_CORRECT	0	0
W1_REP	BOTH_CORRECT	26169	0
W1_REP	WM_ONLY_CORRECT	3402	0
W1_REP	LTM_ONLY_CORRECT	0	0
W1_REP	NEITHER_CORRECT	0	0
W2_SRC	BOTH_CORRECT	26148	0
W2_SRC	WM_ONLY_CORRECT	3421	0
W2_SRC	LTM_ONLY_CORRECT	0	0
W2_SRC	NEITHER_CORRECT	2	0
W2_REP	BOTH_CORRECT	26140	0
W2_REP	WM_ONLY_CORRECT	3429	0
W2_REP	LTM_ONLY_CORRECT	0	0
W2_REP	NEITHER_CORRECT	2	0
W3_SRC	BOTH_CORRECT	26372	0
W3_SRC	WM_ONLY_CORRECT	3199	0
W3_SRC	LTM_ONLY_CORRECT	0	0
W3_SRC	NEITHER_CORRECT	0	0
W3_REP	BOTH_CORRECT	26378	0
W3_REP	WM_ONLY_CORRECT	3193	0
W3_REP	LTM_ONLY_CORRECT	0	0
W3_REP	NEITHER_CORRECT	0	0
W4_SRC	BOTH_CORRECT	25924	0
W4_SRC	WM_ONLY_CORRECT	3646	0
W4_SRC	LTM_ONLY_CORRECT	0	0
W4_SRC	NEITHER_CORRECT	1	0
W4_REP	BOTH_CORRECT	25909	0
W4_REP	WM_ONLY_CORRECT	3661	0
W4_REP	LTM_ONLY_CORRECT	0	0
W4_REP	NEITHER_CORRECT	1	0
