state_id	length	n_items	errors_gained
W1_SRC	2	456	0
W1_SRC	3	2428	0
W1_SRC	4	4415	0
W1_SRC	5	5561	0
W1_SRC	6	5758	0
W1_SRC	7	4726	0
W1_SRC	8	3755	0
W1_SRC	9	2472	0
W1_REP	2	456	0
W1_REP	3	2428	0
W1_REP	4	4415	0
W1_REP	5	5561	0
W1_REP	6	5758	0
W1_REP	7	4726	0
W1_REP	8	3755	0
W1_REP	9	2472	0
W2_SRC	2	456	0
W2_SRC	3	2428	0
W2_SRC	4	4415	0
W2_SRC	5	5561	0
W2_SRC	6	5758	0
W2_SRC	7	4726	0
W2_SRC	8	3755	0
W2_SRC	9	2472	0
W2_REP	2	456	0
W2_REP	3	2428	0
W2_REP	4	4415	0
W2_REP	5	5561	0
W2_REP	6	5758	0
W2_REP	7	4726	0
W2_REP	8	3755	0
W2_REP	9	2472	0
W3_SRC	2	456	0
W3_SRC	3	2428	0
W3_SRC	4	4415	0
W3_SRC	5	5561	0
W3_SRC	6	5758	0
W3_SRC	7	4726	0
W3_SRC	8	3755	0
W3_SRC	9	2472	0
W3_REP	2	456	0
W3_REP	3	2428	0
W3_REP	4	4415	0
W3_REP	5	5561	0
W3_REP	6	5758	0
W3_REP	7	4726	0
W3_REP	8	3755	0
W3_REP	9	2472	0
W4_SRC	2	456	0
W4_SRC	3	2428	0
W4_SRC	4	4415	0
W4_SRC	5	5561	0
W4_SRC	6	5758	0
W4_SRC	7	4726	0
W4_SRC	8	3755	0
W4_SRC	9	2472	0
W4_REP	2	456	0
W4_REP	3	2428	0
W4_REP	4	4415	0
W4_REP	5	5561	0
W4_REP	6	5758	0
W4_REP	7	4726	0
W4_REP	8	3755	0
W4_REP	9	2472	0
