item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5635952353477478	0.5635952353477478	0.4364047646522522	0.8278830647468567	0.09772586822509766	13.612011909484863	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5614134669303894	0.5614134669303894	0.4385865330696106	0.8234502673149109	0.16506266593933105	5.593433380126953	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5463389754295349	0.5463389754295349	0.4536610245704651	0.7929447293281555	0.09502220153808594	15.167374610900879	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5623350739479065	0.5623350739479065	0.4376649260520935	0.8253222107887268	0.025135278701782227	36.96989059448242	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.5213093161582947	0.5213093161582947	0.4786906838417053	0.7426444888114929	0.053577721118927	59.18336868286133	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5372235178947449	0.5372235178947449	0.4627764821052551	0.7745850682258606	0.06315052509307861	48.20702362060547	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.542456328868866	0.542456328868866	0.45754367113113403	0.7851176857948303	0.09917211532592773	16.638065338134766	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5337096452713013	0.5337096452713013	0.46629035472869873	0.7675217390060425	0.1055174469947815	23.992448806762695	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.5812408924102783	0.5812408924102783	0.4187591075897217	0.8639346957206726	0.03766399621963501	28.322059631347656	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.45851925015449524	0.45851925015449524	0.5414807498455048	0.6168473362922668	0.007430076599121094	183.45489501953125	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5744827389717102	0.5744827389717102	0.4255172610282898	0.850082278251648	0.08682894706726074	22.919475555419922	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.5622653961181641	0.5622653961181641	0.43773460388183594	0.8251804709434509	0.19780856370925903	3.599374294281006	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
12	you	10	13	Y UW	2	0.076923	1	0.5849405527114868	0.5849405527114868	0.4150594472885132	0.8715442419052124	0.06573635339736938	13.913457870483398	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	10	14	IH T	2	0.071429	1	0.5845072269439697	0.5845072269439697	0.4154927730560303	0.8706519603729248	0.07731467485427856	20.96713638305664	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	10	15	N AA T	3	0.066667	1	0.5906639099121094	0.5906639099121094	0.4093360900878906	0.8833553791046143	0.06547325849533081	15.109861373901367	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	10	16	AO R	2	0.0625	1	0.5184054970741272	0.5184054970741272	0.4815945029258728	0.7368276715278625	0.003070533275604248	47.378692626953125	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	10	17	B IY	2	0.058824	1	0.5348097085952759	0.5348097085952759	0.4651902914047241	0.7697322368621826	0.018554389476776123	53.238826751708984	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	10	18	AA R	2	0.055556	1	0.49108994007110596	0.49108994007110596	0.508910059928894	0.6821779608726501	0.028751075267791748	67.3985366821289	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	10	19	F R AH M	4	0.052632	1	0.5295203328132629	0.5295203328132629	0.47047966718673706	0.759109377861023	0.16251516342163086	8.364717483520508	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	10	20	AE T	2	0.05	1	0.49336132407188416	0.49336132407188416	0.5066386759281158	0.6867218613624573	0.09465605020523071	33.42478942871094	1	AE T	1	AE T	0	OW P AH	1	AE T	1	AE T	1	AE T	0	OW P AH N	1	AE T	WM_ONLY_CORRECT	WM_ONLY_CORRECT
20	as	10	21	AE Z	2	0.047619	1	0.5478522777557373	0.5478522777557373	0.4521477222442627	0.7959983944892883	0.05122339725494385	32.136531829833984	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	10	22	Y AO R	3	0.045455	1	0.573663592338562	0.573663592338562	0.426336407661438	0.8484072089195251	0.10508286952972412	4.064915180206299	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	10	23	AO L	2	0.043478	1	0.5608994960784912	0.5608994960784912	0.4391005039215088	0.8224067687988281	0.06783550977706909	29.112546920776367	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
