state_id	convention	stratum	alpha	source	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction	new_regressions
W3_SRC	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26372	0.8918196882	0	0				0
W3_SRC	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20447	0.6914544655	743	6668	3195	743	0.2325508607	6668
W3_SRC	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13020	0.4402962362	571	13923	3195	571	0.1787167449	13923
W3_SRC	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14380	0.4862872409	909	12901	3195	909	0.2845070423	12901
W3_SRC	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	24083	0.8144127693	2377	4666	3195	2377	0.7439749609	4666
W3_SRC	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29529	0.9985796896						
W3_SRC	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	24684	0.8347367353						
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3160	0	0	0	0				0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3160	733	0.2319620253	733	0	3160	733	0.2319620253	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3160	560	0.1772151899	560	0	3160	560	0.1772151899	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3160	891	0.2819620253	891	0	3160	891	0.2819620253	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3160	2345	0.7420886076	2345	0	3160	2345	0.7420886076	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3160	3160	1						
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3160	390	0.1234177215						
W3_SRC	freear	C_POPULATION	0	immutable_S0	27981	24817	0.8869232694	0	0				0
W3_SRC	freear	C_POPULATION	0.25	directional_dose	27981	19179	0.6854293985	733	6371	3160	733	0.2319620253	6371
W3_SRC	freear	C_POPULATION	0.5	directional_dose	27981	12190	0.4356527644	560	13187	3160	560	0.1772151899	13187
W3_SRC	freear	C_POPULATION	0.75	directional_dose	27981	13458	0.4809692291	891	12250	3160	891	0.2819620253	12250
W3_SRC	freear	C_POPULATION	1	directional_dose	27981	22716	0.8118366034	2345	4446	3160	2345	0.7420886076	4446
W3_SRC	freear	C_POPULATION		immutable_S1	27981	27947	0.9987848897						
W3_SRC	freear	C_POPULATION		immutable_S3	27981	23197	0.8290268396						
W3_SRC	freear	NATIVE_LTM_WRONG	0	immutable_S0	3199	0	0	0	0				0
W3_SRC	freear	NATIVE_LTM_WRONG	0.25	directional_dose	3199	743	0.2322600813	743	0	3195	743	0.2325508607	0
W3_SRC	freear	NATIVE_LTM_WRONG	0.5	directional_dose	3199	571	0.1784932791	571	0	3195	571	0.1787167449	0
W3_SRC	freear	NATIVE_LTM_WRONG	0.75	directional_dose	3199	909	0.2841512973	909	0	3195	909	0.2845070423	0
W3_SRC	freear	NATIVE_LTM_WRONG	1	directional_dose	3199	2377	0.7430447015	2377	0	3195	2377	0.7439749609	0
W3_SRC	freear	NATIVE_LTM_WRONG		immutable_S1	3199	3195	0.9987496093						
W3_SRC	freear	NATIVE_LTM_WRONG		immutable_S3	3199	397	0.1241012817						
W3_SRC	freear	NEAR_COLLINEAR_CASES	0	immutable_S0	0	0		0	0				0
W3_SRC	freear	NEAR_COLLINEAR_CASES	0.25	directional_dose	0	0		0	0	0	0		0
W3_SRC	freear	NEAR_COLLINEAR_CASES	0.5	directional_dose	0	0		0	0	0	0		0
W3_SRC	freear	NEAR_COLLINEAR_CASES	0.75	directional_dose	0	0		0	0	0	0		0
W3_SRC	freear	NEAR_COLLINEAR_CASES	1	directional_dose	0	0		0	0	0	0		0
W3_SRC	freear	NEAR_COLLINEAR_CASES		immutable_S1	0	0							
W3_SRC	freear	NEAR_COLLINEAR_CASES		immutable_S3	0	0							
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	0	immutable_S0	1590	1555	0.9779874214	0	0				0
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	0.25	directional_dose	1590	1268	0.7974842767	10	297	35	10	0.2857142857	297
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	0.5	directional_dose	1590	830	0.5220125786	11	736	35	11	0.3142857143	736
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	0.75	directional_dose	1590	922	0.5798742138	18	651	35	18	0.5142857143	651
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	1	directional_dose	1590	1367	0.8597484277	32	220	35	32	0.9142857143	220
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S1	1590	1582	0.9949685535						
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S3	1590	1487	0.9352201258						
W3_SRC	freear	PREV_S1_RESCUES	0	immutable_S0	3195	0	0	0	0				0
W3_SRC	freear	PREV_S1_RESCUES	0.25	directional_dose	3195	743	0.2325508607	743	0	3195	743	0.2325508607	0
W3_SRC	freear	PREV_S1_RESCUES	0.5	directional_dose	3195	571	0.1787167449	571	0	3195	571	0.1787167449	0
W3_SRC	freear	PREV_S1_RESCUES	0.75	directional_dose	3195	909	0.2845070423	909	0	3195	909	0.2845070423	0
W3_SRC	freear	PREV_S1_RESCUES	1	directional_dose	3195	2377	0.7439749609	2377	0	3195	2377	0.7439749609	0
W3_SRC	freear	PREV_S1_RESCUES		immutable_S1	3195	3195	1						
W3_SRC	freear	PREV_S1_RESCUES		immutable_S3	3195	397	0.124256651						
W3_SRC	canonical	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26372	0.8918196882	0	0				0
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20447	0.6914544655	743	6668	3195	743	0.2325508607	6668
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13020	0.4402962362	571	13923	3195	571	0.1787167449	13923
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14380	0.4862872409	909	12901	3195	909	0.2845070423	12901
W3_SRC	canonical	ALL_REPETITION_ITEMS	1	directional_dose	29571	24083	0.8144127693	2377	4666	3195	2377	0.7439749609	4666
W3_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S1	29571	29529	0.9985796896						
W3_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S3	29571	24684	0.8347367353						
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3160	0	0	0	0				0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3160	733	0.2319620253	733	0	3160	733	0.2319620253	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3160	560	0.1772151899	560	0	3160	560	0.1772151899	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3160	891	0.2819620253	891	0	3160	891	0.2819620253	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3160	2345	0.7420886076	2345	0	3160	2345	0.7420886076	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3160	3160	1						
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3160	390	0.1234177215						
W3_SRC	canonical	C_POPULATION	0	immutable_S0	27981	24817	0.8869232694	0	0				0
W3_SRC	canonical	C_POPULATION	0.25	directional_dose	27981	19179	0.6854293985	733	6371	3160	733	0.2319620253	6371
W3_SRC	canonical	C_POPULATION	0.5	directional_dose	27981	12190	0.4356527644	560	13187	3160	560	0.1772151899	13187
W3_SRC	canonical	C_POPULATION	0.75	directional_dose	27981	13458	0.4809692291	891	12250	3160	891	0.2819620253	12250
W3_SRC	canonical	C_POPULATION	1	directional_dose	27981	22716	0.8118366034	2345	4446	3160	2345	0.7420886076	4446
W3_SRC	canonical	C_POPULATION		immutable_S1	27981	27947	0.9987848897						
W3_SRC	canonical	C_POPULATION		immutable_S3	27981	23197	0.8290268396						
W3_SRC	canonical	NATIVE_LTM_WRONG	0	immutable_S0	3199	0	0	0	0				0
W3_SRC	canonical	NATIVE_LTM_WRONG	0.25	directional_dose	3199	743	0.2322600813	743	0	3195	743	0.2325508607	0
W3_SRC	canonical	NATIVE_LTM_WRONG	0.5	directional_dose	3199	571	0.1784932791	571	0	3195	571	0.1787167449	0
W3_SRC	canonical	NATIVE_LTM_WRONG	0.75	directional_dose	3199	909	0.2841512973	909	0	3195	909	0.2845070423	0
W3_SRC	canonical	NATIVE_LTM_WRONG	1	directional_dose	3199	2377	0.7430447015	2377	0	3195	2377	0.7439749609	0
W3_SRC	canonical	NATIVE_LTM_WRONG		immutable_S1	3199	3195	0.9987496093						
W3_SRC	canonical	NATIVE_LTM_WRONG		immutable_S3	3199	397	0.1241012817						
W3_SRC	canonical	NEAR_COLLINEAR_CASES	0	immutable_S0	0	0		0	0				0
W3_SRC	canonical	NEAR_COLLINEAR_CASES	0.25	directional_dose	0	0		0	0	0	0		0
W3_SRC	canonical	NEAR_COLLINEAR_CASES	0.5	directional_dose	0	0		0	0	0	0		0
W3_SRC	canonical	NEAR_COLLINEAR_CASES	0.75	directional_dose	0	0		0	0	0	0		0
W3_SRC	canonical	NEAR_COLLINEAR_CASES	1	directional_dose	0	0		0	0	0	0		0
W3_SRC	canonical	NEAR_COLLINEAR_CASES		immutable_S1	0	0							
W3_SRC	canonical	NEAR_COLLINEAR_CASES		immutable_S3	0	0							
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0	immutable_S0	1590	1555	0.9779874214	0	0				0
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.25	directional_dose	1590	1268	0.7974842767	10	297	35	10	0.2857142857	297
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.5	directional_dose	1590	830	0.5220125786	11	736	35	11	0.3142857143	736
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.75	directional_dose	1590	922	0.5798742138	18	651	35	18	0.5142857143	651
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	1	directional_dose	1590	1367	0.8597484277	32	220	35	32	0.9142857143	220
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S1	1590	1582	0.9949685535						
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S3	1590	1487	0.9352201258						
W3_SRC	canonical	PREV_S1_RESCUES	0	immutable_S0	3195	0	0	0	0				0
W3_SRC	canonical	PREV_S1_RESCUES	0.25	directional_dose	3195	743	0.2325508607	743	0	3195	743	0.2325508607	0
W3_SRC	canonical	PREV_S1_RESCUES	0.5	directional_dose	3195	571	0.1787167449	571	0	3195	571	0.1787167449	0
W3_SRC	canonical	PREV_S1_RESCUES	0.75	directional_dose	3195	909	0.2845070423	909	0	3195	909	0.2845070423	0
W3_SRC	canonical	PREV_S1_RESCUES	1	directional_dose	3195	2377	0.7439749609	2377	0	3195	2377	0.7439749609	0
W3_SRC	canonical	PREV_S1_RESCUES		immutable_S1	3195	3195	1						
W3_SRC	canonical	PREV_S1_RESCUES		immutable_S3	3195	397	0.124256651						
W3_REP	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26378	0.8920225897	0	0				0
W3_REP	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20441	0.691251564	749	6686	3193	749	0.2345756342	6686
W3_REP	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13052	0.4413783775	576	13902	3193	576	0.1803946132	13902
W3_REP	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14398	0.4868959454	916	12896	3193	916	0.2868775446	12896
W3_REP	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	24112	0.8153934598	2374	4640	3193	2374	0.7435014093	4640
W3_REP	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29571	1						
W3_REP	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	24650	0.8335869602						
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3159	0	0	0	0				0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3159	739	0.2339347895	739	0	3159	739	0.2339347895	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3159	565	0.1788540677	565	0	3159	565	0.1788540677	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3159	898	0.2842671732	898	0	3159	898	0.2842671732	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3159	2343	0.7416904084	2343	0	3159	2343	0.7416904084	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3159	3159	1						
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3159	375	0.118708452						
W3_REP	freear	C_POPULATION	0	immutable_S0	27981	24822	0.887101962	0	0				0
W3_REP	freear	C_POPULATION	0.25	directional_dose	27981	19172	0.6851792288	739	6389	3159	739	0.2339347895	6389
W3_REP	freear	C_POPULATION	0.5	directional_dose	27981	12210	0.4363675351	565	13177	3159	565	0.1788540677	13177
W3_REP	freear	C_POPULATION	0.75	directional_dose	27981	13467	0.481290876	898	12253	3159	898	0.2842671732	12253
W3_REP	freear	C_POPULATION	1	directional_dose	27981	22737	0.8125871127	2343	4428	3159	2343	0.7416904084	4428
W3_REP	freear	C_POPULATION		immutable_S1	27981	27981	1						
W3_REP	freear	C_POPULATION		immutable_S3	27981	23164	0.8278474679						
W3_REP	freear	NATIVE_LTM_WRONG	0	immutable_S0	3193	0	0	0	0				0
W3_REP	freear	NATIVE_LTM_WRONG	0.25	directional_dose	3193	749	0.2345756342	749	0	3193	749	0.2345756342	0
W3_REP	freear	NATIVE_LTM_WRONG	0.5	directional_dose	3193	576	0.1803946132	576	0	3193	576	0.1803946132	0
W3_REP	freear	NATIVE_LTM_WRONG	0.75	directional_dose	3193	916	0.2868775446	916	0	3193	916	0.2868775446	0
W3_REP	freear	NATIVE_LTM_WRONG	1	directional_dose	3193	2374	0.7435014093	2374	0	3193	2374	0.7435014093	0
W3_REP	freear	NATIVE_LTM_WRONG		immutable_S1	3193	3193	1						
W3_REP	freear	NATIVE_LTM_WRONG		immutable_S3	3193	382	0.1196367053						
W3_REP	freear	NEAR_COLLINEAR_CASES	0	immutable_S0	0	0		0	0				0
W3_REP	freear	NEAR_COLLINEAR_CASES	0.25	directional_dose	0	0		0	0	0	0		0
W3_REP	freear	NEAR_COLLINEAR_CASES	0.5	directional_dose	0	0		0	0	0	0		0
W3_REP	freear	NEAR_COLLINEAR_CASES	0.75	directional_dose	0	0		0	0	0	0		0
W3_REP	freear	NEAR_COLLINEAR_CASES	1	directional_dose	0	0		0	0	0	0		0
W3_REP	freear	NEAR_COLLINEAR_CASES		immutable_S1	0	0							
W3_REP	freear	NEAR_COLLINEAR_CASES		immutable_S3	0	0							
