state_id	convention	stratum	alpha	source	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction	new_regressions
W3_SRC	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26372	0.8918196882	0	0				0
W3_SRC	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20447	0.6914544655	743	6668	3195	743	0.2325508607	6668
W3_SRC	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13020	0.4402962362	571	13923	3195	571	0.1787167449	13923
W3_SRC	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14380	0.4862872409	909	12901	3195	909	0.2845070423	12901
W3_SRC	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	24083	0.8144127693	2377	4666	3195	2377	0.7439749609	4666
W3_SRC	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29529	0.9985796896						
W3_SRC	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	24684	0.8347367353						
W3_SRC	canonical	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26372	0.8918196882	0	0				0
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20447	0.6914544655	743	6668	3195	743	0.2325508607	6668
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13020	0.4402962362	571	13923	3195	571	0.1787167449	13923
W3_SRC	canonical	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14380	0.4862872409	909	12901	3195	909	0.2845070423	12901
W3_SRC	canonical	ALL_REPETITION_ITEMS	1	directional_dose	29571	24083	0.8144127693	2377	4666	3195	2377	0.7439749609	4666
W3_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S1	29571	29529	0.9985796896						
W3_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S3	29571	24684	0.8347367353						
W3_REP	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26378	0.8920225897	0	0				0
W3_REP	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20441	0.691251564	749	6686	3193	749	0.2345756342	6686
W3_REP	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13052	0.4413783775	576	13902	3193	576	0.1803946132	13902
W3_REP	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14398	0.4868959454	916	12896	3193	916	0.2868775446	12896
W3_REP	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	24112	0.8153934598	2374	4640	3193	2374	0.7435014093	4640
W3_REP	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29571	1						
W3_REP	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	24650	0.8335869602						
W3_REP	canonical	ALL_REPETITION_ITEMS	0	immutable_S0	29571	26378	0.8920225897	0	0				0
W3_REP	canonical	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	20441	0.691251564	749	6686	3193	749	0.2345756342	6686
W3_REP	canonical	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	13052	0.4413783775	576	13902	3193	576	0.1803946132	13902
W3_REP	canonical	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	14398	0.4868959454	916	12896	3193	916	0.2868775446	12896
W3_REP	canonical	ALL_REPETITION_ITEMS	1	directional_dose	29571	24112	0.8153934598	2374	4640	3193	2374	0.7435014093	4640
W3_REP	canonical	ALL_REPETITION_ITEMS		immutable_S1	29571	29571	1						
W3_REP	canonical	ALL_REPETITION_ITEMS		immutable_S3	29571	24650	0.8335869602						
W4_SRC	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	25924	0.8766697102	0	0				0
W4_SRC	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	18718	0.6329850191	810	8016	3642	808	0.221856123	8016
W4_SRC	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	11034	0.3731358425	537	15427	3642	536	0.1471718836	15427
W4_SRC	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	12161	0.411247506	794	14557	3642	794	0.2180120813	14557
W4_SRC	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	22949	0.7760643874	2612	5587	3642	2612	0.717188358	5587
W4_SRC	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29520	0.9982753373						
W4_SRC	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	23867	0.8071083156						
W4_SRC	canonical	ALL_REPETITION_ITEMS	0	immutable_S0	29571	25924	0.8766697102	0	0				0
W4_SRC	canonical	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	18718	0.6329850191	810	8016	3642	808	0.221856123	8016
W4_SRC	canonical	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	11034	0.3731358425	537	15427	3642	536	0.1471718836	15427
W4_SRC	canonical	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	12161	0.411247506	794	14557	3642	794	0.2180120813	14557
W4_SRC	canonical	ALL_REPETITION_ITEMS	1	directional_dose	29571	22949	0.7760643874	2612	5587	3642	2612	0.717188358	5587
W4_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S1	29571	29520	0.9982753373						
W4_SRC	canonical	ALL_REPETITION_ITEMS		immutable_S3	29571	23867	0.8071083156						
W4_REP	freear	ALL_REPETITION_ITEMS	0	immutable_S0	29571	25909	0.8761624565	0	0				0
W4_REP	freear	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	18727	0.6332893713	794	7976	3662	794	0.2168214091	7976
W4_REP	freear	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	11014	0.3724595042	519	15414	3662	519	0.1417258329	15414
W4_REP	freear	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	12205	0.4127354503	797	14501	3662	797	0.2176406335	14501
W4_REP	freear	ALL_REPETITION_ITEMS	1	directional_dose	29571	22991	0.7774846978	2625	5543	3662	2625	0.7168214091	5543
W4_REP	freear	ALL_REPETITION_ITEMS		immutable_S1	29571	29571	1						
W4_REP	freear	ALL_REPETITION_ITEMS		immutable_S3	29571	23842	0.8062628927						
W4_REP	canonical	ALL_REPETITION_ITEMS	0	immutable_S0	29571	25909	0.8761624565	0	0				0
W4_REP	canonical	ALL_REPETITION_ITEMS	0.25	directional_dose	29571	18727	0.6332893713	794	7976	3662	794	0.2168214091	7976
W4_REP	canonical	ALL_REPETITION_ITEMS	0.5	directional_dose	29571	11014	0.3724595042	519	15414	3662	519	0.1417258329	15414
W4_REP	canonical	ALL_REPETITION_ITEMS	0.75	directional_dose	29571	12205	0.4127354503	797	14501	3662	797	0.2176406335	14501
W4_REP	canonical	ALL_REPETITION_ITEMS	1	directional_dose	29571	22991	0.7774846978	2625	5543	3662	2625	0.7168214091	5543
W4_REP	canonical	ALL_REPETITION_ITEMS		immutable_S1	29571	29571	1						
W4_REP	canonical	ALL_REPETITION_ITEMS		immutable_S3	29571	23842	0.8062628927						
