state_id	convention	alpha	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction
W3_SRC	freear	0.25	3195	743	0.2325508607
W3_SRC	freear	0.5	3195	571	0.1787167449
W3_SRC	freear	0.75	3195	909	0.2845070423
W3_SRC	freear	1	3195	2377	0.7439749609
W3_SRC	canonical	0.25	3195	743	0.2325508607
W3_SRC	canonical	0.5	3195	571	0.1787167449
W3_SRC	canonical	0.75	3195	909	0.2845070423
W3_SRC	canonical	1	3195	2377	0.7439749609
W3_REP	freear	0.25	3193	749	0.2345756342
W3_REP	freear	0.5	3193	576	0.1803946132
W3_REP	freear	0.75	3193	916	0.2868775446
W3_REP	freear	1	3193	2374	0.7435014093
W3_REP	canonical	0.25	3193	749	0.2345756342
W3_REP	canonical	0.5	3193	576	0.1803946132
W3_REP	canonical	0.75	3193	916	0.2868775446
W3_REP	canonical	1	3193	2374	0.7435014093
W4_SRC	freear	0.25	3642	808	0.221856123
W4_SRC	freear	0.5	3642	536	0.1471718836
W4_SRC	freear	0.75	3642	794	0.2180120813
W4_SRC	freear	1	3642	2612	0.717188358
W4_SRC	canonical	0.25	3642	808	0.221856123
W4_SRC	canonical	0.5	3642	536	0.1471718836
W4_SRC	canonical	0.75	3642	794	0.2180120813
W4_SRC	canonical	1	3642	2612	0.717188358
W4_REP	freear	0.25	3662	794	0.2168214091
W4_REP	freear	0.5	3662	519	0.1417258329
W4_REP	freear	0.75	3662	797	0.2176406335
W4_REP	freear	1	3662	2625	0.7168214091
W4_REP	canonical	0.25	3662	794	0.2168214091
W4_REP	canonical	0.5	3662	519	0.1417258329
W4_REP	canonical	0.75	3662	797	0.2176406335
W4_REP	canonical	1	3662	2625	0.7168214091
