state_id	convention	alpha	WRONG_TO_CORRECT	CORRECT_TO_WRONG
W3_SRC	freear	0.25	743	6668
W3_SRC	freear	0.5	571	13923
W3_SRC	freear	0.75	909	12901
W3_SRC	freear	1	2377	4666
W3_SRC	canonical	0.25	743	6668
W3_SRC	canonical	0.5	571	13923
W3_SRC	canonical	0.75	909	12901
W3_SRC	canonical	1	2377	4666
W3_REP	freear	0.25	749	6686
W3_REP	freear	0.5	576	13902
W3_REP	freear	0.75	916	12896
W3_REP	freear	1	2374	4640
W3_REP	canonical	0.25	749	6686
W3_REP	canonical	0.5	576	13902
W3_REP	canonical	0.75	916	12896
W3_REP	canonical	1	2374	4640
W4_SRC	freear	0.25	810	8016
W4_SRC	freear	0.5	537	15427
W4_SRC	freear	0.75	794	14557
W4_SRC	freear	1	2612	5587
W4_SRC	canonical	0.25	810	8016
W4_SRC	canonical	0.5	537	15427
W4_SRC	canonical	0.75	794	14557
W4_SRC	canonical	1	2612	5587
W4_REP	freear	0.25	794	7976
W4_REP	freear	0.5	519	15414
W4_REP	freear	0.75	797	14501
W4_REP	freear	1	2625	5543
W4_REP	canonical	0.25	794	7976
W4_REP	canonical	0.5	519	15414
W4_REP	canonical	0.75	797	14501
W4_REP	canonical	1	2625	5543
