state_id	convention	stratum	alpha	source	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction	new_regressions
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3160	0	0	0	0				0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3160	733	0.2319620253	733	0	3160	733	0.2319620253	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3160	560	0.1772151899	560	0	3160	560	0.1772151899	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3160	891	0.2819620253	891	0	3160	891	0.2819620253	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3160	2345	0.7420886076	2345	0	3160	2345	0.7420886076	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3160	3160	1						
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3160	390	0.1234177215						
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3160	0	0	0	0				0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3160	733	0.2319620253	733	0	3160	733	0.2319620253	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3160	560	0.1772151899	560	0	3160	560	0.1772151899	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3160	891	0.2819620253	891	0	3160	891	0.2819620253	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3160	2345	0.7420886076	2345	0	3160	2345	0.7420886076	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3160	3160	1						
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3160	390	0.1234177215						
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3159	0	0	0	0				0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3159	739	0.2339347895	739	0	3159	739	0.2339347895	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3159	565	0.1788540677	565	0	3159	565	0.1788540677	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3159	898	0.2842671732	898	0	3159	898	0.2842671732	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3159	2343	0.7416904084	2343	0	3159	2343	0.7416904084	0
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3159	3159	1						
W3_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3159	375	0.118708452						
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3159	0	0	0	0				0
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3159	739	0.2339347895	739	0	3159	739	0.2339347895	0
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3159	565	0.1788540677	565	0	3159	565	0.1788540677	0
