witness	convention	alpha	SRC_exact	REP_exact	SRC_rescue_fraction	REP_rescue_fraction	SRC_regressions	REP_regressions	rescue_set_jaccard	prev_S1_recovery_fraction_REP_minus_SRC	SRC_to_REP_CORRECT_TO_CORRECT	SRC_to_REP_CORRECT_TO_WRONG	SRC_to_REP_WRONG_TO_CORRECT	SRC_to_REP_WRONG_TO_WRONG
W3	freear	0.25	20447	20441	0.2322600813	0.2345756342	6668	6686	0.9079283887	0.00202477348	20322	125	119	9005
W3	freear	0.5	13020	13052	0.1784932791	0.1803946132	13923	13902	0.9116666667	0.001677868302	12937	83	115	16436
W3	freear	0.75	14380	14398	0.2841512973	0.2868775446	12901	12896	0.9271383316	0.002370502375	14310	70	88	15103
W3	freear	1	24083	24112	0.7430447015	0.7435014093	4666	4640	0.9599834983	-0.0004735515435	24073	10	39	5449
W3	canonical	0.25	20447	20441	0.2322600813	0.2345756342	6668	6686	0.9079283887	0.00202477348	20322	125	119	9005
W3	canonical	0.5	13020	13052	0.1784932791	0.1803946132	13923	13902	0.9116666667	0.001677868302	12937	83	115	16436
W3	canonical	0.75	14380	14398	0.2841512973	0.2868775446	12901	12896	0.9271383316	0.002370502375	14310	70	88	15103
W3	canonical	1	24083	24112	0.7430447015	0.7435014093	4666	4640	0.9599834983	-0.0004735515435	24073	10	39	5449
W4	freear	0.25	18718	18727	0.2221003565	0.2168214091	8016	7976	0.8672875437	-0.005034713943	18549	169	178	10675
W4	freear	0.5	11034	11014	0.1472443104	0.1417258329	15427	15414	0.8958707361	-0.005446050702	10889	145	125	18412
W4	freear	0.75	12161	12205	0.2177131889	0.2176406335	14557	14501	0.9099639856	-0.0003714477404	12097	64	108	17302
W4	freear	1	22949	22991	0.7162051001	0.7168214091	5587	5543	0.9374768775	-0.0003669489789	22941	8	50	6572
W4	canonical	0.25	18718	18727	0.2221003565	0.2168214091	8016	7976	0.8672875437	-0.005034713943	18549	169	178	10675
W4	canonical	0.5	11034	11014	0.1472443104	0.1417258329	15427	15414	0.8958707361	-0.005446050702	10889	145	125	18412
W4	canonical	0.75	12161	12205	0.2177131889	0.2176406335	14557	14501	0.9099639856	-0.0003714477404	12097	64	108	17302
W4	canonical	1	22949	22991	0.7162051001	0.7168214091	5587	5543	0.9374768775	-0.0003669489789	22941	8	50	6572
