state_id	alpha	regressions	eos_before_target_length	eos_after_target_length	terminated_by_cap	pred_length_equals_target_length	first_divergence_at_step0
W3_SRC	0.25	6668	2222	2300	2	2144	1556
W3_SRC	0.5	13923	5033	4624	2	4264	3487
W3_SRC	0.75	12901	4816	4252	1	3832	2539
W3_SRC	1	4666	1775	1595	0	1296	782
W3_REP	0.25	6686	2244	2300	2	2140	1560
W3_REP	0.5	13902	5031	4637	2	4232	3485
W3_REP	0.75	12896	4805	4260	2	3829	2503
W3_REP	1	4640	1771	1579	0	1290	748
W4_SRC	0.25	8016	2579	2900	1	2536	1945
W4_SRC	0.5	15427	5590	5061	2	4774	4295
W4_SRC	0.75	14557	5489	4725	3	4340	3364
W4_SRC	1	5587	2213	1750	1	1623	1111
W4_REP	0.25	7976	2579	2890	2	2505	1936
W4_REP	0.5	15414	5576	5062	3	4773	4279
W4_REP	0.75	14501	5489	4706	3	4303	3349
W4_REP	1	5543	2199	1730	1	1613	1083
