state_id	convention	condition	denominator	exact_count	exact_proportion	errors
W3_SRC	freear	S0	29571	26372	0.8918196882	3199
W3_SRC	freear	S1	29571	29529	0.9985796896	42
W3_SRC	freear	S2	29571	29571	1	0
W3_SRC	freear	S3	29571	24684	0.8347367353	4887
W3_SRC	canonical	S0	29571	26372	0.8918196882	3199
W3_SRC	canonical	S1	29571	29529	0.9985796896	42
W3_SRC	canonical	S2	29571	29571	1	0
W3_SRC	canonical	S3	29571	24684	0.8347367353	4887
W3_REP	freear	S0	29571	26378	0.8920225897	3193
W3_REP	freear	S1	29571	29571	1	0
W3_REP	freear	S2	29571	29571	1	0
W3_REP	freear	S3	29571	24650	0.8335869602	4921
W3_REP	canonical	S0	29571	26378	0.8920225897	3193
W3_REP	canonical	S1	29571	29571	1	0
W3_REP	canonical	S2	29571	29571	1	0
W3_REP	canonical	S3	29571	24650	0.8335869602	4921
W4_SRC	freear	S0	29571	25924	0.8766697102	3647
W4_SRC	freear	S1	29571	29520	0.9982753373	51
W4_SRC	freear	S2	29571	29571	1	0
W4_SRC	freear	S3	29571	23867	0.8071083156	5704
W4_SRC	canonical	S0	29571	25924	0.8766697102	3647
W4_SRC	canonical	S1	29571	29520	0.9982753373	51
W4_SRC	canonical	S2	29571	29571	1	0
W4_SRC	canonical	S3	29571	23867	0.8071083156	5704
W4_REP	freear	S0	29571	25909	0.8761624565	3662
W4_REP	freear	S1	29571	29571	1	0
W4_REP	freear	S2	29571	29571	1	0
W4_REP	freear	S3	29571	23842	0.8062628927	5729
W4_REP	canonical	S0	29571	25909	0.8761624565	3662
W4_REP	canonical	S1	29571	29571	1	0
W4_REP	canonical	S2	29571	29571	1	0
W4_REP	canonical	S3	29571	23842	0.8062628927	5729
