state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W3_SRC	freear	ALL_REPETITION_ITEMS	S0	29571	26372	0.8918196882	NA	NA	NA	NA
W3_SRC	freear	ALL_REPETITION_ITEMS	S1	29571	29529	0.9985796896	3195	38	26334	4
W3_SRC	freear	ALL_REPETITION_ITEMS	S2	29571	29571	1	3199	0	26372	0
W3_SRC	freear	ALL_REPETITION_ITEMS	S3	29571	24684	0.8347367353	397	2085	24287	2802
W3_SRC	freear	C_POPULATION	S0	27981	24817	0.8869232694	NA	NA	NA	NA
W3_SRC	freear	C_POPULATION	S1	27981	27947	0.9987848897	3160	30	24787	4
W3_SRC	freear	C_POPULATION	S2	27981	27981	1	3164	0	24817	0
W3_SRC	freear	C_POPULATION	S3	27981	23197	0.8290268396	390	2010	22807	2774
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1555	0.9779874214	NA	NA	NA	NA
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1582	0.9949685535	35	8	1547	0
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	35	0	1555	0
W3_SRC	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1487	0.9352201258	7	75	1480	28
W3_SRC	freear	NATIVE_LTM_WRONG	S0	3199	0	0	NA	NA	NA	NA
W3_SRC	freear	NATIVE_LTM_WRONG	S1	3199	3195	0.9987496093	3195	0	0	4
W3_SRC	freear	NATIVE_LTM_WRONG	S2	3199	3199	1	3199	0	0	0
W3_SRC	freear	NATIVE_LTM_WRONG	S3	3199	397	0.1241012817	397	0	0	2802
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3160	0	0	NA	NA	NA	NA
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3160	3160	1	3160	0	0	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3160	3160	1	3160	0	0	0
W3_SRC	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3160	390	0.1234177215	390	0	0	2770
W3_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S0	4	0	0	NA	NA	NA	NA
W3_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S1	4	0	0	0	0	0	4
W3_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S2	4	4	1	4	0	0	0
W3_SRC	freear	C_WRONG_AND_NATIVE_LTM_WRONG	S3	4	0	0	0	0	0	4
W3_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	30	30	1	NA	NA	NA	NA
W3_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	30	0	0	0	30	0	0
W3_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	30	30	1	0	0	30	0
W3_SRC	freear	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	30	28	0.9333333333	0	2	28	0
W3_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W3_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_SRC	freear	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3160	0	0	NA	NA	NA	NA
W3_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3160	3160	1	3160	0	0	0
W3_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3160	3160	1	3160	0	0	0
W3_SRC	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3160	390	0.1234177215	390	0	0	2770
W3_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S0	39	0	0	NA	NA	NA	NA
W3_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S1	39	35	0.8974358974	35	0	0	4
W3_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S2	39	39	1	39	0	0	0
W3_SRC	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S3	39	7	0.1794871795	7	0	0	32
W3_SRC	canonical	ALL_REPETITION_ITEMS	S0	29571	26372	0.8918196882	NA	NA	NA	NA
W3_SRC	canonical	ALL_REPETITION_ITEMS	S1	29571	29529	0.9985796896	3195	38	26334	4
W3_SRC	canonical	ALL_REPETITION_ITEMS	S2	29571	29571	1	3199	0	26372	0
W3_SRC	canonical	ALL_REPETITION_ITEMS	S3	29571	24684	0.8347367353	397	2085	24287	2802
W3_SRC	canonical	C_POPULATION	S0	27981	24817	0.8869232694	NA	NA	NA	NA
W3_SRC	canonical	C_POPULATION	S1	27981	27947	0.9987848897	3160	30	24787	4
W3_SRC	canonical	C_POPULATION	S2	27981	27981	1	3164	0	24817	0
W3_SRC	canonical	C_POPULATION	S3	27981	23197	0.8290268396	390	2010	22807	2774
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1555	0.9779874214	NA	NA	NA	NA
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1582	0.9949685535	35	8	1547	0
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	35	0	1555	0
W3_SRC	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1487	0.9352201258	7	75	1480	28
