state_id	divergence_step	count
W3_SRC	0	1184
W3_SRC	1	645
W3_SRC	2	489
W3_SRC	3	349
W3_SRC	4	247
W3_SRC	5	149
W3_SRC	6	99
W3_SRC	7	24
W3_SRC	8	12
W3_SRC	9	1
W3_REP	0	1182
W3_REP	1	652
W3_REP	2	487
W3_REP	3	346
W3_REP	4	242
W3_REP	5	148
W3_REP	6	99
W3_REP	7	24
W3_REP	8	12
W3_REP	9	1
W4_SRC	0	1299
W4_SRC	1	779
W4_SRC	2	572
W4_SRC	3	407
W4_SRC	4	268
W4_SRC	5	158
W4_SRC	6	104
W4_SRC	7	38
W4_SRC	8	22
W4_REP	0	1298
W4_REP	1	780
W4_REP	2	573
W4_REP	3	417
W4_REP	4	270
W4_REP	5	157
W4_REP	6	107
W4_REP	7	39
W4_REP	8	21
