witness	convention	condition	SRC_exact	REP_exact	SRC_errors	REP_errors	WRONG_TO_CORRECT_SRC_to_REP	CORRECT_TO_WRONG_SRC_to_REP	WRONG_TO_WRONG
W3	freear	S0	26372	26378	3199	3193	64	58	3135
W3	freear	S1	29529	29571	42	0	42	0	0
W3	freear	S2	29571	29571	0	0	0	0	0
W3	freear	S3	24684	24650	4887	4921	77	111	4810
W3	canonical	S0	26372	26378	3199	3193	64	58	3135
W3	canonical	S1	29529	29571	42	0	42	0	0
W3	canonical	S2	29571	29571	0	0	0	0	0
W3	canonical	S3	24684	24650	4887	4921	77	111	4810
W4	freear	S0	25924	25909	3647	3662	97	112	3550
W4	freear	S1	29520	29571	51	0	51	0	0
W4	freear	S2	29571	29571	0	0	0	0	0
W4	freear	S3	23867	23842	5704	5729	134	159	5570
W4	canonical	S0	25924	25909	3647	3662	97	112	3550
W4	canonical	S1	29520	29571	51	0	51	0	0
W4	canonical	S2	29571	29571	0	0	0	0	0
W4	canonical	S3	23867	23842	5704	5729	134	159	5570
