state_id	convention	condition	CORRECT_TO_CORRECT	CORRECT_TO_WRONG	WRONG_TO_CORRECT	WRONG_TO_WRONG	denominator
W3_SRC	freear	S1	26334	38	3195	4	29571
W3_SRC	freear	S2	26372	0	3199	0	29571
W3_SRC	freear	S3	24287	2085	397	2802	29571
W3_SRC	canonical	S1	26334	38	3195	4	29571
W3_SRC	canonical	S2	26372	0	3199	0	29571
W3_SRC	canonical	S3	24287	2085	397	2802	29571
W3_REP	freear	S1	26378	0	3193	0	29571
W3_REP	freear	S2	26378	0	3193	0	29571
W3_REP	freear	S3	24268	2110	382	2811	29571
W3_REP	canonical	S1	26378	0	3193	0	29571
W3_REP	canonical	S2	26378	0	3193	0	29571
W3_REP	canonical	S3	24268	2110	382	2811	29571
W4_SRC	freear	S1	25878	46	3642	5	29571
W4_SRC	freear	S2	25924	0	3647	0	29571
W4_SRC	freear	S3	23379	2545	488	3159	29571
W4_SRC	canonical	S1	25878	46	3642	5	29571
W4_SRC	canonical	S2	25924	0	3647	0	29571
W4_SRC	canonical	S3	23379	2545	488	3159	29571
W4_REP	freear	S1	25909	0	3662	0	29571
W4_REP	freear	S2	25909	0	3662	0	29571
W4_REP	freear	S3	23353	2556	489	3173	29571
W4_REP	canonical	S1	25909	0	3662	0	29571
W4_REP	canonical	S2	25909	0	3662	0	29571
W4_REP	canonical	S3	23353	2556	489	3173	29571
