dataset_regime	seed	route	source_lexicality	label	broad_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	Long	200	6	OK	9.0	0.045	3.0	0.015	0.5	0.3333333333333333	4.0	0.02	0.6666666666666666	0.4444444444444444	2.0	0.01	0.3333333333333333	0.2222222222222222	OK
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	Long	200	1	OK	2.0	0.01	2.0	0.01	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	Long	200	7	OK	12.0	0.06	7.0	0.035	1.0	0.5833333333333334	3.0	0.015	0.42857142857142855	0.25	2.0	0.01	0.2857142857142857	0.16666666666666666	OK
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	Long	200	1	OK	2.0	0.01	2.0	0.01	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	Short	191	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	Long	330	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	Long	200	87	OK	214.0	1.07	118.0	0.59	1.3563218390804597	0.5514018691588785	62.0	0.31	0.7126436781609196	0.2897196261682243	34.0	0.17	0.39080459770114945	0.1588785046728972	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	Long	200	68	OK	175.0	0.875	99.0	0.495	1.4558823529411764	0.5657142857142857	45.0	0.225	0.6617647058823529	0.2571428571428571	31.0	0.155	0.45588235294117646	0.17714285714285713	OK
