seed	route	source_lexicality	broad_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	composition_status	proportion_substitutions	proportion_deletions	proportion_insertions
19	full	pseudo	Long	200	6	OK	9.0	OK	0.3333333333333333	0.4444444444444444	0.2222222222222222
20	full	pseudo	Long	200	1	OK	2.0	OK	1.0	0.0	0.0
21	full	pseudo	Long	200	7	OK	12.0	OK	0.5833333333333334	0.25	0.16666666666666666
22	full	pseudo	Long	200	1	OK	2.0	OK	1.0	0.0	0.0
19	full	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	full	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	full	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	full	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
19	full	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	full	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	full	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	full	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
19	full	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	full	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	full	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	full	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
19	ltm	pseudo	Long	200	87	OK	214.0	OK	0.5514018691588785	0.2897196261682243	0.1588785046728972
20	ltm	pseudo	Long	200	68	OK	175.0	OK	0.5657142857142857	0.2571428571428571	0.17714285714285713
21	ltm	pseudo	Long	200	75	OK	191.0	OK	0.6544502617801047	0.2356020942408377	0.1099476439790576
22	ltm	pseudo	Long	200	73	OK	187.0	OK	0.6256684491978609	0.23529411764705882	0.13903743315508021
19	ltm	pseudo	Short	191	12	OK	21.0	OK	0.7619047619047619	0.14285714285714285	0.09523809523809523
20	ltm	pseudo	Short	191	19	OK	34.0	OK	0.7352941176470589	0.14705882352941177	0.11764705882352941
21	ltm	pseudo	Short	191	16	OK	24.0	OK	0.7083333333333334	0.16666666666666666	0.125
22	ltm	pseudo	Short	191	15	OK	28.0	OK	0.6071428571428571	0.21428571428571427	0.17857142857142858
19	ltm	real	Long	330	4	OK	16.0	OK	0.875	0.0625	0.0625
20	ltm	real	Long	330	3	OK	5.0	OK	0.6	0.2	0.2
21	ltm	real	Long	330	3	OK	10.0	OK	1.0	0.0	0.0
22	ltm	real	Long	330	2	OK	2.0	OK	1.0	0.0	0.0
19	ltm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	ltm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	ltm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	ltm	real	Short	341	2	OK	3.0	OK	1.0	0.0	0.0
19	wm	pseudo	Long	200	4	OK	6.0	OK	0.5	0.3333333333333333	0.16666666666666666
20	wm	pseudo	Long	200	4	OK	9.0	OK	0.4444444444444444	0.3333333333333333	0.2222222222222222
21	wm	pseudo	Long	200	12	OK	23.0	OK	0.391304347826087	0.30434782608695654	0.30434782608695654
22	wm	pseudo	Long	200	1	OK	4.0	OK	1.0	0.0	0.0
19	wm	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	wm	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	wm	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	wm	pseudo	Short	191	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
19	wm	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	wm	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	wm	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	wm	real	Long	330	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
19	wm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
20	wm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
21	wm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
22	wm	real	Short	341	0	OK	0.0	NO_ERRORS_FOR_COMPOSITION			
