dataset_regime	seed	source_lexicality	label	route_contrast	n_items	meaning	ceiling_limited	substitutions_difference	deletions_difference	insertions_difference	total_edit_operations_difference
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	full_minus_wm	391	mean per item in FULL minus WM	False	0.0	0.005115089514066497	0.0025575447570332483	0.0076726342710997444
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	full_minus_wm	391	mean per item in FULL minus WM	False	-0.005115089514066497	-0.0076726342710997444	-0.005115089514066497	-0.017902813299232736
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	full_minus_wm	391	mean per item in FULL minus WM	False	-0.0051150895140664975	-0.010230179028132991	-0.012787723785166238	-0.028132992327365727
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	full_minus_wm	391	mean per item in FULL minus WM	False	-0.005115089514066497	0.0	0.0	-0.005115089514066497
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	ltm_minus_full	391	mean per item in LTM minus FULL	False	0.3350383631713555	0.15601023017902813	0.08695652173913043	0.5780051150895141
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	ltm_minus_full	391	mean per item in LTM minus FULL	False	0.3120204603580563	0.1278772378516624	0.08951406649616368	0.5294117647058824
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	ltm_minus_full	391	mean per item in LTM minus FULL	False	0.3452685421994885	0.11764705882352941	0.05626598465473146	0.5191815856777494
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	ltm_minus_full	391	mean per item in LTM minus FULL	False	0.3375959079283888	0.1278772378516624	0.0792838874680307	0.5447570332480819
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	ltm_minus_wm	391	mean per item in LTM minus WM	False	0.3350383631713555	0.16112531969309463	0.08951406649616368	0.5856777493606138
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	ltm_minus_wm	391	mean per item in LTM minus WM	False	0.3069053708439898	0.12020460358056267	0.08439897698209718	0.5115089514066496
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	ltm_minus_wm	391	mean per item in LTM minus WM	False	0.34015345268542196	0.10741687979539641	0.043478260869565216	0.49104859335038364
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	ltm_minus_wm	391	mean per item in LTM minus WM	False	0.33248081841432225	0.1278772378516624	0.0792838874680307	0.5396419437340154
LICHTHEIM_CLEAN	19	real	Real words	full_minus_wm	671	mean per item in FULL minus WM	True	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	20	real	Real words	full_minus_wm	671	mean per item in FULL minus WM	True	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	21	real	Real words	full_minus_wm	671	mean per item in FULL minus WM	True	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	22	real	Real words	full_minus_wm	671	mean per item in FULL minus WM	True	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	19	real	Real words	ltm_minus_full	671	mean per item in LTM minus FULL	False	0.020864381520119227	0.0014903129657228018	0.0014903129657228018	0.02384500745156483
LICHTHEIM_CLEAN	20	real	Real words	ltm_minus_full	671	mean per item in LTM minus FULL	False	0.004470938897168405	0.0014903129657228018	0.0014903129657228018	0.007451564828614009
LICHTHEIM_CLEAN	21	real	Real words	ltm_minus_full	671	mean per item in LTM minus FULL	False	0.014903129657228018	0.0	0.0	0.014903129657228018
LICHTHEIM_CLEAN	22	real	Real words	ltm_minus_full	671	mean per item in LTM minus FULL	False	0.007451564828614009	0.0	0.0	0.007451564828614009
LICHTHEIM_CLEAN	19	real	Real words	ltm_minus_wm	671	mean per item in LTM minus WM	False	0.020864381520119227	0.0014903129657228018	0.0014903129657228018	0.02384500745156483
LICHTHEIM_CLEAN	20	real	Real words	ltm_minus_wm	671	mean per item in LTM minus WM	False	0.004470938897168405	0.0014903129657228018	0.0014903129657228018	0.007451564828614009
LICHTHEIM_CLEAN	21	real	Real words	ltm_minus_wm	671	mean per item in LTM minus WM	False	0.014903129657228018	0.0	0.0	0.014903129657228018
LICHTHEIM_CLEAN	22	real	Real words	ltm_minus_wm	671	mean per item in LTM minus WM	False	0.007451564828614009	0.0	0.0	0.007451564828614009
