source_lexicality	route_contrast	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
pseudo	full_minus_wm	deletions_difference	19:+0.005115; 20:-0.007673; 21:-0.010230; 22:+0.000000	-0.0031969309462915596	-0.010230179028132991	0.005115089514066497	0.015345268542199489	False	True	-0.0008525149190110826
pseudo	ltm_minus_full	deletions_difference	19:+0.156010; 20:+0.127877; 21:+0.117647; 22:+0.127877	0.1323529411764706	0.11764705882352941	0.15601023017902813	0.038363171355498715	True	True	0.1372549019607843
pseudo	ltm_minus_wm	deletions_difference	19:+0.161125; 20:+0.120205; 21:+0.107417; 22:+0.127877	0.12915601023017903	0.10741687979539641	0.16112531969309463	0.05370843989769822	True	True	0.13640238704177324
real	full_minus_wm	deletions_difference	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
real	ltm_minus_full	deletions_difference	19:+0.001490; 20:+0.001490; 21:+0.000000; 22:+0.000000	0.0007451564828614009	0.0	0.0014903129657228018	0.0014903129657228018	False	True	0.0009935419771485345
real	ltm_minus_wm	deletions_difference	19:+0.001490; 20:+0.001490; 21:+0.000000; 22:+0.000000	0.0007451564828614009	0.0	0.0014903129657228018	0.0014903129657228018	False	True	0.0009935419771485345
pseudo	full_minus_wm	insertions_difference	19:+0.002558; 20:-0.005115; 21:-0.012788; 22:+0.000000	-0.003836317135549872	-0.012787723785166238	0.0025575447570332483	0.015345268542199487	False	True	-0.0008525149190110828
pseudo	ltm_minus_full	insertions_difference	19:+0.086957; 20:+0.089514; 21:+0.056266; 22:+0.079284	0.07800511508951406	0.05626598465473146	0.08951406649616368	0.03324808184143222	True	True	0.08525149190110826
pseudo	ltm_minus_wm	insertions_difference	19:+0.089514; 20:+0.084399; 21:+0.043478; 22:+0.079284	0.0741687979539642	0.043478260869565216	0.08951406649616368	0.04603580562659847	True	True	0.0843989769820972
real	full_minus_wm	insertions_difference	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
real	ltm_minus_full	insertions_difference	19:+0.001490; 20:+0.001490; 21:+0.000000; 22:+0.000000	0.0007451564828614009	0.0	0.0014903129657228018	0.0014903129657228018	False	True	0.0009935419771485345
real	ltm_minus_wm	insertions_difference	19:+0.001490; 20:+0.001490; 21:+0.000000; 22:+0.000000	0.0007451564828614009	0.0	0.0014903129657228018	0.0014903129657228018	False	True	0.0009935419771485345
pseudo	full_minus_wm	substitutions_difference	19:+0.000000; 20:-0.005115; 21:-0.005115; 22:-0.005115	-0.003836317135549873	-0.0051150895140664975	0.0	0.0051150895140664975	False	True	-0.003410059676044331
pseudo	ltm_minus_full	substitutions_difference	19:+0.335038; 20:+0.312020; 21:+0.345269; 22:+0.337596	0.33248081841432225	0.3120204603580563	0.3452685421994885	0.03324808184143219	True	True	0.32821824381926684
pseudo	ltm_minus_wm	substitutions_difference	19:+0.335038; 20:+0.306905; 21:+0.340153; 22:+0.332481	0.32864450127877237	0.3069053708439898	0.34015345268542196	0.03324808184143219	True	True	0.3248081841432225
real	full_minus_wm	substitutions_difference	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
real	ltm_minus_full	substitutions_difference	19:+0.020864; 20:+0.004471; 21:+0.014903; 22:+0.007452	0.011922503725782416	0.004470938897168405	0.020864381520119227	0.01639344262295082	True	True	0.01092896174863388
real	ltm_minus_wm	substitutions_difference	19:+0.020864; 20:+0.004471; 21:+0.014903; 22:+0.007452	0.011922503725782416	0.004470938897168405	0.020864381520119227	0.01639344262295082	True	True	0.01092896174863388
pseudo	full_minus_wm	total_edit_operations_difference	19:+0.007673; 20:-0.017903; 21:-0.028133; 22:-0.005115	-0.010869565217391302	-0.028132992327365727	0.0076726342710997444	0.03580562659846547	False	True	-0.005115089514066497
pseudo	ltm_minus_full	total_edit_operations_difference	19:+0.578005; 20:+0.529412; 21:+0.519182; 22:+0.544757	0.5428388746803069	0.5191815856777494	0.5780051150895141	0.05882352941176472	True	True	0.5507246376811595
pseudo	ltm_minus_wm	total_edit_operations_difference	19:+0.585678; 20:+0.511509; 21:+0.491049; 22:+0.539642	0.5319693094629157	0.49104859335038364	0.5856777493606138	0.09462915601023014	True	True	0.545609548167093
real	full_minus_wm	total_edit_operations_difference	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
real	ltm_minus_full	total_edit_operations_difference	19:+0.023845; 20:+0.007452; 21:+0.014903; 22:+0.007452	0.013412816691505217	0.007451564828614009	0.02384500745156483	0.01639344262295082	True	True	0.01291604570293095
real	ltm_minus_wm	total_edit_operations_difference	19:+0.023845; 20:+0.007452; 21:+0.014903; 22:+0.007452	0.013412816691505217	0.007451564828614009	0.02384500745156483	0.01639344262295082	True	True	0.01291604570293095
