route	source_lexicality	broad_length	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
full	pseudo	Long	mean_deletions_per_item	19:+0.020000; 20:+0.000000; 21:+0.015000; 22:+0.000000	0.00875	0.0	0.02	0.02	False	True	0.006666666666666667
full	pseudo	Short	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Long	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Short	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	Long	mean_deletions_per_item	19:+0.310000; 20:+0.225000; 21:+0.225000; 22:+0.220000	0.245	0.22	0.31	0.09	True	True	0.25166666666666665
ltm	pseudo	Short	mean_deletions_per_item	19:+0.015707; 20:+0.026178; 21:+0.020942; 22:+0.031414	0.023560209424083774	0.015706806282722512	0.031413612565445025	0.015706806282722512	True	True	0.02443280977312391
ltm	real	Long	mean_deletions_per_item	19:+0.003030; 20:+0.003030; 21:+0.000000; 22:+0.000000	0.0015151515151515152	0.0	0.0030303030303030303	0.0030303030303030303	False	True	0.00202020202020202
ltm	real	Short	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	pseudo	Long	mean_deletions_per_item	19:+0.010000; 20:+0.015000; 21:+0.035000; 22:+0.000000	0.015000000000000001	0.0	0.035	0.035	False	True	0.008333333333333333
wm	pseudo	Short	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Long	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Short	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	pseudo	Long	mean_edit_distance_per_item	19:+0.045000; 20:+0.010000; 21:+0.060000; 22:+0.010000	0.031249999999999997	0.01	0.06	0.049999999999999996	True	True	0.021666666666666667
full	pseudo	Short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Long	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	Long	mean_edit_distance_per_item	19:+1.070000; 20:+0.875000; 21:+0.955000; 22:+0.935000	0.95875	0.875	1.07	0.19500000000000006	True	True	0.96
ltm	pseudo	Short	mean_edit_distance_per_item	19:+0.109948; 20:+0.178010; 21:+0.125654; 22:+0.146597	0.1400523560209424	0.1099476439790576	0.17801047120418848	0.06806282722513088	True	True	0.14485165794066318
ltm	real	Long	mean_edit_distance_per_item	19:+0.048485; 20:+0.015152; 21:+0.030303; 22:+0.006061	0.024999999999999998	0.006060606060606061	0.048484848484848485	0.04242424242424243	True	True	0.02323232323232323
ltm	real	Short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.008798	0.0021994134897360706	0.0	0.008797653958944282	0.008797653958944282	False	True	0.0029325513196480943
wm	pseudo	Long	mean_edit_distance_per_item	19:+0.030000; 20:+0.045000; 21:+0.115000; 22:+0.020000	0.0525	0.02	0.115	0.095	True	True	0.03166666666666667
wm	pseudo	Short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Long	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	pseudo	Long	mean_insertions_per_item	19:+0.010000; 20:+0.000000; 21:+0.010000; 22:+0.000000	0.005	0.0	0.01	0.01	False	True	0.0033333333333333335
full	pseudo	Short	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Long	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Short	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	Long	mean_insertions_per_item	19:+0.170000; 20:+0.155000; 21:+0.105000; 22:+0.130000	0.14	0.105	0.17	0.06500000000000002	True	True	0.15166666666666667
ltm	pseudo	Short	mean_insertions_per_item	19:+0.010471; 20:+0.020942; 21:+0.015707; 22:+0.026178	0.018324607329842934	0.010471204188481676	0.02617801047120419	0.015706806282722512	True	True	0.019197207678883072
