seed	route	source_lexicality	label	phoneme_length	n_items	n_premature	premature_eos_rate	mean_eos_shortfall_per_item	conditional_mean_eos_shortfall	n_eos_not_observed	n_eos_unavailable	n_on_time_observed	n_late_observed
19	full	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
20	full	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
21	full	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
22	full	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
19	full	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
20	full	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
21	full	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
22	full	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
19	full	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
20	full	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
21	full	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
22	full	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
19	full	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
20	full	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
21	full	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
22	full	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
19	full	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
20	full	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
21	full	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
22	full	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
19	full	pseudo	Pseudowords	9	66	2	0.030303030303030304	0.030303030303030304	1.0	64	0	0	0
20	full	pseudo	Pseudowords	9	66	0	0.0	0.0		66	0	0	0
21	full	pseudo	Pseudowords	9	66	1	0.015151515151515152	0.015151515151515152	1.0	65	0	0	0
22	full	pseudo	Pseudowords	9	66	0	0.0	0.0		66	0	0	0
19	full	real	Real words	3	100	0	0.0	0.0		100	0	0	0
20	full	real	Real words	3	100	0	0.0	0.0		100	0	0	0
21	full	real	Real words	3	100	0	0.0	0.0		100	0	0	0
22	full	real	Real words	3	100	0	0.0	0.0		100	0	0	0
19	full	real	Real words	4	98	0	0.0	0.0		98	0	0	0
20	full	real	Real words	4	98	0	0.0	0.0		98	0	0	0
21	full	real	Real words	4	98	0	0.0	0.0		98	0	0	0
22	full	real	Real words	4	98	0	0.0	0.0		98	0	0	0
19	full	real	Real words	5	143	0	0.0	0.0		143	0	0	0
20	full	real	Real words	5	143	0	0.0	0.0		143	0	0	0
21	full	real	Real words	5	143	0	0.0	0.0		143	0	0	0
22	full	real	Real words	5	143	0	0.0	0.0		143	0	0	0
19	full	real	Real words	7	176	0	0.0	0.0		176	0	0	0
20	full	real	Real words	7	176	0	0.0	0.0		176	0	0	0
21	full	real	Real words	7	176	0	0.0	0.0		176	0	0	0
22	full	real	Real words	7	176	0	0.0	0.0		176	0	0	0
19	full	real	Real words	8	88	0	0.0	0.0		88	0	0	0
20	full	real	Real words	8	88	0	0.0	0.0		88	0	0	0
21	full	real	Real words	8	88	0	0.0	0.0		88	0	0	0
22	full	real	Real words	8	88	0	0.0	0.0		88	0	0	0
19	full	real	Real words	9	66	0	0.0	0.0		66	0	0	0
20	full	real	Real words	9	66	0	0.0	0.0		66	0	0	0
21	full	real	Real words	9	66	0	0.0	0.0		66	0	0	0
22	full	real	Real words	9	66	0	0.0	0.0		66	0	0	0
19	ltm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
20	ltm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
21	ltm	pseudo	Pseudowords	3	47	1	0.02127659574468085	0.02127659574468085	1.0	46	0	0	0
22	ltm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
19	ltm	pseudo	Pseudowords	4	78	1	0.01282051282051282	0.01282051282051282	1.0	77	0	0	0
20	ltm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
21	ltm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
22	ltm	pseudo	Pseudowords	4	78	1	0.01282051282051282	0.01282051282051282	1.0	77	0	0	0
19	ltm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
20	ltm	pseudo	Pseudowords	5	66	1	0.015151515151515152	0.015151515151515152	1.0	65	0	0	0
21	ltm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
22	ltm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
19	ltm	pseudo	Pseudowords	7	66	2	0.030303030303030304	0.030303030303030304	1.0	64	0	0	0
20	ltm	pseudo	Pseudowords	7	66	1	0.015151515151515152	0.015151515151515152	1.0	65	0	0	0
21	ltm	pseudo	Pseudowords	7	66	2	0.030303030303030304	0.045454545454545456	1.5	64	0	0	0
22	ltm	pseudo	Pseudowords	7	66	4	0.06060606060606061	0.06060606060606061	1.0	62	0	0	0
19	ltm	pseudo	Pseudowords	8	68	5	0.07352941176470588	0.07352941176470588	1.0	63	0	0	0
20	ltm	pseudo	Pseudowords	8	68	4	0.058823529411764705	0.058823529411764705	1.0	64	0	0	0
21	ltm	pseudo	Pseudowords	8	68	5	0.07352941176470588	0.07352941176470588	1.0	63	0	0	0
22	ltm	pseudo	Pseudowords	8	68	5	0.07352941176470588	0.08823529411764706	1.2	63	0	0	0
19	ltm	pseudo	Pseudowords	9	66	18	0.2727272727272727	0.3181818181818182	1.1666666666666667	48	0	0	0
20	ltm	pseudo	Pseudowords	9	66	8	0.12121212121212122	0.13636363636363635	1.125	58	0	0	0
21	ltm	pseudo	Pseudowords	9	66	16	0.24242424242424243	0.24242424242424243	1.0	50	0	0	0
22	ltm	pseudo	Pseudowords	9	66	8	0.12121212121212122	0.12121212121212122	1.0	58	0	0	0
19	ltm	real	Real words	3	100	0	0.0	0.0		100	0	0	0
20	ltm	real	Real words	3	100	0	0.0	0.0		100	0	0	0
21	ltm	real	Real words	3	100	0	0.0	0.0		100	0	0	0
22	ltm	real	Real words	3	100	0	0.0	0.0		100	0	0	0
19	ltm	real	Real words	4	98	0	0.0	0.0		98	0	0	0
20	ltm	real	Real words	4	98	0	0.0	0.0		98	0	0	0
21	ltm	real	Real words	4	98	0	0.0	0.0		98	0	0	0
22	ltm	real	Real words	4	98	0	0.0	0.0		98	0	0	0
19	ltm	real	Real words	5	143	0	0.0	0.0		143	0	0	0
20	ltm	real	Real words	5	143	0	0.0	0.0		143	0	0	0
21	ltm	real	Real words	5	143	0	0.0	0.0		143	0	0	0
22	ltm	real	Real words	5	143	0	0.0	0.0		143	0	0	0
19	ltm	real	Real words	7	176	0	0.0	0.0		176	0	0	0
20	ltm	real	Real words	7	176	0	0.0	0.0		176	0	0	0
21	ltm	real	Real words	7	176	0	0.0	0.0		176	0	0	0
22	ltm	real	Real words	7	176	0	0.0	0.0		176	0	0	0
19	ltm	real	Real words	8	88	0	0.0	0.0		88	0	0	0
20	ltm	real	Real words	8	88	0	0.0	0.0		88	0	0	0
21	ltm	real	Real words	8	88	0	0.0	0.0		88	0	0	0
22	ltm	real	Real words	8	88	0	0.0	0.0		88	0	0	0
19	ltm	real	Real words	9	66	0	0.0	0.0		66	0	0	0
20	ltm	real	Real words	9	66	0	0.0	0.0		66	0	0	0
21	ltm	real	Real words	9	66	0	0.0	0.0		66	0	0	0
22	ltm	real	Real words	9	66	0	0.0	0.0		66	0	0	0
19	wm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
20	wm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
21	wm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
22	wm	pseudo	Pseudowords	3	47	0	0.0	0.0		47	0	0	0
19	wm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
20	wm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
21	wm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
22	wm	pseudo	Pseudowords	4	78	0	0.0	0.0		78	0	0	0
19	wm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
20	wm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
21	wm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
22	wm	pseudo	Pseudowords	5	66	0	0.0	0.0		66	0	0	0
19	wm	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
20	wm	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
21	wm	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
22	wm	pseudo	Pseudowords	7	66	0	0.0	0.0		66	0	0	0
19	wm	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
20	wm	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
21	wm	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
22	wm	pseudo	Pseudowords	8	68	0	0.0	0.0		68	0	0	0
