seed	route	lichtheim_exposure_status	descriptive_only	n_items	n_premature	premature_eos_rate	mean_eos_shortfall_per_item	conditional_mean_eos_shortfall	n_eos_not_observed	n_eos_unavailable	n_on_time_observed	n_late_observed
19	full	NOVEL_PSEUDOWORD	False	391	2	0.005115089514066497	0.005115089514066497	1.0	389	0	0	0
20	full	NOVEL_PSEUDOWORD	False	391	0	0.0	0.0		391	0	0	0
21	full	NOVEL_PSEUDOWORD	False	391	1	0.0025575447570332483	0.0025575447570332483	1.0	390	0	0	0
22	full	NOVEL_PSEUDOWORD	False	391	0	0.0	0.0		391	0	0	0
19	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
20	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
21	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
22	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
19	full	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
20	full	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
21	full	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
22	full	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
19	full	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
20	full	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
21	full	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
22	full	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
19	full	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
20	full	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
21	full	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
22	full	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
19	full	UNTRAINED_REAL	False	122	1	0.00819672131147541	0.00819672131147541	1.0	121	0	0	0
20	full	UNTRAINED_REAL	False	122	1	0.00819672131147541	0.00819672131147541	1.0	121	0	0	0
21	full	UNTRAINED_REAL	False	122	1	0.00819672131147541	0.00819672131147541	1.0	121	0	0	0
22	full	UNTRAINED_REAL	False	122	0	0.0	0.0		122	0	0	0
19	ltm	NOVEL_PSEUDOWORD	False	391	26	0.06649616368286446	0.0741687979539642	1.1153846153846154	365	0	0	0
20	ltm	NOVEL_PSEUDOWORD	False	391	14	0.03580562659846547	0.03836317135549872	1.0714285714285714	377	0	0	0
21	ltm	NOVEL_PSEUDOWORD	False	391	24	0.061381074168797956	0.0639386189258312	1.0416666666666667	367	0	0	0
22	ltm	NOVEL_PSEUDOWORD	False	391	18	0.04603580562659847	0.04859335038363171	1.0555555555555556	373	0	0	0
19	ltm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
20	ltm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
21	ltm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
22	ltm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
19	ltm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
20	ltm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
21	ltm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
22	ltm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
19	ltm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
20	ltm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
21	ltm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
22	ltm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
19	ltm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
20	ltm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
21	ltm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
22	ltm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
19	ltm	UNTRAINED_REAL	False	122	6	0.04918032786885246	0.04918032786885246	1.0	116	0	0	0
20	ltm	UNTRAINED_REAL	False	122	9	0.07377049180327869	0.07377049180327869	1.0	113	0	0	0
21	ltm	UNTRAINED_REAL	False	122	9	0.07377049180327869	0.08196721311475409	1.1111111111111112	113	0	0	0
22	ltm	UNTRAINED_REAL	False	122	7	0.05737704918032787	0.05737704918032787	1.0	115	0	0	0
19	wm	NOVEL_PSEUDOWORD	False	391	1	0.0025575447570332483	0.0025575447570332483	1.0	390	0	0	0
20	wm	NOVEL_PSEUDOWORD	False	391	1	0.0025575447570332483	0.0025575447570332483	1.0	390	0	0	0
21	wm	NOVEL_PSEUDOWORD	False	391	0	0.0	0.0		391	0	0	0
22	wm	NOVEL_PSEUDOWORD	False	391	0	0.0	0.0		391	0	0	0
19	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
20	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
21	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
22	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	0.0	0.0		4	0	0	0
19	wm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
20	wm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
21	wm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
22	wm	PSEUDO_TRAINING_WORD	True	5	0	0.0	0.0		5	0	0	0
19	wm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
20	wm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
21	wm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
22	wm	TRAINED_REAL_EXACT	False	671	0	0.0	0.0		671	0	0	0
19	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
20	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
21	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
22	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	0.0	0.0		7	0	0	0
19	wm	UNTRAINED_REAL	False	122	0	0.0	0.0		122	0	0	0
20	wm	UNTRAINED_REAL	False	122	0	0.0	0.0		122	0	0	0
21	wm	UNTRAINED_REAL	False	122	0	0.0	0.0		122	0	0	0
22	wm	UNTRAINED_REAL	False	122	0	0.0	0.0		122	0	0	0
