route	source_lexicality	quantity	seed_values	mean_over_seeds	min	max	range	seed21_included	exact_zero_seeds_mean
full	pseudo	conditional_mean_eos_shortfall	19:+1.000000; 20:nan; 21:+1.000000; 22:nan	1.0	1.0	1.0	0.0	True	1.0
full	real	conditional_mean_eos_shortfall	19:nan; 20:nan; 21:nan; 22:nan					True	
ltm	pseudo	conditional_mean_eos_shortfall	19:+1.115385; 20:+1.071429; 21:+1.041667; 22:+1.055556	1.0710088522588523	1.0416666666666667	1.1153846153846154	0.07371794871794868	True	1.0807895807895809
ltm	real	conditional_mean_eos_shortfall	19:nan; 20:nan; 21:nan; 22:nan					True	
wm	pseudo	conditional_mean_eos_shortfall	19:+1.000000; 20:+1.000000; 21:nan; 22:nan	1.0	1.0	1.0	0.0	True	1.0
wm	real	conditional_mean_eos_shortfall	19:nan; 20:nan; 21:nan; 22:nan					True	
full	pseudo	mean_eos_shortfall_per_item	19:+0.005115; 20:+0.000000; 21:+0.002558; 22:+0.000000	0.0019181585677749361	0.0	0.005115089514066497	0.005115089514066497	True	0.0017050298380221656
full	real	mean_eos_shortfall_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
ltm	pseudo	mean_eos_shortfall_per_item	19:+0.074169; 20:+0.038363; 21:+0.063939; 22:+0.048593	0.056265984654731455	0.03836317135549872	0.0741687979539642	0.03580562659846547	True	0.05370843989769821
ltm	real	mean_eos_shortfall_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
wm	pseudo	mean_eos_shortfall_per_item	19:+0.002558; 20:+0.002558; 21:+0.000000; 22:+0.000000	0.0012787723785166241	0.0	0.0025575447570332483	0.0025575447570332483	True	0.0017050298380221656
wm	real	mean_eos_shortfall_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
full	pseudo	premature_eos_rate	19:+0.005115; 20:+0.000000; 21:+0.002558; 22:+0.000000	0.0019181585677749361	0.0	0.005115089514066497	0.005115089514066497	True	0.0017050298380221656
full	real	premature_eos_rate	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
ltm	pseudo	premature_eos_rate	19:+0.066496; 20:+0.035806; 21:+0.061381; 22:+0.046036	0.052429667519181586	0.03580562659846547	0.06649616368286446	0.030690537084398985	True	0.0494458653026428
ltm	real	premature_eos_rate	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
wm	pseudo	premature_eos_rate	19:+0.002558; 20:+0.002558; 21:+0.000000; 22:+0.000000	0.0012787723785166241	0.0	0.0025575447570332483	0.0025575447570332483	True	0.0017050298380221656
wm	real	premature_eos_rate	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
