seed	condition	condition_order	n_items	n_erroneous_items	cell_flag
19	RLCH	0	100	0	OK
20	RLCH	0	100	0	OK
21	RLCH	0	100	0	OK
22	RLCH	0	100	0	OK
19	RLCL	1	100	2	OK
20	RLCL	1	100	1	OK
21	RLCL	1	100	1	OK
22	RLCL	1	100	1	OK
19	RLSH	2	100	0	OK
20	RLSH	2	100	0	OK
21	RLSH	2	100	0	OK
22	RLSH	2	100	0	OK
19	RLSL	3	100	1	OK
20	RLSL	3	100	1	OK
21	RLSL	3	100	0	OK
22	RLSL	3	100	1	OK
19	RSCH	4	100	0	OK
20	RSCH	4	100	0	OK
21	RSCH	4	100	0	OK
22	RSCH	4	100	0	OK
19	RSCL	5	100	0	OK
20	RSCL	5	100	0	OK
21	RSCL	5	100	0	OK
22	RSCL	5	100	0	OK
19	RSSH	6	100	0	OK
20	RSSH	6	100	0	OK
21	RSSH	6	100	0	OK
22	RSSH	6	100	0	OK
19	RSSL	7	100	0	OK
20	RSSL	7	100	0	OK
21	RSSL	7	100	0	OK
22	RSSL	7	100	0	OK
19	PLS	8	100	4	OK
20	PLS	8	100	0	OK
21	PLS	8	100	3	OK
22	PLS	8	100	1	OK
19	PSC	9	100	0	OK
20	PSC	9	100	0	OK
21	PSC	9	100	0	OK
22	PSC	9	100	0	OK
19	PLC	10	100	2	OK
20	PLC	10	100	1	OK
21	PLC	10	100	4	OK
22	PLC	10	100	0	OK
19	PSS	11	100	0	OK
20	PSS	11	100	0	OK
21	PSS	11	100	0	OK
22	PSS	11	100	0	OK
