seed	condition	condition_order	source_lexicality	n_items	n_erroneous_items	total_edit_operations	composition_status	proportion_substitutions	proportion_deletions	proportion_insertions
19	RLCH	0	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RLCH	0	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RLCH	0	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RLCH	0	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	RLCL	1	real	100	2	3.0	OK	0.0	0.6666666666666666	0.3333333333333333
20	RLCL	1	real	100	1	1.0	OK	0.0	1.0	0.0
21	RLCL	1	real	100	1	1.0	OK	0.0	1.0	0.0
22	RLCL	1	real	100	1	2.0	OK	0.0	0.5	0.5
19	RLSH	2	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RLSH	2	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RLSH	2	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RLSH	2	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	RLSL	3	real	100	1	2.0	OK	1.0	0.0	0.0
20	RLSL	3	real	100	1	1.0	OK	1.0	0.0	0.0
21	RLSL	3	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RLSL	3	real	100	1	2.0	OK	1.0	0.0	0.0
19	RSCH	4	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RSCH	4	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RSCH	4	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RSCH	4	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	RSCL	5	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RSCL	5	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RSCL	5	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RSCL	5	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	RSSH	6	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RSSH	6	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RSSH	6	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RSSH	6	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	RSSL	7	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	RSSL	7	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	RSSL	7	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	RSSL	7	real	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	PLS	8	pseudo	100	4	7.0	OK	0.2857142857142857	0.42857142857142855	0.2857142857142857
20	PLS	8	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	PLS	8	pseudo	100	3	6.0	OK	0.3333333333333333	0.3333333333333333	0.3333333333333333
22	PLS	8	pseudo	100	1	2.0	OK	1.0	0.0	0.0
19	PSC	9	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	PSC	9	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	PSC	9	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	PSC	9	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	PLC	10	pseudo	100	2	2.0	OK	0.5	0.5	0.0
20	PLC	10	pseudo	100	1	2.0	OK	1.0	0.0	0.0
21	PLC	10	pseudo	100	4	6.0	OK	0.8333333333333334	0.16666666666666666	0.0
22	PLC	10	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
19	PSS	11	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
20	PSS	11	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
21	PSS	11	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
22	PSS	11	pseudo	100	0	0.0	NO_ERRORS_FOR_COMPOSITION			
