dataset_regime	route	seed	condition	condition_order	source_lexicality	size	morphology	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
FAITHFUL_WFE_ALL	full	19	RLCH	0	real	long	complex	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	20	RLCH	0	real	long	complex	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	21	RLCH	0	real	long	complex	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	22	RLCH	0	real	long	complex	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	19	RLCL	1	real	long	complex	100	2	OK	3.0	0.03	0.0	0.0	0.0	0.0	2.0	0.02	1.0	0.6666666666666666	1.0	0.01	0.5	0.3333333333333333	OK
FAITHFUL_WFE_ALL	full	20	RLCL	1	real	long	complex	100	1	OK	1.0	0.01	0.0	0.0	0.0	0.0	1.0	0.01	1.0	1.0	0.0	0.0	0.0	0.0	OK
FAITHFUL_WFE_ALL	full	21	RLCL	1	real	long	complex	100	1	OK	1.0	0.01	0.0	0.0	0.0	0.0	1.0	0.01	1.0	1.0	0.0	0.0	0.0	0.0	OK
FAITHFUL_WFE_ALL	full	22	RLCL	1	real	long	complex	100	1	OK	2.0	0.02	0.0	0.0	0.0	0.0	1.0	0.01	1.0	0.5	1.0	0.01	1.0	0.5	OK
FAITHFUL_WFE_ALL	full	19	RLSH	2	real	long	simple	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	20	RLSH	2	real	long	simple	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	21	RLSH	2	real	long	simple	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	22	RLSH	2	real	long	simple	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
FAITHFUL_WFE_ALL	full	19	RLSL	3	real	long	simple	100	1	OK	2.0	0.02	2.0	0.02	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
FAITHFUL_WFE_ALL	full	20	RLSL	3	real	long	simple	100	1	OK	1.0	0.01	1.0	0.01	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
FAITHFUL_WFE_ALL	full	21	RLSL	3	real	long	simple	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
