condition	condition_order	source_lexicality	morphology	size	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
RLCH	0	real	complex	long	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
RLCL	1	real	complex	long	mean_edit_distance_per_item	19:+0.030000; 20:+0.010000; 21:+0.010000; 22:+0.020000	0.0175	0.01	0.03	0.019999999999999997	True	True	0.02
RLSH	2	real	simple	long	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
RLSL	3	real	simple	long	mean_edit_distance_per_item	19:+0.020000; 20:+0.010000; 21:+0.000000; 22:+0.020000	0.0125	0.0	0.02	0.02	False	True	0.016666666666666666
RSCH	4	real	complex	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
RSCL	5	real	complex	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
RSSH	6	real	simple	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
RSSL	7	real	simple	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
PLS	8	pseudo	simple	long	mean_edit_distance_per_item	19:+0.070000; 20:+0.000000; 21:+0.060000; 22:+0.020000	0.0375	0.0	0.07	0.07	False	True	0.030000000000000002
PSC	9	pseudo	complex	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
PLC	10	pseudo	complex	long	mean_edit_distance_per_item	19:+0.020000; 20:+0.020000; 21:+0.060000; 22:+0.000000	0.025	0.0	0.06	0.06	False	True	0.013333333333333334
PSS	11	pseudo	simple	short	mean_edit_distance_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
