dataset_regime	seed	route	lichtheim_exposure_status	descriptive_only	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
ALL_WITH_EXPOSURE_STRATA	19	full	NOVEL_PSEUDOWORD	False	391	6	OK	9.0	0.023017902813299233	3.0	0.0076726342710997444	0.5	0.3333333333333333	4.0	0.010230179028132993	0.6666666666666666	0.4444444444444444	2.0	0.005115089514066497	0.3333333333333333	0.2222222222222222	OK
ALL_WITH_EXPOSURE_STRATA	20	full	NOVEL_PSEUDOWORD	False	391	1	OK	2.0	0.005115089514066497	2.0	0.005115089514066497	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
ALL_WITH_EXPOSURE_STRATA	21	full	NOVEL_PSEUDOWORD	False	391	7	OK	12.0	0.030690537084398978	7.0	0.017902813299232736	1.0	0.5833333333333334	3.0	0.0076726342710997444	0.42857142857142855	0.25	2.0	0.005115089514066497	0.2857142857142857	0.16666666666666666	OK
ALL_WITH_EXPOSURE_STRATA	22	full	NOVEL_PSEUDOWORD	False	391	1	OK	2.0	0.005115089514066497	2.0	0.005115089514066497	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
ALL_WITH_EXPOSURE_STRATA	19	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	full	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	full	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	full	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
