dataset_regime	seed	route	source_lexicality	label	morphology	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	197	2	OK	2.0	0.01015228426395939	1.0	0.005076142131979695	0.5	0.5	1.0	0.005076142131979695	0.5	0.5	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	197	1	OK	2.0	0.01015228426395939	2.0	0.01015228426395939	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	197	4	OK	6.0	0.030456852791878174	5.0	0.025380710659898477	1.25	0.8333333333333334	1.0	0.005076142131979695	0.25	0.16666666666666666	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	197	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	194	4	OK	7.0	0.03608247422680412	2.0	0.010309278350515464	0.5	0.2857142857142857	3.0	0.015463917525773196	0.75	0.42857142857142855	2.0	0.010309278350515464	0.5	0.2857142857142857	OK
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	194	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	194	3	OK	6.0	0.030927835051546393	2.0	0.010309278350515464	0.6666666666666666	0.3333333333333333	2.0	0.010309278350515464	0.6666666666666666	0.3333333333333333	2.0	0.010309278350515464	0.6666666666666666	0.3333333333333333	OK
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	194	1	OK	2.0	0.010309278350515464	2.0	0.010309278350515464	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	full	real	Real words	complex	305	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	complex	305	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	complex	305	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	complex	305	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	simple	366	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	simple	366	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	simple	366	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	simple	366	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	complex	197	47	OK	114.0	0.5786802030456852	63.0	0.3197969543147208	1.3404255319148937	0.5526315789473685	32.0	0.16243654822335024	0.6808510638297872	0.2807017543859649	19.0	0.09644670050761421	0.40425531914893614	0.16666666666666666	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	complex	197	43	OK	108.0	0.5482233502538071	62.0	0.3147208121827411	1.441860465116279	0.5740740740740741	27.0	0.13705583756345177	0.627906976744186	0.25	19.0	0.09644670050761421	0.4418604651162791	0.17592592592592593	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	complex	197	42	OK	100.0	0.5076142131979695	68.0	0.34517766497461927	1.619047619047619	0.68	22.0	0.1116751269035533	0.5238095238095238	0.22	10.0	0.050761421319796954	0.23809523809523808	0.1	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	complex	197	42	OK	104.0	0.5279187817258884	54.0	0.27411167512690354	1.2857142857142858	0.5192307692307693	31.0	0.15736040609137056	0.7380952380952381	0.2980769230769231	19.0	0.09644670050761421	0.4523809523809524	0.18269230769230768	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	simple	194	52	OK	121.0	0.6237113402061856	71.0	0.36597938144329895	1.3653846153846154	0.5867768595041323	33.0	0.17010309278350516	0.6346153846153846	0.2727272727272727	17.0	0.08762886597938144	0.3269230769230769	0.14049586776859505	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	simple	194	44	OK	101.0	0.520618556701031	62.0	0.31958762886597936	1.4090909090909092	0.6138613861386139	23.0	0.11855670103092783	0.5227272727272727	0.22772277227722773	16.0	0.08247422680412371	0.36363636363636365	0.15841584158415842	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	simple	194	49	OK	115.0	0.5927835051546392	74.0	0.38144329896907214	1.510204081632653	0.6434782608695652	27.0	0.13917525773195877	0.5510204081632653	0.23478260869565218	14.0	0.07216494845360824	0.2857142857142857	0.12173913043478261	OK
