route	source_lexicality	morphology	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
full	pseudo	complex	mean_deletions_per_item	19:+0.005076; 20:+0.000000; 21:+0.005076; 22:+0.000000	0.0025380710659898475	0.0	0.005076142131979695	0.005076142131979695	False	True	0.001692047377326565
full	pseudo	simple	mean_deletions_per_item	19:+0.015464; 20:+0.000000; 21:+0.010309; 22:+0.000000	0.006443298969072165	0.0	0.015463917525773196	0.015463917525773196	False	True	0.005154639175257732
full	real	complex	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	simple	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	complex	mean_deletions_per_item	19:+0.162437; 20:+0.137056; 21:+0.111675; 22:+0.157360	0.14213197969543148	0.1116751269035533	0.16243654822335024	0.05076142131979694	True	True	0.15228426395939088
ltm	pseudo	simple	mean_deletions_per_item	19:+0.170103; 20:+0.118557; 21:+0.139175; 22:+0.097938	0.13144329896907217	0.0979381443298969	0.17010309278350516	0.07216494845360825	True	True	0.12886597938144329
ltm	real	complex	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	real	simple	mean_deletions_per_item	19:+0.002732; 20:+0.002732; 21:+0.000000; 22:+0.000000	0.001366120218579235	0.0	0.00273224043715847	0.00273224043715847	False	True	0.0018214936247723133
wm	pseudo	complex	mean_deletions_per_item	19:+0.005076; 20:+0.005076; 21:+0.020305; 22:+0.000000	0.0076142131979695426	0.0	0.02030456852791878	0.02030456852791878	False	True	0.00338409475465313
wm	pseudo	simple	mean_deletions_per_item	19:+0.005155; 20:+0.010309; 21:+0.015464; 22:+0.000000	0.007731958762886598	0.0	0.015463917525773196	0.015463917525773196	False	True	0.005154639175257732
wm	real	complex	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	simple	mean_deletions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	pseudo	complex	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	pseudo	simple	mean_insertions_per_item	19:+0.010309; 20:+0.000000; 21:+0.010309; 22:+0.000000	0.005154639175257732	0.0	0.010309278350515464	0.010309278350515464	False	True	0.003436426116838488
full	real	complex	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	simple	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	complex	mean_insertions_per_item	19:+0.096447; 20:+0.096447; 21:+0.050761; 22:+0.096447	0.0850253807106599	0.050761421319796954	0.09644670050761421	0.04568527918781726	True	True	0.09644670050761421
ltm	pseudo	simple	mean_insertions_per_item	19:+0.087629; 20:+0.082474; 21:+0.072165; 22:+0.061856	0.07603092783505155	0.061855670103092786	0.08762886597938144	0.02577319587628865	True	True	0.07731958762886598
ltm	real	complex	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	real	simple	mean_insertions_per_item	19:+0.002732; 20:+0.002732; 21:+0.000000; 22:+0.000000	0.001366120218579235	0.0	0.00273224043715847	0.00273224043715847	False	True	0.0018214936247723133
wm	pseudo	complex	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.020305; 22:+0.000000	0.005076142131979695	0.0	0.02030456852791878	0.02030456852791878	False	True	0.0
