item_id	split	lexicality	length	morphology	lichtheim_exposure_status
wfe_0000	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0001	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0004	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0005	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0006	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0007	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0008	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0009	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0011	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0013	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0014	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0015	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0016	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0017	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0018	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0019	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0020	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0021	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0022	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0024	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0025	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0026	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0027	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0028	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0029	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0032	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0033	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0034	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0035	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0036	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0037	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0038	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0040	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0043	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0044	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0045	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0046	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0047	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0048	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0049	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0050	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0052	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0053	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0054	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0055	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0059	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0060	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0063	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0064	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0065	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0067	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0068	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0071	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0072	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0074	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0075	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0076	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0077	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0078	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0080	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0083	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0084	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0085	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0086	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0088	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0089	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0091	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0093	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0094	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0095	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0096	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0097	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0098	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0099	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0105	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0108	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0109	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0115	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0116	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0119	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0120	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0124	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0126	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0127	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0128	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0132	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0135	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0136	train	real	8	complex	TRAINED_REAL_EXACT
