seed	dropped_block	n_blocks_retained	test_r2_without_block	test_mae_without_block	test_r2_full_interaction_model	test_mae_full_interaction_model	block_r2_utility	block_mae_utility	method	model_status
19	lexicality_x_length	4	0.22498263069577273	0.1659501246038001	0.2644448788204312	0.1867732374213145	0.03946224812465848	-0.020823112817514394	drop-block refit; no post-hoc selection	OK
20	lexicality_x_length	4	0.16820801561549792	0.15049817865785636	0.186501816758456	0.16407110439653685	0.018293801142958088	-0.013572925738680491	drop-block refit; no post-hoc selection	OK
21	lexicality_x_length	4	0.1313587971637874	0.15276984699096768	0.17310497296902683	0.1612196677162592	0.04174617580523943	-0.008449820725291518	drop-block refit; no post-hoc selection	OK
22	lexicality_x_length	4	0.18826260489610047	0.1351685449873778	0.20443237829394456	0.15639405864422054	0.01616977339784409	-0.02122551365684275	drop-block refit; no post-hoc selection	OK
19	morphology_x_length	4	0.26412762891339736	0.18691914200624551	0.2644448788204312	0.1867732374213145	0.00031724990703385636	0.00014590458493102254	drop-block refit; no post-hoc selection	OK
20	morphology_x_length	4	0.18819269969914854	0.16370969841311325	0.186501816758456	0.16407110439653685	-0.0016908829406925285	-0.00036140598342360164	drop-block refit; no post-hoc selection	OK
21	morphology_x_length	4	0.1732251732132214	0.16124480266224187	0.17310497296902683	0.1612196677162592	-0.0001202002441945682	2.5134945982663304e-05	drop-block refit; no post-hoc selection	OK
22	morphology_x_length	4	0.20511607421378086	0.1562556106870459	0.20443237829394456	0.15639405864422054	-0.0006836959198363024	-0.0001384479571746311	drop-block refit; no post-hoc selection	OK
19	route_x_length	4	0.23120973156060398	0.17102011423897195	0.2644448788204312	0.1867732374213145	0.033235147259827236	-0.015753123182342538	drop-block refit; no post-hoc selection	OK
20	route_x_length	4	0.1716508576905642	0.15192570816194736	0.186501816758456	0.16407110439653685	0.0148509590678918	-0.01214539623458949	drop-block refit; no post-hoc selection	OK
21	route_x_length	4	0.14223559986163992	0.14447742593172241	0.17310497296902683	0.1612196677162592	0.03086937310738691	-0.016742241784536788	drop-block refit; no post-hoc selection	OK
22	route_x_length	4	0.16847567098628957	0.13795942445572754	0.20443237829394456	0.15639405864422054	0.03595670730765499	-0.018434634188493004	drop-block refit; no post-hoc selection	OK
19	route_x_lexicality	4	0.18780004885484058	0.2029869243175139	0.2644448788204312	0.1867732374213145	0.07664482996559063	0.016213686896199397	drop-block refit; no post-hoc selection	OK
20	route_x_lexicality	4	0.11780122771660906	0.1795362916178222	0.186501816758456	0.16407110439653685	0.06870058904184695	0.015465187221285343	drop-block refit; no post-hoc selection	OK
21	route_x_lexicality	4	0.137848186422589	0.17559750497291757	0.17310497296902683	0.1612196677162592	0.035256786546437824	0.014377837256658366	drop-block refit; no post-hoc selection	OK
22	route_x_lexicality	4	0.12909922009682018	0.17051932343826975	0.20443237829394456	0.15639405864422054	0.07533315819712438	0.014125264794049214	drop-block refit; no post-hoc selection	OK
19	route_x_morphology	4	0.264984134128466	0.18608529313561828	0.2644448788204312	0.1867732374213145	-0.0005392553080347806	-0.0006879442856962126	drop-block refit; no post-hoc selection	OK
20	route_x_morphology	4	0.18627993163367973	0.16406314926980772	0.186501816758456	0.16407110439653685	0.00022188512477627764	-7.955126729131123e-06	drop-block refit; no post-hoc selection	OK
21	route_x_morphology	4	0.17396509420354922	0.16089602823007382	0.17310497296902683	0.1612196677162592	-0.000860121234522393	-0.0003236394861853842	drop-block refit; no post-hoc selection	OK
22	route_x_morphology	4	0.20216464582920535	0.1563406470509027	0.20443237829394456	0.15639405864422054	0.002267732464739214	-5.341159331784251e-05	drop-block refit; no post-hoc selection	OK
