model	seed	term	coefficient	reference_levels	signed	note
clean_interactions	19	(intercept)	0.012512260442002848	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
clean_interactions	19	length_z	0.09647890369072999	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	lexicality_real	-0.008161179032792109	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	lexicality_real:length_z	-0.16117820062279356	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	morphology_simple	-0.015053865201337998	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	morphology_simple:length_z	0.008750906062302275	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_full	-0.0018752704476733045	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_full:length_z	0.0018880325431076938	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_full:lexicality_real	0.0010107581250640642	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_full:morphology_simple	0.0034242335015049956	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_ltm	0.4969270650696303	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_ltm:length_z	0.22577578441792426	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_ltm:lexicality_real	-0.4911158133029313	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	19	route_ltm:morphology_simple	0.07329496170282995	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	(intercept)	0.016923618264826745	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
clean_interactions	20	length_z	0.1056411121256322	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	lexicality_real	-0.01216550005630277	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	lexicality_real:length_z	-0.13859298185036326	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	morphology_simple	-0.021633538964524582	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	morphology_simple:length_z	-0.03255332436576508	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_full	-0.0116019431304983	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_full:length_z	-0.0023720341843584685	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_full:lexicality_real	0.009454310385017435	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_full:morphology_simple	0.005111389770538604	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_ltm	0.48220852483225585	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_ltm:length_z	0.16740032572528138	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	20	route_ltm:lexicality_real	-0.4672838595253556	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
