factor	quantity	seed_values	mean_over_seeds	exact_zero_seeds_mean	seed21_included	exact_zero_seeds	replaces_primary
length	mae_increase_mean	19:+0.009143; 20:+0.004866; 21:+0.008464; 22:+0.005173	0.006911328849596007	0.006393790122839631	True	19; 20; 22	False
lexicality	mae_increase_mean	19:+0.012073; 20:+0.008883; 21:+0.011166; 22:+0.008178	0.01007500821570877	0.009711341733348521	True	19; 20; 22	False
morphology	mae_increase_mean	19:+0.000970; 20:-0.000237; 21:+0.001145; 22:+0.000355	0.0005582692191542762	0.00036285820763459726	True	19; 20; 22	False
route	mae_increase_mean	19:+0.008803; 20:+0.007968; 21:+0.006284; 22:+0.007953	0.007751918761117877	0.008241132303898425	True	19; 20; 22	False
length	r2_drop_mean	19:+0.054968; 20:+0.031234; 21:+0.062531; 22:+0.040374	0.047276956274232666	0.04219217437963585	True	19; 20; 22	False
lexicality	r2_drop_mean	19:+0.075535; 20:+0.070377; 21:+0.083155; 22:+0.081835	0.07772547322054661	0.07591558761727825	True	19; 20; 22	False
morphology	r2_drop_mean	19:+0.001449; 20:-0.000588; 21:+0.001433; 22:+0.001150	0.0008609692875805028	0.0006702226141632653	True	19; 20; 22	False
route	r2_drop_mean	19:+0.082928; 20:+0.075216; 21:+0.073422; 22:+0.105096	0.08416562111120285	0.08774697462059855	True	19; 20; 22	False
(model)	test_mae	19:+0.204429; 20:+0.177956; 21:+0.182256; 22:+0.169162	0.1834506873480935	0.18384892876242045	True	19; 20; 22	False
(model)	test_r2	19:+0.120057; 20:+0.094126; 21:+0.076016; 22:+0.090730	0.09523226312553495	0.10163762162468104	True	19; 20; 22	False
