seed	factor	r2_drop_mean	rank
19	route	0.08292837270290136	1
19	lexicality	0.07553501841351032	2
19	length	0.05496821645690492	3
19	morphology	0.001448525605444525	4
20	route	0.07521636095993758	1
20	lexicality	0.07037701094540602	2
20	length	0.031234244571956962	3
20	morphology	-0.0005877224101897128	4
21	lexicality	0.08315513003035171	1
21	route	0.07342156058301572	2
21	length	0.06253130195802313	3
21	morphology	0.001433209307832215	4
22	route	0.10509619019895672	1
22	lexicality	0.08183473349291841	2
22	length	0.04037406211004566	3
22	morphology	0.001149864647234984	4
