factor	quantity	seed_values	mean_over_seeds	min	max	range	seed21_included	exact_zero_seeds_mean	seed_interval_low	seed_interval_high	seed_interval_label	n_resamples	random_seed	is_hierarchical_bootstrap
length	mae_increase_mean	19:+0.009143; 20:+0.004866; 21:+0.008464; 22:+0.005173	0.006911328849596007	0.0048656897121073794	0.009143127408174185	0.004277437696066805	True	0.006393790122839631	0.005019121480172355	0.008803536219019659	seed-resampling interval over four checkpoints	10000	20260730	False
lexicality	mae_increase_mean	19:+0.012073; 20:+0.008883; 21:+0.011166; 22:+0.008178	0.01007500821570877	0.008178459711329461	0.012072777940934542	0.0038943182296050805	True	0.009711341733348521	0.008530623629555513	0.01161939280186203	seed-resampling interval over four checkpoints	10000	20260730	False
morphology	mae_increase_mean	19:+0.000970; 20:-0.000237; 21:+0.001145; 22:+0.000355	0.0005582692191542762	-0.00023679660522108598	0.0011445022537133129	0.0013812988589343989	True	0.00036285820763459726	5.932920592152598e-05	0.0010572092323870264	seed-resampling interval over four checkpoints	10000	20260730	False
route	mae_increase_mean	19:+0.008803; 20:+0.007968; 21:+0.006284; 22:+0.007953	0.007751918761117877	0.00628427813277623	0.008802686982557434	0.0025184088497812035	True	0.008241132303898425	0.0067052415812773394	0.00859015973750737	seed-resampling interval over four checkpoints	10000	20260730	False
length	r2_drop_mean	19:+0.054968; 20:+0.031234; 21:+0.062531; 22:+0.040374	0.047276956274232666	0.031234244571956962	0.06253130195802313	0.03129705738606617	True	0.04219217437963585	0.035804153341001316	0.05874975920746403	seed-resampling interval over four checkpoints	10000	20260730	False
lexicality	r2_drop_mean	19:+0.075535; 20:+0.070377; 21:+0.083155; 22:+0.081835	0.07772547322054661	0.07037701094540602	0.08315513003035171	0.012778119084945694	True	0.07591558761727825	0.07295601467945817	0.08249493176163505	seed-resampling interval over four checkpoints	10000	20260730	False
morphology	r2_drop_mean	19:+0.001449; 20:-0.000588; 21:+0.001433; 22:+0.001150	0.0008609692875805028	-0.0005877224101897128	0.001448525605444525	0.002036248015634238	True	0.0006702226141632653	-8.248948068423085e-05	0.00144086745663837	seed-resampling interval over four checkpoints	10000	20260730	False
route	r2_drop_mean	19:+0.082928; 20:+0.075216; 21:+0.073422; 22:+0.105096	0.08416562111120285	0.07342156058301572	0.10509619019895672	0.031674629615941	True	0.08774697462059855	0.07431896077147665	0.09762623288920193	seed-resampling interval over four checkpoints	10000	20260730	False
(model)	test_mae	19:+0.204429; 20:+0.177956; 21:+0.182256; 22:+0.169162	0.1834506873480935	0.16916195407990936	0.20442874073833425	0.03526678665842489	True	0.18384892876242045	0.17243545633621016	0.19781057842100513	seed-resampling interval over four checkpoints	10000	20260730	False
(model)	test_r2	19:+0.120057; 20:+0.094126; 21:+0.076016; 22:+0.090730	0.09523226312553495	0.0760161876280967	0.1200568618544342	0.044040674226337506	True	0.10163762162468104	0.0805437407195021	0.11272504714729831	seed-resampling interval over four checkpoints	10000	20260730	False
