seed	route	factor	n_repeats	r2_drop_mean	r2_drop_std	r2_drop_min	r2_drop_max	mae_increase_mean	mae_increase_std	mae_increase_min	mae_increase_max
19	full	length	100	0.014048819051629786	0.006140662649216118	0.0007150096985213406	0.026590309735954443	0.0006651896743937436	0.00036600997659896347	-0.0003142605915327501	0.0015318892182023536
20	full	length	100					0.0001020182547326847	0.0001324003352068378	-0.00025675907349756184	0.0004636752377391168
21	full	length	100	0.018735422133847	0.010996017138672567	0.001024124732399545	0.04193828393535892	0.00099038997998017	0.0004960723211797548	-0.0005420602492346646	0.002185973498406976
22	full	length	100					0.0001813862414108619	0.00018167556191867198	-0.0002868023447530569	0.0006352622101307871
19	full	lexicality	100	0.009380144786408138	0.005183031201901969	7.566085864008087e-05	0.015612782972129535	0.0006309247473472521	0.0003466067847912802	-0.00015178961291446857	0.0015815640893735057
20	full	lexicality	100					6.291539922006975e-05	0.0001284671545803467	-0.00022530684935190368	0.0003367246539675399
21	full	lexicality	100	0.014631711091395898	0.008146396988245834	-0.0004570171044793181	0.025366598637587612	0.0009242603432565566	0.0005327939114828716	-0.000219114119412063	0.002262638583918182
22	full	lexicality	100					0.00018903158842544166	0.00016318711765509917	-0.0001351212725314646	0.0006345333249816185
19	full	morphology	100	0.002267367018308427	0.0013588787594677899	-2.6526327823850337e-05	0.00440097579429477	7.909992215350416e-05	0.00012691571682096564	-0.0001957918865185572	0.00039158377303713174
20	full	morphology	100					-7.163107453738688e-05	0.00010857979023136616	-0.0003928879984903071	0.0001750038503685403
21	full	morphology	100	0.0002679430154510143	0.00101855859507269	-0.0014465430118100198	0.0016586850481260518	2.8953086476559002e-05	8.28957153614431e-05	-0.0001593747879443455	0.0002390621819165148
22	full	morphology	100					0.00011054109577119363	0.00014183579794492955	-0.00022660677292601645	0.0005323952654828559
19	ltm	length	100	0.14572007822021696	0.0352707277124167	0.06119224964981085	0.22157796342730074	0.04074490234788767	0.009237343323110093	0.016330881890594062	0.05874768419122822
20	ltm	length	100	0.0904118520762037	0.02786464025561588	0.03492316629461556	0.15582774706514302	0.025367848195157795	0.006638643769254444	0.008631464739626837	0.042386284800299545
21	ltm	length	100	0.1414724807226792	0.03483095409747888	0.06367936490666071	0.22917748335085675	0.031516574862651886	0.008151001043425608	0.013292295917162189	0.051333386514123336
22	ltm	length	100	0.11971916711923926	0.03623529228173402	0.02314050840297821	0.20571400329104172	0.026913603532594338	0.008448005003688815	0.006884693573868561	0.043811516242647786
19	ltm	lexicality	100	0.21697713217427192	0.0353589785309479	0.12190964702514162	0.30753326163621475	0.06597549485604297	0.01095005855126119	0.041533548187275504	0.09537848309534436
20	ltm	lexicality	100	0.2308335486900553	0.03865172716301025	0.13760176066013607	0.3456146486114776	0.05640949274671734	0.0092792942799159	0.03645307749365345	0.08993424524903515
21	ltm	lexicality	100	0.20559482094468007	0.05331037702483187	0.07467557203238195	0.3088632946264701	0.05390209158982334	0.011259076581681404	0.031011094972128894	0.08261158288694331
22	ltm	lexicality	100	0.24752405850213985	0.04510856340356944	0.14788011911158183	0.3563557726230596	0.05188603920535456	0.00914088088808662	0.026058575936062978	0.07748480000583308
19	ltm	morphology	100	0.0017374164389769063	0.005549355687906037	-0.014228239126298226	0.01426191397482579	-0.0006179965217901262	0.002597830726267279	-0.008926616425858014	0.005493302415912671
20	ltm	morphology	100	-0.00015734586988313425	0.00012152978613914049	-0.00041471172573981363	0.00013756330366299085	-3.641189839100223e-05	4.792124936685091e-05	-0.00013192716808324567	0.00010554173446658544
21	ltm	morphology	100	0.0019756407743555704	0.0070031422490585814	-0.013093143584719913	0.01765034020151124	0.0008294360113966609	0.002410878221449597	-0.006169358762454502	0.006169358762454502
22	ltm	morphology	100	0.003932944470036017	0.0021725070831320374	-0.0020930651477419904	0.009756980046804364	0.000551543297239151	0.0008191919528981088	-0.0011938166606908496	0.0023876333213817547
19	wm	length	100	0.01164111225721157	0.006481878487480472	-6.167563997716563e-05	0.020959523510456157	0.000432146656405755	0.00026504245238045444	-0.0002454944439538517	0.0010609825189576323
20	wm	length	100	0.003389083617905142	0.002425848052596005	-3.691436415420579e-05	0.006866333808885017	0.00020064076111558728	0.0002652130152036759	-0.00042446564089931166	0.0009254385745169416
21	wm	length	100	0.04958639063582257	0.03284043373965699	-0.010419769026644543	0.11439651797890416	0.002051909046991451	0.0012478577074386192	-0.0016759788951123192	0.00544615743505026
22	wm	length	100					0.0002040365094653694	0.0002648006704136756	-0.0005135181469951237	0.0009273504754782336
19	wm	lexicality	100	0.007747130769279608	0.005558244822698641	1.4802938645974706e-06	0.012736901682141477	0.0004008802166576403	0.00025749798307807276	-0.00016409199965986	0.0010849260488664594
20	wm	lexicality	100	0.002759808389746714	0.002253897971485423	-0.0001073832132675312	0.004703613050515587	0.00011712885737890058	0.0002528058097395875	-0.0005177342798175187	0.0006646119781799353
21	wm	lexicality	100	0.04474126194391102	0.03152940783213981	-0.011445287349494793	0.08504249458919166	0.0018927360781101931	0.0013227714027611312	-0.0012244234136307292	0.004742706144675604
22	wm	lexicality	100					0.0001258307984401395	0.0002569343091606934	-0.00045061369870380737	0.0006734493079350798
19	wm	morphology	100	0.0007203468984452288	0.0007139194176473553	-1.3789756675208764e-05	0.0015858577251512962	1.93905991998998e-05	4.3393571664831334e-05	-6.64061616434744e-05	0.00013281232328695922
20	wm	morphology	100	-0.0019281893408757001	0.0016566590898709592	-0.00345904429336108	7.074796349204604e-06	-0.00023758659878640777	0.00021878089515336435	-0.0008453650809295901	0.0003115227333203713
21	wm	morphology	100	-5.6248308788939826e-05	3.20402247047173e-05	-0.00010150141730713713	3.375046444098473e-06	-1.0127995794830675e-06	2.016049218628716e-06	-6.492304996719156e-06	3.89538299803982e-06
22	wm	morphology	100					-0.00014326214907477375	0.00021715958046273232	-0.0007857759969806142	0.0003500077007370806
