seed	route	factor	repeat	r2_drop	mae_increase
19	full	length	0	0.017646345499509386	0.0009369443051948645
19	full	length	1	0.004328372014078319	2.669844155184578e-05
19	full	length	2	0.024022397960759556	0.0007810957929250198
19	full	length	3	0.017633057795623963	0.0004934868569443883
19	full	length	4	0.015652807998829066	0.0010134824897542263
19	full	length	5	0.010989551326753388	0.0005502044284581148
19	full	length	6	0.02415137604330131	0.000955497072507961
19	full	length	7	0.0067154545432943635	0.00029517818943245247
19	full	length	8	0.02436644975097646	0.001221185766765727
19	full	length	9	0.022013082546949003	0.0008726106942296176
19	full	length	10	0.004552282143655884	0.00045995737288604885
19	full	length	11	0.026590309735954443	0.0012156225699917582
19	full	length	12	0.021768877080195037	0.00038621024194953474
19	full	length	13	0.01751298227704845	0.00048307976387004445
19	full	length	14	0.013503452439583286	0.0010648265301803524
19	full	length	15	0.02172127877255059	0.0002641654863674743
19	full	length	16	0.024040467656944675	0.00046884125807009763
19	full	length	17	0.015354062733202056	0.0004836093986572802
19	full	length	18	0.011378843499496805	0.0009944000876539079
19	full	length	19	0.018019529048805105	0.0011866159236046288
19	full	length	20	0.011548676824645554	0.0012458502761117235
19	full	length	21	0.01947632974563407	3.332090790027567e-05
19	full	length	22	0.021866100910285735	0.0005288606075221948
19	full	length	23	0.02431885144333179	0.0009473513982692049
19	full	length	24	0.02631690636805828	0.000731483536547263
19	full	length	25	0.004794526537672206	0.0005824849772556248
19	full	length	26	0.011410267041630506	0.0009115137093755679
19	full	length	27	0.002138293496352306	-1.755919421001992e-05
19	full	length	28	0.02197471751358726	0.000900832343671755
19	full	length	29	0.013227294294187675	0.00037501815193018845
19	full	length	30	0.015107433199265885	0.00035725038156209435
19	full	length	31	0.006858051040038338	0.0006328354445786846
19	full	length	32	0.015344961743045782	0.0005850485442486925
19	full	length	33	0.021827537450733625	0.000558350102696864
19	full	length	34	0.017435789215880182	0.0007416820534635396
19	full	length	35	0.017757452312056166	0.001044220920189725
19	full	length	36	0.01066343694859484	-0.0001655173943988751
19	full	length	37	0.010831243058942674	0.00019551761388910543
19	full	length	38	0.0176803253929515	0.0007505659386475849
19	full	length	39	0.01753995453719892	0.0005975084800005775
19	full	length	40	0.008901412489355054	0.0005753796621196551
