seed	route	factor	r2_drop_mean	rank
19	full	length	0.014048819051629786	1
19	full	lexicality	0.009380144786408138	2
19	full	morphology	0.002267367018308427	3
21	full	length	0.018735422133847	1
21	full	lexicality	0.014631711091395898	2
21	full	morphology	0.0002679430154510143	3
19	ltm	lexicality	0.21697713217427192	1
19	ltm	length	0.14572007822021696	2
19	ltm	morphology	0.0017374164389769063	3
20	ltm	lexicality	0.2308335486900553	1
20	ltm	length	0.0904118520762037	2
20	ltm	morphology	-0.00015734586988313425	3
21	ltm	lexicality	0.20559482094468007	1
21	ltm	length	0.1414724807226792	2
21	ltm	morphology	0.0019756407743555704	3
22	ltm	lexicality	0.24752405850213985	1
22	ltm	length	0.11971916711923926	2
22	ltm	morphology	0.003932944470036017	3
19	wm	length	0.01164111225721157	1
19	wm	lexicality	0.007747130769279608	2
19	wm	morphology	0.0007203468984452288	3
20	wm	length	0.003389083617905142	1
20	wm	lexicality	0.002759808389746714	2
20	wm	morphology	-0.0019281893408757001	3
21	wm	length	0.04958639063582257	1
21	wm	lexicality	0.04474126194391102	2
21	wm	morphology	-5.6248308788939826e-05	3
