model	seed	route	outcome	n_train_rows	n_test_rows	n_train_items	n_test_items	n_test_nonzero	ridge_alpha	outcome_status	model_status	negative_test_r2	train_r2	test_r2	test_mae
route_specific	19	full	raw_edit_distance	850	212	850	212	2	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.016269437117619634	0.01687099399277059	0.02843477428448971
route_specific	20	full	raw_edit_distance	850	212	850	212	0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.005270300772622694		0.004222969154214688
route_specific	21	full	raw_edit_distance	850	212	850	212	2	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.020302795076997615	0.025330103094567957	0.034221568470068596
route_specific	22	full	raw_edit_distance	850	212	850	212	0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.005980145145093041		0.004456854081847555
route_specific	19	ltm	raw_edit_distance	850	212	850	212	20	1.0	OK	OK	False	0.19170577080929685	0.2022940543365288	0.4510170074894365
route_specific	20	ltm	raw_edit_distance	850	212	850	212	20	1.0	OK	OK	False	0.162218574298859	0.16240259652704492	0.3888833423565639
route_specific	21	ltm	raw_edit_distance	850	212	850	212	16	1.0	OK	OK	False	0.17113984347930367	0.11793530709907551	0.3726356860441888
route_specific	22	ltm	raw_edit_distance	850	212	850	212	18	1.0	OK	OK	False	0.17073795591734842	0.1502856700796914	0.3793887990782333
route_specific	19	wm	raw_edit_distance	850	212	850	212	1	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.011816674003311767	0.013312268963861063	0.017314800928204397
route_specific	20	wm	raw_edit_distance	850	212	850	212	1	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	False	0.01309304024535829	0.0010077152548138013	0.03167504644119563
route_specific	21	wm	raw_edit_distance	850	212	850	212	1	1.0	INSUFFICIENT_ERRORS	INSUFFICIENT_ERRORS	True	0.04017301815534735	-0.025676385182735073	0.050222275838057814
route_specific	22	wm	raw_edit_distance	850	212	850	212	0	1.0	NEAR_ZERO_VARIANCE	NON_ESTIMABLE	False	0.005270300772622694		0.008445938308429376
