route	source_lexicality	label	phoneme_length	seed	n_items	mean_raw_edit_distance	word_error_rate	mean_across_seeds	ci_low	ci_high
full	pseudo	Pseudowords	3	19	47	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	3	20	47	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	3	21	47	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	3	22	47	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	4	19	78	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	4	20	78	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	4	21	78	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	4	22	78	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	5	19	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	5	20	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	5	21	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	5	22	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	7	19	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	7	20	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	7	21	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	7	22	66	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	8	19	68	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	8	20	68	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	8	21	68	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	8	22	68	0.0	0.0	0.0	0.0	0.0
full	pseudo	Pseudowords	9	19	66	0.13636363636363635	0.09090909090909091	0.0946969696969697	0.015151515151515152	0.20075757575757575
full	pseudo	Pseudowords	9	20	66	0.030303030303030304	0.015151515151515152	0.0946969696969697	0.015151515151515152	0.20075757575757575
full	pseudo	Pseudowords	9	21	66	0.18181818181818182	0.10606060606060606	0.0946969696969697	0.015151515151515152	0.20075757575757575
full	pseudo	Pseudowords	9	22	66	0.030303030303030304	0.015151515151515152	0.0946969696969697	0.015151515151515152	0.20075757575757575
full	real	Real words	3	19	100	0.0	0.0	0.0	0.0	0.0
full	real	Real words	3	20	100	0.0	0.0	0.0	0.0	0.0
full	real	Real words	3	21	100	0.0	0.0	0.0	0.0	0.0
full	real	Real words	3	22	100	0.0	0.0	0.0	0.0	0.0
full	real	Real words	4	19	98	0.0	0.0	0.0	0.0	0.0
full	real	Real words	4	20	98	0.0	0.0	0.0	0.0	0.0
full	real	Real words	4	21	98	0.0	0.0	0.0	0.0	0.0
full	real	Real words	4	22	98	0.0	0.0	0.0	0.0	0.0
full	real	Real words	5	19	143	0.0	0.0	0.0	0.0	0.0
full	real	Real words	5	20	143	0.0	0.0	0.0	0.0	0.0
full	real	Real words	5	21	143	0.0	0.0	0.0	0.0	0.0
full	real	Real words	5	22	143	0.0	0.0	0.0	0.0	0.0
full	real	Real words	7	19	176	0.0	0.0	0.0	0.0	0.0
full	real	Real words	7	20	176	0.0	0.0	0.0	0.0	0.0
full	real	Real words	7	21	176	0.0	0.0	0.0	0.0	0.0
full	real	Real words	7	22	176	0.0	0.0	0.0	0.0	0.0
full	real	Real words	8	19	88	0.0	0.0	0.0	0.0	0.0
full	real	Real words	8	20	88	0.0	0.0	0.0	0.0	0.0
full	real	Real words	8	21	88	0.0	0.0	0.0	0.0	0.0
full	real	Real words	8	22	88	0.0	0.0	0.0	0.0	0.0
full	real	Real words	9	19	66	0.0	0.0	0.0	0.0	0.0
full	real	Real words	9	20	66	0.0	0.0	0.0	0.0	0.0
full	real	Real words	9	21	66	0.0	0.0	0.0	0.0	0.0
full	real	Real words	9	22	66	0.0	0.0	0.0	0.0	0.0
ltm	pseudo	Pseudowords	3	19	47	0.0851063829787234	0.0851063829787234	0.10638297872340426	0.031914893617021274	0.19680851063829785
ltm	pseudo	Pseudowords	3	20	47	0.14893617021276595	0.0851063829787234	0.10638297872340426	0.031914893617021274	0.19680851063829785
ltm	pseudo	Pseudowords	3	21	47	0.0851063829787234	0.06382978723404255	0.10638297872340426	0.031914893617021274	0.19680851063829785
ltm	pseudo	Pseudowords	3	22	47	0.10638297872340426	0.06382978723404255	0.10638297872340426	0.031914893617021274	0.19680851063829785
ltm	pseudo	Pseudowords	4	19	78	0.1282051282051282	0.0641025641025641	0.09294871794871795	0.028846153846153848	0.17628205128205127
ltm	pseudo	Pseudowords	4	20	78	0.07692307692307693	0.05128205128205128	0.09294871794871795	0.028846153846153848	0.17628205128205127
ltm	pseudo	Pseudowords	4	21	78	0.0641025641025641	0.038461538461538464	0.09294871794871795	0.028846153846153848	0.17628205128205127
ltm	pseudo	Pseudowords	4	22	78	0.10256410256410256	0.05128205128205128	0.09294871794871795	0.028846153846153848	0.17628205128205127
ltm	pseudo	Pseudowords	5	19	66	0.10606060606060606	0.045454545454545456	0.2196969696969697	0.0946969696969697	0.3712121212121212
ltm	pseudo	Pseudowords	5	20	66	0.3181818181818182	0.16666666666666666	0.2196969696969697	0.0946969696969697	0.3712121212121212
ltm	pseudo	Pseudowords	5	21	66	0.22727272727272727	0.15151515151515152	0.2196969696969697	0.0946969696969697	0.3712121212121212
ltm	pseudo	Pseudowords	5	22	66	0.22727272727272727	0.12121212121212122	0.2196969696969697	0.0946969696969697	0.3712121212121212
ltm	pseudo	Pseudowords	7	19	66	0.6363636363636364	0.30303030303030304	0.5303030303030303	0.32566287878787886	0.7500000000000001
ltm	pseudo	Pseudowords	7	20	66	0.3939393939393939	0.16666666666666666	0.5303030303030303	0.32566287878787886	0.7500000000000001
ltm	pseudo	Pseudowords	7	21	66	0.5454545454545454	0.22727272727272727	0.5303030303030303	0.32566287878787886	0.7500000000000001
ltm	pseudo	Pseudowords	7	22	66	0.5454545454545454	0.19696969696969696	0.5303030303030303	0.32566287878787886	0.7500000000000001
ltm	pseudo	Pseudowords	8	19	68	0.7941176470588235	0.4117647058823529	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	8	20	68	0.8529411764705882	0.39705882352941174	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	8	21	68	0.8970588235294118	0.36764705882352944	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	8	22	68	0.8382352941176471	0.3382352941176471	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	9	19	66	1.7878787878787878	0.5909090909090909	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	20	66	1.378787878787879	0.45454545454545453	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	21	66	1.4242424242424243	0.5303030303030303	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	22	66	1.4242424242424243	0.5606060606060606	1.503787878787879	1.147727272727273	1.878787878787879
ltm	real	Real words	3	19	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	20	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	21	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	22	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	19	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	20	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	21	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	22	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	5	19	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	20	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	21	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	22	143	0.02097902097902098	0.013986013986013986	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	7	19	176	0.0	0.0	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	7	20	176	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	7	21	176	0.03409090909090909	0.011363636363636364	0.011363636363636364	0.0	0.03977272727272727
