seed	lexicality	morphology	length	n_items	mean_edit_distance
19	real	complex	3	29	0.0
19	real	complex	4	41	0.0
19	real	complex	5	130	0.0
19	real	complex	7	78	0.0
19	real	complex	8	64	0.03125
19	real	complex	9	58	0.017241379310344827
19	real	simple	3	86	0.0
19	real	simple	4	69	0.0
19	real	simple	5	45	0.0
19	real	simple	7	124	0.0
19	real	simple	8	48	0.0
19	real	simple	9	28	0.07142857142857142
19	pseudo	complex	3	21	0.0
19	pseudo	complex	4	46	0.0
19	pseudo	complex	5	33	0.0
19	pseudo	complex	7	33	0.0
19	pseudo	complex	8	34	0.0
19	pseudo	complex	9	33	0.06060606060606061
19	pseudo	simple	3	33	0.0
19	pseudo	simple	4	34	0.0
19	pseudo	simple	5	33	0.0
19	pseudo	simple	7	33	0.0
19	pseudo	simple	8	34	0.0
19	pseudo	simple	9	33	0.21212121212121213
20	real	complex	3	29	0.0
20	real	complex	4	41	0.0
20	real	complex	5	130	0.0
20	real	complex	7	78	0.0
20	real	complex	8	64	0.0
20	real	complex	9	58	0.017241379310344827
20	real	simple	3	86	0.0
20	real	simple	4	69	0.0
20	real	simple	5	45	0.0
20	real	simple	7	124	0.0
20	real	simple	8	48	0.0
20	real	simple	9	28	0.03571428571428571
20	pseudo	complex	3	21	0.0
20	pseudo	complex	4	46	0.0
20	pseudo	complex	5	33	0.0
20	pseudo	complex	7	33	0.0
20	pseudo	complex	8	34	0.0
20	pseudo	complex	9	33	0.06060606060606061
20	pseudo	simple	3	33	0.0
20	pseudo	simple	4	34	0.0
20	pseudo	simple	5	33	0.0
20	pseudo	simple	7	33	0.0
20	pseudo	simple	8	34	0.0
20	pseudo	simple	9	33	0.0
21	real	complex	3	29	0.0
21	real	complex	4	41	0.0
21	real	complex	5	130	0.0
21	real	complex	7	78	0.0
21	real	complex	8	64	0.0
21	real	complex	9	58	0.017241379310344827
21	real	simple	3	86	0.0
21	real	simple	4	69	0.0
21	real	simple	5	45	0.0
21	real	simple	7	124	0.0
21	real	simple	8	48	0.0
21	real	simple	9	28	0.0
21	pseudo	complex	3	21	0.0
21	pseudo	complex	4	46	0.0
21	pseudo	complex	5	33	0.0
21	pseudo	complex	7	33	0.0
21	pseudo	complex	8	34	0.0
21	pseudo	complex	9	33	0.18181818181818182
21	pseudo	simple	3	33	0.0
21	pseudo	simple	4	34	0.0
21	pseudo	simple	5	33	0.0
21	pseudo	simple	7	33	0.0
21	pseudo	simple	8	34	0.0
21	pseudo	simple	9	33	0.18181818181818182
22	real	complex	3	29	0.0
22	real	complex	4	41	0.0
22	real	complex	5	130	0.0
22	real	complex	7	78	0.0
22	real	complex	8	64	0.03125
22	real	complex	9	58	0.0
22	real	simple	3	86	0.0
22	real	simple	4	69	0.0
22	real	simple	5	45	0.0
22	real	simple	7	124	0.016129032258064516
22	real	simple	8	48	0.0
22	real	simple	9	28	0.0
22	pseudo	complex	3	21	0.0
22	pseudo	complex	4	46	0.0
22	pseudo	complex	5	33	0.0
22	pseudo	complex	7	33	0.0
22	pseudo	complex	8	34	0.0
22	pseudo	complex	9	33	0.0
22	pseudo	simple	3	33	0.0
22	pseudo	simple	4	34	0.0
22	pseudo	simple	5	33	0.0
22	pseudo	simple	7	33	0.0
22	pseudo	simple	8	34	0.0
22	pseudo	simple	9	33	0.06060606060606061
