lexicality	length	position_1based	relative_position	n_items_x_seeds	error_rate_per_item
real	3	1	0.0	460	0.0
real	3	2	0.5	460	0.0
real	3	3	1.0	460	0.0
real	4	1	0.0	440	0.0
real	4	2	0.3333333333333333	440	0.0
real	4	3	0.6666666666666666	440	0.0
real	4	4	1.0	440	0.0
real	5	1	0.0	700	0.0
real	5	2	0.25	700	0.0
real	5	3	0.5	700	0.0
real	5	4	0.75	700	0.0
real	5	5	1.0	700	0.0
real	7	1	0.0	808	0.0012376237623762376
real	7	2	0.16666666666666666	808	0.0
real	7	3	0.3333333333333333	808	0.0012376237623762376
real	7	4	0.5	808	0.0
real	7	5	0.6666666666666666	808	0.0
real	7	6	0.8333333333333334	808	0.0
real	7	7	1.0	808	0.0
real	8	1	0.0	448	0.0
real	8	2	0.14285714285714285	448	0.0
real	8	3	0.2857142857142857	448	0.0
real	8	4	0.42857142857142855	448	0.0
real	8	5	0.5714285714285714	448	0.0
real	8	6	0.7142857142857143	448	0.002232142857142857
real	8	7	0.8571428571428571	448	0.004464285714285714
real	8	8	1.0	448	0.002232142857142857
real	9	1	0.0	344	0.0
real	9	2	0.125	344	0.0
real	9	3	0.25	344	0.0
real	9	4	0.375	344	0.0
real	9	5	0.5	344	0.0
real	9	6	0.625	344	0.0
real	9	7	0.75	344	0.011627906976744186
real	9	8	0.875	344	0.014534883720930232
real	9	9	1.0	344	0.00872093023255814
pseudo	3	1	0.0	216	0.0
pseudo	3	2	0.5	216	0.0
pseudo	3	3	1.0	216	0.0
pseudo	4	1	0.0	320	0.0
pseudo	4	2	0.3333333333333333	320	0.0
pseudo	4	3	0.6666666666666666	320	0.0
pseudo	4	4	1.0	320	0.0
pseudo	5	1	0.0	264	0.0
pseudo	5	2	0.25	264	0.0
pseudo	5	3	0.5	264	0.0
pseudo	5	4	0.75	264	0.0
pseudo	5	5	1.0	264	0.0
pseudo	7	1	0.0	264	0.0
pseudo	7	2	0.16666666666666666	264	0.0
pseudo	7	3	0.3333333333333333	264	0.0
pseudo	7	4	0.5	264	0.0
pseudo	7	5	0.6666666666666666	264	0.0
pseudo	7	6	0.8333333333333334	264	0.0
pseudo	7	7	1.0	264	0.0
pseudo	8	1	0.0	272	0.0
pseudo	8	2	0.14285714285714285	272	0.0
pseudo	8	3	0.2857142857142857	272	0.0
pseudo	8	4	0.42857142857142855	272	0.0
pseudo	8	5	0.5714285714285714	272	0.0
pseudo	8	6	0.7142857142857143	272	0.0
pseudo	8	7	0.8571428571428571	272	0.0
pseudo	8	8	1.0	272	0.0
pseudo	9	1	0.0	264	0.0
pseudo	9	2	0.125	264	0.0
pseudo	9	3	0.25	264	0.003787878787878788
pseudo	9	4	0.375	264	0.0
pseudo	9	5	0.5	264	0.003787878787878788
pseudo	9	6	0.625	264	0.003787878787878788
pseudo	9	7	0.75	264	0.030303030303030304
pseudo	9	8	0.875	264	0.022727272727272728
pseudo	9	9	1.0	264	0.041666666666666664
