dataset_regime	seed	route	n_low	n_high	low_mean_word_error	high_mean_word_error	high_low_contrast_word_error
TRAINED_REAL_FREQUENCY_PRIMARY	19	full	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	20	full	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	21	full	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	22	full	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	19	ltm	292	379	0.010273972602739725	0.002638522427440633	0.007635450175299092
TRAINED_REAL_FREQUENCY_PRIMARY	20	ltm	292	379	0.010273972602739725	0.0	0.010273972602739725
TRAINED_REAL_FREQUENCY_PRIMARY	21	ltm	292	379	0.010273972602739725	0.0	0.010273972602739725
TRAINED_REAL_FREQUENCY_PRIMARY	22	ltm	292	379	0.0136986301369863	0.0	0.0136986301369863
TRAINED_REAL_FREQUENCY_PRIMARY	19	wm	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	20	wm	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	21	wm	292	379	0.0	0.0	0.0
TRAINED_REAL_FREQUENCY_PRIMARY	22	wm	292	379	0.0	0.0	0.0
