dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items	mean_across_seeds	word_error_rate_across_seeds	n_items_per_seed
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	19
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	19
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	19
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	19
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	4	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	4	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	4	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	4	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	complex	9	33	OK	0.06060606060606061	0.06060606060606061	2.0	2	0.07575757575757576	0.05303030303030303	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	complex	9	33	OK	0.06060606060606061	0.030303030303030304	2.0	1	0.07575757575757576	0.05303030303030303	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	complex	9	33	OK	0.18181818181818182	0.12121212121212122	6.0	4	0.07575757575757576	0.05303030303030303	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	complex	9	33	OK	0.0	0.0	0.0	0	0.07575757575757576	0.05303030303030303	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	3	28	OK	0.0	0.0	0.0	0	0.0	0.0	28
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	3	28	OK	0.0	0.0	0.0	0	0.0	0.0	28
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	3	28	OK	0.0	0.0	0.0	0	0.0	0.0	28
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	3	28	OK	0.0	0.0	0.0	0	0.0	0.0	28
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	4	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	4	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	4	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	4	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	simple	9	33	OK	0.21212121212121213	0.12121212121212122	7.0	4	0.11363636363636365	0.06060606060606061	33
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	simple	9	33	OK	0.0	0.0	0.0	0	0.11363636363636365	0.06060606060606061	33
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	simple	9	33	OK	0.18181818181818182	0.09090909090909091	6.0	3	0.11363636363636365	0.06060606060606061	33
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	simple	9	33	OK	0.06060606060606061	0.030303030303030304	2.0	1	0.11363636363636365	0.06060606060606061	33
LICHTHEIM_CLEAN	19	full	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	20	full	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	21	full	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	22	full	real	Real words	complex	3	17	SMALL_CELL	0.0	0.0	0.0	0	0.0	0.0	17
LICHTHEIM_CLEAN	19	full	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	20	full	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	21	full	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	22	full	real	Real words	complex	4	32	OK	0.0	0.0	0.0	0	0.0	0.0	32
LICHTHEIM_CLEAN	19	full	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.0	0.0	101
LICHTHEIM_CLEAN	20	full	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.0	0.0	101
LICHTHEIM_CLEAN	21	full	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.0	0.0	101
LICHTHEIM_CLEAN	22	full	real	Real words	complex	5	101	OK	0.0	0.0	0.0	0	0.0	0.0	101
LICHTHEIM_CLEAN	19	full	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.0	0.0	64
LICHTHEIM_CLEAN	20	full	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.0	0.0	64
LICHTHEIM_CLEAN	21	full	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.0	0.0	64
LICHTHEIM_CLEAN	22	full	real	Real words	complex	7	64	OK	0.0	0.0	0.0	0	0.0	0.0	64
LICHTHEIM_CLEAN	19	full	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	20	full	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	21	full	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	22	full	real	Real words	complex	8	46	OK	0.0	0.0	0.0	0	0.0	0.0	46
LICHTHEIM_CLEAN	19	full	real	Real words	complex	9	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	20	full	real	Real words	complex	9	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	21	full	real	Real words	complex	9	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	22	full	real	Real words	complex	9	45	OK	0.0	0.0	0.0	0	0.0	0.0	45
LICHTHEIM_CLEAN	19	full	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	20	full	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	21	full	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	22	full	real	Real words	simple	3	83	OK	0.0	0.0	0.0	0	0.0	0.0	83
LICHTHEIM_CLEAN	19	full	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	20	full	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	21	full	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	22	full	real	Real words	simple	4	66	OK	0.0	0.0	0.0	0	0.0	0.0	66
LICHTHEIM_CLEAN	19	full	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	20	full	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	21	full	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	22	full	real	Real words	simple	5	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	19	full	real	Real words	simple	7	112	OK	0.0	0.0	0.0	0	0.0	0.0	112
LICHTHEIM_CLEAN	20	full	real	Real words	simple	7	112	OK	0.0	0.0	0.0	0	0.0	0.0	112
LICHTHEIM_CLEAN	21	full	real	Real words	simple	7	112	OK	0.0	0.0	0.0	0	0.0	0.0	112
LICHTHEIM_CLEAN	22	full	real	Real words	simple	7	112	OK	0.0	0.0	0.0	0	0.0	0.0	112
LICHTHEIM_CLEAN	19	full	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	20	full	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	21	full	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	22	full	real	Real words	simple	8	42	OK	0.0	0.0	0.0	0	0.0	0.0	42
LICHTHEIM_CLEAN	19	full	real	Real words	simple	9	21	OK	0.0	0.0	0.0	0	0.0	0.0	21
LICHTHEIM_CLEAN	20	full	real	Real words	simple	9	21	OK	0.0	0.0	0.0	0	0.0	0.0	21
LICHTHEIM_CLEAN	21	full	real	Real words	simple	9	21	OK	0.0	0.0	0.0	0	0.0	0.0	21
LICHTHEIM_CLEAN	22	full	real	Real words	simple	9	21	OK	0.0	0.0	0.0	0	0.0	0.0	21
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.15789473684210525	0.15789473684210525	3.0	3	0.13157894736842105	0.10526315789473684	19
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.05263157894736842	0.05263157894736842	1.0	1	0.13157894736842105	0.10526315789473684	19
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.21052631578947367	0.15789473684210525	4.0	3	0.13157894736842105	0.10526315789473684	19
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	complex	3	19	SMALL_CELL	0.10526315789473684	0.05263157894736842	2.0	1	0.13157894736842105	0.10526315789473684	19
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	complex	4	45	OK	0.06666666666666667	0.044444444444444446	3.0	2	0.05	0.022222222222222223	45
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	complex	4	45	OK	0.0	0.0	0.0	0	0.05	0.022222222222222223	45
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	complex	4	45	OK	0.044444444444444446	0.022222222222222223	2.0	1	0.05	0.022222222222222223	45
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	complex	4	45	OK	0.08888888888888889	0.022222222222222223	4.0	1	0.05	0.022222222222222223	45
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	complex	5	33	OK	0.18181818181818182	0.06060606060606061	6.0	2	0.16666666666666666	0.08333333333333334	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	complex	5	33	OK	0.3333333333333333	0.15151515151515152	11.0	5	0.16666666666666666	0.08333333333333334	33
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	complex	5	33	OK	0.06060606060606061	0.06060606060606061	2.0	2	0.16666666666666666	0.08333333333333334	33
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	complex	5	33	OK	0.09090909090909091	0.06060606060606061	3.0	2	0.16666666666666666	0.08333333333333334	33
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	complex	7	33	OK	0.7272727272727273	0.30303030303030304	24.0	10	0.5606060606060606	0.2272727272727273	33
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	complex	7	33	OK	0.48484848484848486	0.21212121212121213	16.0	7	0.5606060606060606	0.2272727272727273	33
