dataset_regime	seed	route	source_lexicality	label	complex_n_items	complex_n_lengths	complex_intercept	complex_length_slope	complex_model_status	simple_n_items	simple_n_lengths	simple_intercept	simple_length_slope	simple_model_status	morphology_length_interaction
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	197	6	-0.0315594133492966	0.006836276563903021	OK	194	6	-0.10470549022588922	0.02312689678562448	OK	0.01629062022172146
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	197	6	-0.0315594133492966	0.006836276563903021	OK	194	6	0.0	0.0	OK	-0.006836276563903021
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	197	6	-0.09467824004788986	0.02050882969170907	OK	194	6	-0.08974756305076222	0.01982305438767813	OK	-0.0006857753040309424
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	197	6	0.0	0.0	OK	194	6	-0.029915854350254067	0.0066076847958927085	OK	0.0066076847958927085
LICHTHEIM_CLEAN	19	full	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	20	full	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	21	full	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	22	full	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	197	6	-0.913846153846154	0.24461538461538465	OK	194	6	-1.0019179828434093	0.26703817838409943	OK	0.022422793768714783
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	197	6	-0.9127087698293924	0.23943729422328644	OK	194	6	-0.433429037558548	0.15671907983603584	OK	-0.0827182143872506
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	197	6	-0.8008620173600718	0.21445076324453755	OK	194	6	-0.7947699882465075	0.2279300404062849	OK	0.01347927716174735
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	197	6	-0.8783717449865311	0.23048189164920685	OK	194	6	-0.6037260325238429	0.19316075386081757	OK	-0.037321137788389275
LICHTHEIM_CLEAN	19	ltm	real	Real words	305	6	-0.09550072568940493	0.01896468311562651	OK	366	6	-0.07518918959702431	0.017972068598676623	OK	-0.0009926145169498884
LICHTHEIM_CLEAN	20	ltm	real	Real words	305	6	-0.027285921625544267	0.005418480890179004	OK	366	6	-0.02378545182927288	0.0057605685873591906	OK	0.00034208769718018645
LICHTHEIM_CLEAN	21	ltm	real	Real words	305	6	-0.05863570391872277	0.013062409288824382	OK	366	6	-0.008454115392450523	0.002999117240963037	OK	-0.010063292047861345
LICHTHEIM_CLEAN	22	ltm	real	Real words	305	6	0.019158200290275762	-0.0009675858732462503	OK	366	6	-0.0028180384641501737	0.000999705746987679	OK	0.0019672916202339292
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	197	6	-0.0315594133492966	0.006836276563903021	OK	194	6	-0.05983170870050812	0.013215369591785415	OK	0.006379093027882394
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	197	6	-0.05592337623466025	0.012493265489374435	OK	194	6	-0.0747896358756352	0.016519211989731778	OK	0.004025946500357343
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	197	6	-0.17496557916791383	0.03865908410655493	OK	194	6	-0.16453719892639737	0.0363422663774099	OK	-0.002316817729145028
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	197	6	-0.0631188266985932	0.013672553127806042	OK	194	6	0.0	0.0	OK	-0.013672553127806042
LICHTHEIM_CLEAN	19	wm	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	20	wm	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	21	wm	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
LICHTHEIM_CLEAN	22	wm	real	Real words	305	6	0.0	0.0	OK	366	6	0.0	0.0	OK	0.0
