dataset_regime	seed	source_lexicality	label	route_contrast	morphology_contrast_difference	morphology_length_interaction_difference
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	full_minus_wm	0.015463917525773193	0.009911527193839066
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	full_minus_wm	-0.015620911612329268	-0.010862223064260365
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	full_minus_wm	0.004683656915589515	0.0016310424251140855
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	full_minus_wm	0.030613846878434242	0.02028023792369875
LICHTHEIM_CLEAN	19	real	Real words	full_minus_wm	0.0	0.0
LICHTHEIM_CLEAN	20	real	Real words	full_minus_wm	0.0	0.0
LICHTHEIM_CLEAN	21	real	Real words	full_minus_wm	0.0	0.0
LICHTHEIM_CLEAN	22	real	Real words	full_minus_wm	0.0	0.0
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	ltm_minus_full	0.019100947197655604	0.006132173546993323
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	ltm_minus_full	-0.01745250928881673	-0.07588193782334758
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	ltm_minus_full	0.08469830969700146	0.014165052465778292
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	ltm_minus_full	0.0339368883772044	-0.04392882258428198
LICHTHEIM_CLEAN	19	real	Real words	ltm_minus_full	0.0016393442622950824	-0.0009926145169498884
LICHTHEIM_CLEAN	20	real	Real words	ltm_minus_full	0.0016393442622950824	0.00034208769718018645
LICHTHEIM_CLEAN	21	real	Real words	ltm_minus_full	-0.014754098360655736	-0.010063292047861345
LICHTHEIM_CLEAN	22	real	Real words	ltm_minus_full	-0.010382513661202186	0.0019672916202339292
LICHTHEIM_CLEAN	19	pseudo	Pseudowords	ltm_minus_wm	0.0345648647234288	0.01604370074083239
LICHTHEIM_CLEAN	20	pseudo	Pseudowords	ltm_minus_wm	-0.033073420901146	-0.08674416088760795
LICHTHEIM_CLEAN	21	pseudo	Pseudowords	ltm_minus_wm	0.08938196661259096	0.015796094890892377
LICHTHEIM_CLEAN	22	pseudo	Pseudowords	ltm_minus_wm	0.06455073525563865	-0.023648584660583234
LICHTHEIM_CLEAN	19	real	Real words	ltm_minus_wm	0.0016393442622950824	-0.0009926145169498884
LICHTHEIM_CLEAN	20	real	Real words	ltm_minus_wm	0.0016393442622950824	0.00034208769718018645
LICHTHEIM_CLEAN	21	real	Real words	ltm_minus_wm	-0.014754098360655736	-0.010063292047861345
LICHTHEIM_CLEAN	22	real	Real words	ltm_minus_wm	-0.010382513661202186	0.0019672916202339292
