dataset_regime	seed	route	source_lexicality	label	n_simple	n_complex	cell_flag_simple	cell_flag_complex	mean_simple_raw_edit_distance	mean_complex_raw_edit_distance	morphology_contrast_raw_edit_distance	mean_simple_word_error	mean_complex_word_error	morphology_contrast_word_error
LICHTHEIM_CLEAN	19	full	pseudo	Pseudowords	194	197	OK	OK	0.03608247422680412	0.01015228426395939	0.02593018996284473	0.020618556701030927	0.01015228426395939	0.010466272437071537
LICHTHEIM_CLEAN	20	full	pseudo	Pseudowords	194	197	OK	OK	0.0	0.01015228426395939	-0.01015228426395939	0.0	0.005076142131979695	-0.005076142131979695
LICHTHEIM_CLEAN	21	full	pseudo	Pseudowords	194	197	OK	OK	0.030927835051546393	0.030456852791878174	0.0004709822596682192	0.015463917525773196	0.02030456852791878	-0.004840651002145584
LICHTHEIM_CLEAN	22	full	pseudo	Pseudowords	194	197	OK	OK	0.010309278350515464	0.0	0.010309278350515464	0.005154639175257732	0.0	0.005154639175257732
LICHTHEIM_CLEAN	19	full	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	20	full	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	21	full	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	22	full	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	194	197	OK	OK	0.6237113402061856	0.5786802030456852	0.045031137160500334	0.26804123711340205	0.23857868020304568	0.029462556910356374
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	194	197	OK	OK	0.520618556701031	0.5482233502538071	-0.02760479355277612	0.2268041237113402	0.2182741116751269	0.008530012036213314
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	194	197	OK	OK	0.5927835051546392	0.5076142131979695	0.08516929195666967	0.25257731958762886	0.2131979695431472	0.03937935004448165
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	194	197	OK	OK	0.5721649484536082	0.5279187817258884	0.04424616672771986	0.23711340206185566	0.2131979695431472	0.02391543251870845
LICHTHEIM_CLEAN	19	ltm	real	Real words	366	305	OK	OK	0.02459016393442623	0.022950819672131147	0.0016393442622950824	0.00546448087431694	0.006557377049180328	-0.001092896174863388
LICHTHEIM_CLEAN	20	ltm	real	Real words	366	305	OK	OK	0.00819672131147541	0.006557377049180328	0.0016393442622950824	0.00546448087431694	0.003278688524590164	0.002185792349726776
LICHTHEIM_CLEAN	21	ltm	real	Real words	366	305	OK	OK	0.00819672131147541	0.022950819672131147	-0.014754098360655736	0.00273224043715847	0.006557377049180328	-0.003825136612021858
LICHTHEIM_CLEAN	22	ltm	real	Real words	366	305	OK	OK	0.00273224043715847	0.013114754098360656	-0.010382513661202186	0.00273224043715847	0.009836065573770493	-0.007103825136612023
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	194	197	OK	OK	0.020618556701030927	0.01015228426395939	0.010466272437071537	0.010309278350515464	0.01015228426395939	0.00015699408655607365
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	194	197	OK	OK	0.02577319587628866	0.02030456852791878	0.005468627348369878	0.005154639175257732	0.015228426395939087	-0.010073787220681356
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	194	197	OK	OK	0.05670103092783505	0.06091370558375635	-0.004212674655921296	0.030927835051546393	0.030456852791878174	0.0004709822596682192
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	194	197	OK	OK	0.0	0.02030456852791878	-0.02030456852791878	0.0	0.005076142131979695	-0.005076142131979695
LICHTHEIM_CLEAN	19	wm	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	20	wm	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	21	wm	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
LICHTHEIM_CLEAN	22	wm	real	Real words	366	305	OK	OK	0.0	0.0	0.0	0.0	0.0	0.0
