dataset_regime	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	3	19	SMALL_CELL
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	4	45	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	5	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	7	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	8	34	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	complex	9	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	3	28	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	4	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	5	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	7	33	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	8	34	OK
LICHTHEIM_CLEAN	full	pseudo	Pseudowords	simple	9	33	OK
LICHTHEIM_CLEAN	full	real	Real words	complex	3	17	SMALL_CELL
LICHTHEIM_CLEAN	full	real	Real words	complex	4	32	OK
LICHTHEIM_CLEAN	full	real	Real words	complex	5	101	OK
LICHTHEIM_CLEAN	full	real	Real words	complex	7	64	OK
LICHTHEIM_CLEAN	full	real	Real words	complex	8	46	OK
LICHTHEIM_CLEAN	full	real	Real words	complex	9	45	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	3	83	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	4	66	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	5	42	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	7	112	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	8	42	OK
LICHTHEIM_CLEAN	full	real	Real words	simple	9	21	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	3	19	SMALL_CELL
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	4	45	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	5	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	7	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	8	34	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	complex	9	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	3	28	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	4	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	5	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	7	33	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	8	34	OK
LICHTHEIM_CLEAN	ltm	pseudo	Pseudowords	simple	9	33	OK
LICHTHEIM_CLEAN	ltm	real	Real words	complex	3	17	SMALL_CELL
LICHTHEIM_CLEAN	ltm	real	Real words	complex	4	32	OK
LICHTHEIM_CLEAN	ltm	real	Real words	complex	5	101	OK
LICHTHEIM_CLEAN	ltm	real	Real words	complex	7	64	OK
LICHTHEIM_CLEAN	ltm	real	Real words	complex	8	46	OK
LICHTHEIM_CLEAN	ltm	real	Real words	complex	9	45	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	3	83	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	4	66	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	5	42	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	7	112	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	8	42	OK
LICHTHEIM_CLEAN	ltm	real	Real words	simple	9	21	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	3	19	SMALL_CELL
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	4	45	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	5	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	7	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	8	34	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	complex	9	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	3	28	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	4	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	5	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	7	33	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	8	34	OK
LICHTHEIM_CLEAN	wm	pseudo	Pseudowords	simple	9	33	OK
LICHTHEIM_CLEAN	wm	real	Real words	complex	3	17	SMALL_CELL
LICHTHEIM_CLEAN	wm	real	Real words	complex	4	32	OK
LICHTHEIM_CLEAN	wm	real	Real words	complex	5	101	OK
LICHTHEIM_CLEAN	wm	real	Real words	complex	7	64	OK
LICHTHEIM_CLEAN	wm	real	Real words	complex	8	46	OK
LICHTHEIM_CLEAN	wm	real	Real words	complex	9	45	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	3	83	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	4	66	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	5	42	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	7	112	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	8	42	OK
LICHTHEIM_CLEAN	wm	real	Real words	simple	9	21	OK
