seed	phoneme_length	n_items	success_rate	mean_success_rate
19	3	47	0.9148936170212766	0.925531914893617
19	4	78	0.9358974358974359	0.9487179487179487
19	5	66	0.9545454545454546	0.8787878787878788
19	7	66	0.696969696969697	0.7765151515151515
19	8	68	0.5882352941176471	0.6213235294117647
19	9	66	0.4090909090909091	0.46590909090909094
20	3	47	0.9148936170212766	0.925531914893617
20	4	78	0.9487179487179487	0.9487179487179487
20	5	66	0.8333333333333334	0.8787878787878788
20	7	66	0.8333333333333334	0.7765151515151515
20	8	68	0.6029411764705882	0.6213235294117647
20	9	66	0.5454545454545454	0.46590909090909094
21	3	47	0.9361702127659575	0.925531914893617
21	4	78	0.9615384615384616	0.9487179487179487
21	5	66	0.8484848484848485	0.8787878787878788
21	7	66	0.7727272727272727	0.7765151515151515
21	8	68	0.6323529411764706	0.6213235294117647
21	9	66	0.4696969696969697	0.46590909090909094
22	3	47	0.9361702127659575	0.925531914893617
22	4	78	0.9487179487179487	0.9487179487179487
22	5	66	0.8787878787878788	0.8787878787878788
22	7	66	0.803030303030303	0.7765151515151515
22	8	68	0.6617647058823529	0.6213235294117647
22	9	66	0.4393939393939394	0.46590909090909094
