seed	phoneme_length	n_success	n_failure	target_margin_success	target_margin_failure	target_margin_difference	target_rank_success	target_rank_failure	target_rank_difference	probe_acc_encoder_success	probe_acc_encoder_failure	probe_acc_encoder_difference	probe_acc_s_hat_success	probe_acc_s_hat_failure	probe_acc_s_hat_difference
19	3	43	4	12.154931445454443	10.087644815444946	2.0672866300094963	1.0	1.0	0.0	0.689922480620155	0.5	0.18992248062015504	0.49612403100775193	0.5833333333333333	-0.08720930232558133
19	4	73	5	12.633982527745912	7.459949111938476	5.174033415807436	1.0	1.4	-0.3999999999999999	0.6027397260273972	0.6	0.002739726027397249	0.4349315068493151	0.3	0.1349315068493151
19	5	63	3	13.945701538570344	6.547030131022136	7.398671407548208	1.0	1.6666666666666667	-0.6666666666666667	0.6412698412698412	0.4000000000000001	0.24126984126984113	0.5206349206349207	0.39999999999999997	0.1206349206349207
19	7	46	20	14.263341468313467	11.820557355880737	2.4427841124327294	1.0	1.0	0.0	0.5683229813664596	0.507142857142857	0.06118012422360264	0.44409937888198764	0.4928571428571429	-0.048757763975155244
19	8	40	28	12.974293041229249	13.440494877951485	-0.46620183672223625	1.0	1.0	0.0	0.540625	0.4955357142857143	0.04508928571428572	0.48125	0.42857142857142855	0.05267857142857146
19	9	27	39	11.99911011589898	13.4137694529998	-1.4146593371008205	1.0	1.0769230769230769	-0.07692307692307687	0.4938271604938272	0.44444444444444453	0.04938271604938266	0.4444444444444444	0.37321937321937315	0.07122507122507127
20	3	43	4	11.26015800653502	9.515041828155518	1.7451161783795026	1.0	1.25	-0.25	0.7286821705426357	0.5833333333333333	0.14534883720930247	0.5503875968992248	0.41666666666666663	0.13372093023255816
20	4	74	4	11.591677730147904	10.817562580108643	0.7741151500392611	1.0	1.0	0.0	0.5709459459459459	0.5625	0.008445945945945943	0.4560810810810811	0.3125	0.14358108108108109
20	5	55	11	12.887540054321288	12.175371863625266	0.7121681906960227	1.0	1.0	0.0	0.658181818181818	0.6363636363636364	0.021818181818181626	0.5490909090909092	0.49090909090909096	0.05818181818181822
20	7	55	11	13.119193475896662	14.795052441683682	-1.67585896578702	1.0	1.0	0.0	0.5584415584415584	0.5454545454545454	0.012987012987012991	0.47012987012987006	0.5064935064935066	-0.03636363636363649
20	8	41	27	12.763058499592107	12.55106657522696	0.21199192436514736	1.0	1.037037037037037	-0.03703703703703698	0.5365853658536586	0.5092592592592593	0.02732610659439927	0.43597560975609756	0.4074074074074074	0.028568202348690175
20	9	36	30	12.078261852264404	14.006950092315673	-1.9286882400512688	1.0	1.0	0.0	0.49691358024691357	0.42962962962962964	0.06728395061728393	0.45370370370370366	0.37407407407407406	0.0796296296296296
21	3	44	3	10.328769943930887	8.136309941609701	2.1924600023211855	1.0	1.0	0.0	0.6893939393939393	0.5555555555555555	0.13383838383838387	0.5075757575757576	0.3333333333333333	0.17424242424242425
21	4	75	3	12.03407694498698	6.123060862223308	5.911016082763672	1.0	1.3333333333333333	-0.33333333333333326	0.61	0.5	0.10999999999999999	0.44666666666666666	0.4166666666666667	0.02999999999999997
21	5	56	10	13.090425099645342	9.798164176940919	3.2922609227044237	1.0	1.5	-0.5	0.6285714285714284	0.6799999999999999	-0.05142857142857149	0.5000000000000001	0.6	-0.09999999999999987
21	7	51	15	12.713260519738292	10.763027572631836	1.9502329471064552	1.0	1.0666666666666667	-0.06666666666666665	0.5350140056022409	0.4857142857142857	0.04929971988795517	0.44817927170868344	0.41904761904761906	0.029131652661064378
21	8	43	25	13.565554330515306	10.517201766967773	3.0483525635475335	1.0	1.12	-0.1200000000000001	0.5319767441860465	0.46	0.07197674418604644	0.45058139534883723	0.37	0.08058139534883724
21	9	31	35	13.219822606732768	12.79219136919294	0.4276312375398277	1.0	1.0571428571428572	-0.05714285714285716	0.47670250896057337	0.44126984126984126	0.03543266769073211	0.41935483870967744	0.3619047619047619	0.05745007680491554
22	3	44	3	11.359458424828269	2.445803960164388	8.91365446466388	1.0	1.6666666666666667	-0.6666666666666667	0.6893939393939393	0.4444444444444444	0.24494949494949492	0.5	0.4444444444444444	0.05555555555555558
22	4	74	4	10.52238706640295	4.545941352844238	5.976445713558713	1.0	1.75	-0.75	0.6418918918918919	0.4375	0.20439189189189189	0.47297297297297297	0.4375	0.03547297297297297
22	5	58	8	12.701393522065262	12.071903467178345	0.6294900548869169	1.0	1.375	-0.375	0.6413793103448275	0.625	0.016379310344827536	0.5241379310344828	0.5	0.024137931034482807
22	7	53	13	13.821758630140772	8.465152373680702	5.35660625646007	1.0	1.3076923076923077	-0.3076923076923077	0.5983827493261455	0.48351648351648346	0.11486626580966208	0.4663072776280323	0.40659340659340654	0.059713871034625776
22	8	45	23	12.918837865193685	10.028236098911451	2.8906017662822343	1.0	1.0869565217391304	-0.08695652173913038	0.5388888888888889	0.5	0.03888888888888886	0.46111111111111114	0.3967391304347826	0.06437198067632854
22	9	29	37	11.344838602789517	11.8064587051804	-0.46162010239088325	1.0	1.2432432432432432	-0.2432432432432432	0.49042145593869735	0.4384384384384385	0.051983017500258855	0.471264367816092	0.3723723723723724	0.09889199544371957
