seed	epoch	train_ar_errors_full	is_zero
19	105	4	0
19	110	3	0
19	115	3	0
19	120	2	0
19	125	3	0
19	130	2	0
19	135	3	0
19	140	0	1
19	145	1	0
19	150	3	0
19	155	0	1
19	160	0	1
19	165	0	1
19	170	0	1
19	175	0	1
19	180	0	1
19	185	1	0
19	190	1	0
19	195	1	0
19	200	2	0
20	105	5	0
20	110	2	0
20	115	2	0
20	120	2	0
20	125	3	0
20	130	0	1
20	135	0	1
20	140	2	0
20	145	1	0
20	150	3	0
20	155	1	0
20	160	2	0
20	165	2	0
20	170	2	0
20	175	1	0
20	180	2	0
20	185	1	0
20	190	3	0
20	195	0	1
20	200	2	0
21	105	8	0
21	110	3	0
21	115	3	0
21	120	2	0
21	125	2	0
21	130	2	0
21	135	3	0
21	140	2	0
21	145	1	0
21	150	1	0
21	155	1	0
21	160	1	0
21	165	1	0
21	170	2	0
21	175	1	0
21	180	1	0
21	185	1	0
21	190	1	0
21	195	2	0
21	200	1	0
22	105	5	0
22	110	3	0
22	115	4	0
22	120	4	0
22	125	2	0
22	130	1	0
22	135	3	0
22	140	0	1
22	145	0	1
22	150	0	1
22	155	0	1
22	160	0	1
22	165	0	1
22	170	0	1
22	175	0	1
22	180	0	1
22	185	0	1
22	190	0	1
22	195	0	1
22	200	0	1
