route	source_lexicality	label	phoneme_length	position_index_1based	relative_position	n_items_x_seeds	error_count	error_rate_per_item
full	pseudo	Pseudowords	3	1	0.0	216	0.0	0.0
full	pseudo	Pseudowords	3	2	0.5	216	0.0	0.0
full	pseudo	Pseudowords	3	3	1.0	216	0.0	0.0
full	pseudo	Pseudowords	4	1	0.0	320	0.0	0.0
full	pseudo	Pseudowords	4	2	0.3333333333333333	320	0.0	0.0
full	pseudo	Pseudowords	4	3	0.6666666666666666	320	0.0	0.0
full	pseudo	Pseudowords	4	4	1.0	320	0.0	0.0
full	pseudo	Pseudowords	5	1	0.0	264	0.0	0.0
full	pseudo	Pseudowords	5	2	0.25	264	0.0	0.0
full	pseudo	Pseudowords	5	3	0.5	264	0.0	0.0
full	pseudo	Pseudowords	5	4	0.75	264	0.0	0.0
full	pseudo	Pseudowords	5	5	1.0	264	0.0	0.0
full	pseudo	Pseudowords	7	1	0.0	264	0.0	0.0
full	pseudo	Pseudowords	7	2	0.16666666666666666	264	0.0	0.0
full	pseudo	Pseudowords	7	3	0.3333333333333333	264	0.0	0.0
full	pseudo	Pseudowords	7	4	0.5	264	0.0	0.0
full	pseudo	Pseudowords	7	5	0.6666666666666666	264	0.0	0.0
full	pseudo	Pseudowords	7	6	0.8333333333333334	264	0.0	0.0
full	pseudo	Pseudowords	7	7	1.0	264	0.0	0.0
full	pseudo	Pseudowords	8	1	0.0	272	0.0	0.0
full	pseudo	Pseudowords	8	2	0.14285714285714285	272	0.0	0.0
full	pseudo	Pseudowords	8	3	0.2857142857142857	272	0.0	0.0
full	pseudo	Pseudowords	8	4	0.42857142857142855	272	0.0	0.0
full	pseudo	Pseudowords	8	5	0.5714285714285714	272	0.0	0.0
full	pseudo	Pseudowords	8	6	0.7142857142857143	272	0.0	0.0
full	pseudo	Pseudowords	8	7	0.8571428571428571	272	0.0	0.0
full	pseudo	Pseudowords	8	8	1.0	272	0.0	0.0
full	pseudo	Pseudowords	9	1	0.0	264	0.0	0.0
full	pseudo	Pseudowords	9	2	0.125	264	0.0	0.0
full	pseudo	Pseudowords	9	3	0.25	264	1.0	0.003787878787878788
full	pseudo	Pseudowords	9	4	0.375	264	0.0	0.0
