seed	epoch	route	item_id	target	prediction	target_length	predicted_length	exact_match	word_error	raw_edit_distance	normalized_edit_distance	substitutions	deletions	insertions	eos_position	source_lexicality	lichtheim_exposure_status	morphology	size	condition	zipf_frequency	frequency_class	gate	lexical_confidence	eos_class
19	155	full	wfe_0117	S UW P ER F L W AH S	S UW P ER F L AH S	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4145865738391876	0.527481734752655	PREMATURE_EOS
19	155	full	wfe_0118	S UW P ER P AW ER Z	S UW P ER P AW Z ER	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4681214988231659	0.636156439781189	EOS_NOT_OBSERVED
19	155	full	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA B S IY	9	9	0	1	2.0	0.2222	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.3804112374782562	0.4560984075069427	EOS_NOT_OBSERVED
20	130	full	wfe_0117	S UW P ER F L W AH S	S UW P ER F L AH S	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.414632111787796	0.5275755524635315	PREMATURE_EOS
20	130	full	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA M K IY	9	9	0	1	1.0	0.1111	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.4202515780925751	0.5391295552253723	EOS_NOT_OBSERVED
21	145	full	wfe_0117	S UW P ER F L W AH S	S UW P ER F L AH S	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4278945028781891	0.5547766089439392	PREMATURE_EOS
22	140	full	wfe_0104	JH EH N ER AH S L IY	JH EH N ER AH L S IY	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.29	low	0.5053743720054626	0.710749089717865	EOS_NOT_OBSERVED
22	140	full	wfe_0382	Z EH P IH L IH N	P EH Z IH L IH N	7	7	0	1	2.0	0.2857	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.29	low	0.3470484912395477	0.3839808404445648	EOS_NOT_OBSERVED
19	155	ltm	wfe_0103	R IY AH SH UH R AH N S	R IY AH SH EH R ZH AH N	9	9	0	1	3.0	0.3333	1	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.27	low	0.4826896786689758	0.6653655767440796	EOS_NOT_OBSERVED
19	155	ltm	wfe_0107	W UH M AH N HH UH D	W UH L AH N F AY L	8	8	0	1	4.0	0.5	4	0	0		real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.4415435194969177	0.5825499296188354	EOS_NOT_OBSERVED
19	155	ltm	wfe_0112	IH M P L AE N T S	IH M P L AE N T IH	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.5	low	0.4885179698467254	0.6770319938659668	EOS_NOT_OBSERVED
19	155	ltm	wfe_0117	S UW P ER F L W AH S	S UW P ER F S AH L	9	8	0	1	3.0	0.3333	2	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4145865738391876	0.527481734752655	PREMATURE_EOS
19	155	ltm	wfe_0118	S UW P ER P AW ER Z	S UW P ER AW N Z	8	7	0	1	2.0	0.25	1	1	0	7.0	real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4681214988231659	0.636156439781189	PREMATURE_EOS
19	155	ltm	wfe_0122	W IH TH HH OW L D	W IH TH R OW L D	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.4931266605854034	0.6862524151802063	EOS_NOT_OBSERVED
19	155	ltm	wfe_0144	T AH P AA G R AH F IY	P AH T AA G R AH F IY	9	9	0	1	2.0	0.2222	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.5097754597663879	0.7195534706115723	EOS_NOT_OBSERVED
19	155	ltm	wfe_0146	Y EH L OW S T OW N	JH EH T R OW S OW N	8	8	0	1	4.0	0.5	2	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.4300400912761688	0.5591562390327454	EOS_NOT_OBSERVED
19	155	ltm	wfe_0162	Y UW N IH S EH K S	Y UW N IH S EH S K	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4239704310894012	0.546752393245697	EOS_NOT_OBSERVED
19	155	ltm	wfe_0163	S K AH L P CH ER AH L	S K AH L P AH L AH N	9	9	0	1	3.0	0.3333	3	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	2.9	low	0.4355950653553009	0.5704705715179443	EOS_NOT_OBSERVED
19	155	ltm	wfe_0165	AH P HH IY V AH L	AH B W IY V AH L	7	7	0	1	2.0	0.2857	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.13	low	0.3555794358253479	0.4026985466480255	EOS_NOT_OBSERVED
19	155	ltm	wfe_0179	AH N T AY M L IY	AH M P AY L AH N	7	7	0	1	5.0	0.7143	5	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.12	low	0.5294610857963562	0.7589905261993408	EOS_NOT_OBSERVED
19	155	ltm	wfe_0186	P ER EH N TH AH S IY Z	P ER EH N W AH L IH S	9	9	0	1	4.0	0.4444	4	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	3.13	low	0.4080349504947662	0.5139526724815369	EOS_NOT_OBSERVED
19	155	ltm	wfe_0197	S T EH D F AE S T	S T EH D F AO R T	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4356298148632049	0.5705412030220032	EOS_NOT_OBSERVED
19	155	ltm	wfe_0211	L UW T EH N AH N T	L EH T AH N T EH N	8	8	0	1	5.0	0.625	3	1	1		real	TRAINED_REAL_EXACT	simple	long	RLSH	4.44	high	0.4549641013145447	0.6096833944320679	EOS_NOT_OBSERVED
19	155	ltm	wfe_0311	T AE B ER N AE K AH L	T AE B ER K Y UW AH L	9	9	0	1	3.0	0.3333	3	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.06	low	0.4860919713973999	0.672176718711853	EOS_NOT_OBSERVED
19	155	ltm	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA B IY	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.3804112374782562	0.4560984075069427	PREMATURE_EOS
19	155	ltm	wfe_0328	S AA K R AH T IY Z	S AO R B AH L IY Z	8	8	0	1	4.0	0.5	4	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.27	low	0.4052118360996246	0.5081023573875427	EOS_NOT_OBSERVED
19	155	ltm	wfe_0333	AH M B IH L IH K AH L	AH B L IH M IH K AH L	9	9	0	1	3.0	0.3333	3	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.02	low	0.4344514310359955	0.5681439638137817	EOS_NOT_OBSERVED
19	155	ltm	wfe_0347	Y OW K AH HH AA M AH	HH Y UW K AA HH AA	8	7	0	1	5.0	0.625	2	2	1	7.0	real	UNTRAINED_REAL	simple	long	RLSL	3.05	low	0.4318258762359619	0.5627972483634949	PREMATURE_EOS
19	155	ltm	wfe_0355	W IH N TH R AH P	W IH N SH AH F	7	6	0	1	3.0	0.4286	2	1	0	6.0	real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.4499810636043548	0.5996264219284058	PREMATURE_EOS
19	155	ltm	wfe_0363	T R AE V AH S T IY	T R AE V AH S T	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	simple	long	RLSL	3.0	low	0.4759269654750824	0.6518166661262512	PREMATURE_EOS
19	155	ltm	wfe_0369	S IH N AH G AO G	S IH N AH G AO P	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.45	low	0.4012734591960907	0.499919056892395	EOS_NOT_OBSERVED
19	155	ltm	wfe_0373	T R AH F AE L G ER	T R AH F AE L B ER	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.02	low	0.359832614660263	0.4119546115398407	EOS_NOT_OBSERVED
