route	population	outcome	n_rows	n_nonzero	nonzero_density	variance
full	LICHTHEIM_CLEAN_all	raw_edit_distance	4248	15	0.0035310734463276836	0.010558585673195935
full	LICHTHEIM_CLEAN_all	word_error	4248	15	0.0035310734463276836	0.003518604966644324
full	clean_pseudo	raw_edit_distance	1564	15	0.00959079283887468	0.028516869329740124
full	clean_pseudo	word_error	1564	15	0.00959079283887468	0.009498809531596472
full	clean_real	raw_edit_distance	2684	0	0.0	0.0
full	clean_real	word_error	2684	0	0.0	0.0
ltm	LICHTHEIM_CLEAN_all	raw_edit_distance	4248	379	0.08921845574387947	0.6146565925784063
ltm	LICHTHEIM_CLEAN_all	word_error	4248	379	0.08921845574387947	0.08125852289855691
ltm	clean_pseudo	raw_edit_distance	1564	365	0.23337595907928388	1.4076651120806378
ltm	clean_pseudo	word_error	1564	365	0.23337595907928388	0.1789116208031083
ltm	clean_real	raw_edit_distance	2684	14	0.005216095380029807	0.043039172354361326
ltm	clean_real	word_error	2684	14	0.005216095380029807	0.005188887729016239
wm	LICHTHEIM_CLEAN_all	raw_edit_distance	4248	21	0.0049435028248587575	0.025325975932841777
wm	LICHTHEIM_CLEAN_all	word_error	4248	21	0.0049435028248587575	0.004919064604679371
wm	clean_pseudo	raw_edit_distance	1564	21	0.013427109974424553	0.06833255931083654
wm	clean_pseudo	word_error	1564	21	0.013427109974424553	0.01324682269215926
wm	clean_real	raw_edit_distance	2684	0	0.0	0.0
wm	clean_real	word_error	2684	0	0.0	0.0
