item_id	success_group	n_seeds_exact	n_seeds	target	target_length	morphology	size	mean_lexical_confidence	mean_gate_auxiliary	n_failed_seeds	mean_substitutions_failed_seeds	mean_deletions_failed_seeds	mean_insertions_failed_seeds	mean_raw_edit_distance_failed_seeds	n_premature_eos_failed_seeds	seed19_exact_match	seed19_prediction	seed19_raw_edit_distance	seed19_eos_class	seed20_exact_match	seed20_prediction	seed20_raw_edit_distance	seed20_eos_class	seed21_exact_match	seed21_prediction	seed21_raw_edit_distance	seed21_eos_class	seed22_exact_match	seed22_prediction	seed22_raw_edit_distance	seed22_eos_class
wfe_0800	ALWAYS_FAILED	0	4	S OW L OW K AH M AO F	9	simple	long	0.4591370299458504	0.3819875195622444	4	2.25	1.0	0.5	3.75	2	0	S OW L OW AH K M AO R	3.0	EOS_NOT_OBSERVED	0	S OW L IY AA K ER JH	6.0	PREMATURE_EOS	0	S OW L OW M AH F AO S	3.0	EOS_NOT_OBSERVED	0	S OW L OW K EY M OW	3.0	PREMATURE_EOS
wfe_0801	MIXED_SUCCESS	2	4	G AA S T R IY EH N T	9	simple	long	0.5170152634382248	0.4096565321087837	2	4.0	0.0	0.0	4.0	0	0	G AA R T IY N EH R T	4.0	EOS_NOT_OBSERVED	1	G AA S T R IY EH N T	0.0	EOS_NOT_OBSERVED	1	G AA S T R IY EH N T	0.0	EOS_NOT_OBSERVED	0	G AA R T S IY EH R K	4.0	EOS_NOT_OBSERVED
wfe_0802	MIXED_SUCCESS	2	4	D IH V EH S T R EY T	9	simple	long	0.5468087494373322	0.4240102171897888	2	1.5	0.0	0.0	1.5	0	0	D IH V EH S T R UW T	1.0	EOS_NOT_OBSERVED	1	D IH V EH S T R EY T	0.0	EOS_NOT_OBSERVED	1	D IH V EH S T R EY T	0.0	EOS_NOT_OBSERVED	0	D IH V EH R T S EY T	2.0	EOS_NOT_OBSERVED
wfe_0803	MIXED_SUCCESS	1	4	S T R UW S AH N AH D	9	simple	long	0.5716198310256004	0.4367293491959572	3	0.6666666666666666	0.6666666666666666	0.0	1.3333333333333333	2	0	S T R UW S AH N D	1.0	PREMATURE_EOS	1	S T R UW S AH N AH D	0.0	EOS_NOT_OBSERVED	0	S T R UW S AH N D	1.0	PREMATURE_EOS	0	S T R UW S AH JH AH L	2.0	EOS_NOT_OBSERVED
wfe_0804	ALWAYS_FAILED	0	4	D AY Y UH R AH L AH M	9	simple	long	0.4940264895558357	0.39867546409368515	4	2.5	0.75	0.5	3.75	1	0	D AY HH AH Y UH L AH	5.0	PREMATURE_EOS	0	D AY AA L Y AH TH AH L	5.0	EOS_NOT_OBSERVED	0	D AY Y UW R AH T AH L	3.0	EOS_NOT_OBSERVED	0	D AY Y UH R AH M AH L	2.0	EOS_NOT_OBSERVED
wfe_0805	MIXED_SUCCESS	1	4	S P EH R IY B AO R M	9	simple	long	0.5438084304332733	0.42277810722589493	3	1.6666666666666667	0.6666666666666666	0.3333333333333333	2.6666666666666665	1	1	S P EH R IY B AO R M	0.0	EOS_NOT_OBSERVED	0	S P EH R IY B AO R K	1.0	EOS_NOT_OBSERVED	0	S P EH R IY B AO L	2.0	PREMATURE_EOS	0	P S EH R IY T AO K L	5.0	EOS_NOT_OBSERVED
wfe_0806	ALWAYS_SUCCESSFUL	4	4	IH N F L AH JH EH S T	9	simple	long	0.5506216809153557	0.4262406677007675	0					0	1	IH N F L AH JH EH S T	0.0	EOS_NOT_OBSERVED	1	IH N F L AH JH EH S T	0.0	EOS_NOT_OBSERVED	1	IH N F L AH JH EH S T	0.0	EOS_NOT_OBSERVED	1	IH N F L AH JH EH S T	0.0	EOS_NOT_OBSERVED
wfe_0807	ALWAYS_SUCCESSFUL	4	4	B AA L EH N T IY N AH	9	simple	long	0.4421473518013954	0.37385818362236023	0					0	1	B AA L EH N T IY N AH	0.0	EOS_NOT_OBSERVED	1	B AA L EH N T IY N AH	0.0	EOS_NOT_OBSERVED	1	B AA L EH N T IY N AH	0.0	EOS_NOT_OBSERVED	1	B AA L EH N T IY N AH	0.0	EOS_NOT_OBSERVED
wfe_0808	MIXED_SUCCESS	1	4	K L AE D W IH CH IY T	9	simple	long	0.5418238341808319	0.4215678796172142	3	2.3333333333333335	0.6666666666666666	0.0	3.0	2	0	K L AE D W IY T IY	3.0	PREMATURE_EOS	1	K L AE D W IH CH IY T	0.0	EOS_NOT_OBSERVED	0	K L AE D CH ER IY CH	4.0	PREMATURE_EOS	0	K L AE D W IH CH IH K	2.0	EOS_NOT_OBSERVED
wfe_0809	MIXED_SUCCESS	2	4	W EH B S IH D AH N T	9	simple	long	0.5899946987628937	0.4452604055404663	2	2.5	0.5	0.0	3.0	1	0	W EH B IH NG T AH N	4.0	PREMATURE_EOS	1	W EH B S IH D AH N T	0.0	EOS_NOT_OBSERVED	0	W EH B D IH S AH N T	2.0	EOS_NOT_OBSERVED	1	W EH B S IH D AH N T	0.0	EOS_NOT_OBSERVED
wfe_0810	ALWAYS_SUCCESSFUL	4	4	L IH V IH N IH S AH L	9	simple	long	0.4675425589084625	0.38589958101511	0					0	1	L IH V IH N IH S AH L	0.0	EOS_NOT_OBSERVED	1	L IH V IH N IH S AH L	0.0	EOS_NOT_OBSERVED	1	L IH V IH N IH S AH L	0.0	EOS_NOT_OBSERVED	1	L IH V IH N IH S AH L	0.0	EOS_NOT_OBSERVED
