population	route	source_lexicality	phoneme_length	n_items	mean_word_error_rate_across_seeds	exposure_mixture
FAITHFUL_WFE_ALL	full	pseudo	3	54	0.0	NOVEL_PSEUDOWORD=47; PSEUDO_TRAINING_WORD=4; PSEUDO_TRAINING_HOMOPHONE=3
FAITHFUL_WFE_ALL	full	pseudo	4	80	0.0	NOVEL_PSEUDOWORD=78; PSEUDO_TRAINING_HOMOPHONE=1; PSEUDO_TRAINING_WORD=1
FAITHFUL_WFE_ALL	full	pseudo	5	66	0.0	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	full	pseudo	7	66	0.0	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	full	pseudo	8	68	0.0	NOVEL_PSEUDOWORD=68
FAITHFUL_WFE_ALL	full	pseudo	9	66	0.056818181818181816	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	full	real	3	115	0.0	TRAINED_REAL_EXACT=100; UNTRAINED_REAL=15
FAITHFUL_WFE_ALL	full	real	4	110	0.0	TRAINED_REAL_EXACT=98; UNTRAINED_REAL=12
FAITHFUL_WFE_ALL	full	real	5	175	0.0	TRAINED_REAL_EXACT=143; UNTRAINED_REAL=31; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	full	real	7	202	0.0012376237623762376	TRAINED_REAL_EXACT=176; UNTRAINED_REAL=25; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	full	real	8	112	0.004464285714285714	TRAINED_REAL_EXACT=88; UNTRAINED_REAL=22; TRAINED_REAL_PRON_VARIANT=2
FAITHFUL_WFE_ALL	full	real	9	86	0.014534883720930232	TRAINED_REAL_EXACT=66; UNTRAINED_REAL=17; TRAINED_REAL_PRON_VARIANT=3
FAITHFUL_WFE_ALL	ltm	pseudo	3	54	0.06481481481481481	NOVEL_PSEUDOWORD=47; PSEUDO_TRAINING_WORD=4; PSEUDO_TRAINING_HOMOPHONE=3
FAITHFUL_WFE_ALL	ltm	pseudo	4	80	0.05	NOVEL_PSEUDOWORD=78; PSEUDO_TRAINING_HOMOPHONE=1; PSEUDO_TRAINING_WORD=1
FAITHFUL_WFE_ALL	ltm	pseudo	5	66	0.12121212121212122	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	ltm	pseudo	7	66	0.22348484848484848	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	ltm	pseudo	8	68	0.3786764705882353	NOVEL_PSEUDOWORD=68
FAITHFUL_WFE_ALL	ltm	pseudo	9	66	0.5340909090909091	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	ltm	real	3	115	0.002173913043478261	TRAINED_REAL_EXACT=100; UNTRAINED_REAL=15
FAITHFUL_WFE_ALL	ltm	real	4	110	0.0	TRAINED_REAL_EXACT=98; UNTRAINED_REAL=12
FAITHFUL_WFE_ALL	ltm	real	5	175	0.025714285714285714	TRAINED_REAL_EXACT=143; UNTRAINED_REAL=31; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	ltm	real	7	202	0.03341584158415842	TRAINED_REAL_EXACT=176; UNTRAINED_REAL=25; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	ltm	real	8	112	0.09151785714285714	TRAINED_REAL_EXACT=88; UNTRAINED_REAL=22; TRAINED_REAL_PRON_VARIANT=2
FAITHFUL_WFE_ALL	ltm	real	9	86	0.11337209302325581	TRAINED_REAL_EXACT=66; UNTRAINED_REAL=17; TRAINED_REAL_PRON_VARIANT=3
FAITHFUL_WFE_ALL	wm	pseudo	3	54	0.0	NOVEL_PSEUDOWORD=47; PSEUDO_TRAINING_WORD=4; PSEUDO_TRAINING_HOMOPHONE=3
FAITHFUL_WFE_ALL	wm	pseudo	4	80	0.0	NOVEL_PSEUDOWORD=78; PSEUDO_TRAINING_HOMOPHONE=1; PSEUDO_TRAINING_WORD=1
FAITHFUL_WFE_ALL	wm	pseudo	5	66	0.0	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	wm	pseudo	7	66	0.0	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	wm	pseudo	8	68	0.007352941176470588	NOVEL_PSEUDOWORD=68
FAITHFUL_WFE_ALL	wm	pseudo	9	66	0.07196969696969698	NOVEL_PSEUDOWORD=66
FAITHFUL_WFE_ALL	wm	real	3	115	0.0	TRAINED_REAL_EXACT=100; UNTRAINED_REAL=15
FAITHFUL_WFE_ALL	wm	real	4	110	0.0	TRAINED_REAL_EXACT=98; UNTRAINED_REAL=12
FAITHFUL_WFE_ALL	wm	real	5	175	0.0	TRAINED_REAL_EXACT=143; UNTRAINED_REAL=31; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	wm	real	7	202	0.0012376237623762376	TRAINED_REAL_EXACT=176; UNTRAINED_REAL=25; TRAINED_REAL_PRON_VARIANT=1
FAITHFUL_WFE_ALL	wm	real	8	112	0.004464285714285714	TRAINED_REAL_EXACT=88; UNTRAINED_REAL=22; TRAINED_REAL_PRON_VARIANT=2
FAITHFUL_WFE_ALL	wm	real	9	86	0.011627906976744186	TRAINED_REAL_EXACT=66; UNTRAINED_REAL=17; TRAINED_REAL_PRON_VARIANT=3
