route	source_lexicality	phoneme_length	seed	n_items	n_word_errors	word_error_rate	mean_raw_edit_distance_severity_only
full	pseudo	3	19	47	0	0.0	0.0
full	pseudo	3	20	47	0	0.0	0.0
full	pseudo	3	21	47	0	0.0	0.0
full	pseudo	3	22	47	0	0.0	0.0
full	pseudo	4	19	78	0	0.0	0.0
full	pseudo	4	20	78	0	0.0	0.0
full	pseudo	4	21	78	0	0.0	0.0
full	pseudo	4	22	78	0	0.0	0.0
full	pseudo	5	19	66	0	0.0	0.0
full	pseudo	5	20	66	0	0.0	0.0
full	pseudo	5	21	66	0	0.0	0.0
full	pseudo	5	22	66	0	0.0	0.0
full	pseudo	7	19	66	0	0.0	0.0
full	pseudo	7	20	66	0	0.0	0.0
full	pseudo	7	21	66	0	0.0	0.0
full	pseudo	7	22	66	0	0.0	0.0
full	pseudo	8	19	68	0	0.0	0.0
full	pseudo	8	20	68	0	0.0	0.0
full	pseudo	8	21	68	0	0.0	0.0
full	pseudo	8	22	68	0	0.0	0.0
full	pseudo	9	19	66	6	0.09090909090909091	0.13636363636363635
full	pseudo	9	20	66	1	0.015151515151515152	0.030303030303030304
full	pseudo	9	21	66	7	0.10606060606060606	0.18181818181818182
full	pseudo	9	22	66	1	0.015151515151515152	0.030303030303030304
full	real	3	19	100	0	0.0	0.0
full	real	3	20	100	0	0.0	0.0
full	real	3	21	100	0	0.0	0.0
full	real	3	22	100	0	0.0	0.0
full	real	4	19	98	0	0.0	0.0
full	real	4	20	98	0	0.0	0.0
full	real	4	21	98	0	0.0	0.0
full	real	4	22	98	0	0.0	0.0
full	real	5	19	143	0	0.0	0.0
full	real	5	20	143	0	0.0	0.0
full	real	5	21	143	0	0.0	0.0
full	real	5	22	143	0	0.0	0.0
full	real	7	19	176	0	0.0	0.0
full	real	7	20	176	0	0.0	0.0
full	real	7	21	176	0	0.0	0.0
full	real	7	22	176	0	0.0	0.0
full	real	8	19	88	0	0.0	0.0
full	real	8	20	88	0	0.0	0.0
full	real	8	21	88	0	0.0	0.0
full	real	8	22	88	0	0.0	0.0
full	real	9	19	66	0	0.0	0.0
full	real	9	20	66	0	0.0	0.0
full	real	9	21	66	0	0.0	0.0
full	real	9	22	66	0	0.0	0.0
ltm	pseudo	3	19	47	4	0.0851063829787234	0.0851063829787234
ltm	pseudo	3	20	47	4	0.0851063829787234	0.14893617021276595
ltm	pseudo	3	21	47	3	0.06382978723404255	0.0851063829787234
ltm	pseudo	3	22	47	3	0.06382978723404255	0.10638297872340426
ltm	pseudo	4	19	78	5	0.0641025641025641	0.1282051282051282
ltm	pseudo	4	20	78	4	0.05128205128205128	0.07692307692307693
ltm	pseudo	4	21	78	3	0.038461538461538464	0.0641025641025641
ltm	pseudo	4	22	78	4	0.05128205128205128	0.10256410256410256
ltm	pseudo	5	19	66	3	0.045454545454545456	0.10606060606060606
ltm	pseudo	5	20	66	11	0.16666666666666666	0.3181818181818182
ltm	pseudo	5	21	66	10	0.15151515151515152	0.22727272727272727
ltm	pseudo	5	22	66	8	0.12121212121212122	0.22727272727272727
ltm	pseudo	7	19	66	20	0.30303030303030304	0.6363636363636364
ltm	pseudo	7	20	66	11	0.16666666666666666	0.3939393939393939
ltm	pseudo	7	21	66	15	0.22727272727272727	0.5454545454545454
ltm	pseudo	7	22	66	13	0.19696969696969696	0.5454545454545454
ltm	pseudo	8	19	68	28	0.4117647058823529	0.7941176470588235
ltm	pseudo	8	20	68	27	0.39705882352941174	0.8529411764705882
ltm	pseudo	8	21	68	25	0.36764705882352944	0.8970588235294118
ltm	pseudo	8	22	68	23	0.3382352941176471	0.8382352941176471
ltm	pseudo	9	19	66	39	0.5909090909090909	1.7878787878787878
ltm	pseudo	9	20	66	30	0.45454545454545453	1.378787878787879
ltm	pseudo	9	21	66	35	0.5303030303030303	1.4242424242424243
ltm	pseudo	9	22	66	37	0.5606060606060606	1.4242424242424243
ltm	real	3	19	100	0	0.0	0.0
ltm	real	3	20	100	0	0.0	0.0
ltm	real	3	21	100	0	0.0	0.0
ltm	real	3	22	100	0	0.0	0.0
ltm	real	4	19	98	0	0.0	0.0
ltm	real	4	20	98	0	0.0	0.0
ltm	real	4	21	98	0	0.0	0.0
ltm	real	4	22	98	0	0.0	0.0
ltm	real	5	19	143	0	0.0	0.0
ltm	real	5	20	143	0	0.0	0.0
ltm	real	5	21	143	0	0.0	0.0
ltm	real	5	22	143	2	0.013986013986013986	0.02097902097902098
ltm	real	7	19	176	0	0.0	0.0
ltm	real	7	20	176	1	0.005681818181818182	0.005681818181818182
ltm	real	7	21	176	2	0.011363636363636364	0.03409090909090909
ltm	real	7	22	176	1	0.005681818181818182	0.005681818181818182
ltm	real	8	19	88	1	0.011363636363636364	0.056818181818181816
ltm	real	8	20	88	0	0.0	0.0
ltm	real	8	21	88	0	0.0	0.0
ltm	real	8	22	88	0	0.0	0.0
ltm	real	9	19	66	3	0.045454545454545456	0.16666666666666666
ltm	real	9	20	66	2	0.030303030303030304	0.06060606060606061
ltm	real	9	21	66	1	0.015151515151515152	0.06060606060606061
ltm	real	9	22	66	1	0.015151515151515152	0.015151515151515152
wm	pseudo	3	19	47	0	0.0	0.0
wm	pseudo	3	20	47	0	0.0	0.0
wm	pseudo	3	21	47	0	0.0	0.0
wm	pseudo	3	22	47	0	0.0	0.0
wm	pseudo	4	19	78	0	0.0	0.0
wm	pseudo	4	20	78	0	0.0	0.0
wm	pseudo	4	21	78	0	0.0	0.0
wm	pseudo	4	22	78	0	0.0	0.0
wm	pseudo	5	19	66	0	0.0	0.0
wm	pseudo	5	20	66	0	0.0	0.0
wm	pseudo	5	21	66	0	0.0	0.0
wm	pseudo	5	22	66	0	0.0	0.0
wm	pseudo	7	19	66	0	0.0	0.0
wm	pseudo	7	20	66	0	0.0	0.0
wm	pseudo	7	21	66	0	0.0	0.0
wm	pseudo	7	22	66	0	0.0	0.0
wm	pseudo	8	19	68	0	0.0	0.0
wm	pseudo	8	20	68	1	0.014705882352941176	0.014705882352941176
wm	pseudo	8	21	68	1	0.014705882352941176	0.029411764705882353
wm	pseudo	8	22	68	0	0.0	0.0
wm	pseudo	9	19	66	4	0.06060606060606061	0.09090909090909091
wm	pseudo	9	20	66	3	0.045454545454545456	0.12121212121212122
wm	pseudo	9	21	66	11	0.16666666666666666	0.3181818181818182
wm	pseudo	9	22	66	1	0.015151515151515152	0.06060606060606061
wm	real	3	19	100	0	0.0	0.0
wm	real	3	20	100	0	0.0	0.0
wm	real	3	21	100	0	0.0	0.0
wm	real	3	22	100	0	0.0	0.0
wm	real	4	19	98	0	0.0	0.0
wm	real	4	20	98	0	0.0	0.0
wm	real	4	21	98	0	0.0	0.0
wm	real	4	22	98	0	0.0	0.0
wm	real	5	19	143	0	0.0	0.0
wm	real	5	20	143	0	0.0	0.0
wm	real	5	21	143	0	0.0	0.0
wm	real	5	22	143	0	0.0	0.0
wm	real	7	19	176	0	0.0	0.0
wm	real	7	20	176	0	0.0	0.0
wm	real	7	21	176	0	0.0	0.0
wm	real	7	22	176	0	0.0	0.0
wm	real	8	19	88	0	0.0	0.0
wm	real	8	20	88	0	0.0	0.0
wm	real	8	21	88	0	0.0	0.0
wm	real	8	22	88	0	0.0	0.0
wm	real	9	19	66	0	0.0	0.0
wm	real	9	20	66	0	0.0	0.0
wm	real	9	21	66	0	0.0	0.0
wm	real	9	22	66	0	0.0	0.0
