ARTIFACT	RESULT_FAMILY	SOURCE_OUTPUT_PATH	CURATED_PATH	TYPE	SOURCE_RUN	SOURCE_COMMIT	SOURCE_CHECKPOINT	SOURCE_CHECKPOINT_SHA256	INCLUDED	EXCLUSION_REASON	NOTES
MULTITASK_FIGURE_SUMMARY.md	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/MULTITASK_FIGURE_SUMMARY.md	figures/multitask_summary_plots/MULTITASK_FIGURE_SUMMARY.md	markdown	(figure package)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		Per-figure question, population, metric, observation, supported interpretation and stated limitation, as written by the generating script
fig1_multitask_local_coexistence.pdf	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig1_multitask_local_coexistence.pdf	figures/multitask_summary_plots/fig1_multitask_local_coexistence.pdf	figure-pdf	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 1 - local three-task coexistence | PDF is the canonical artifact
fig1_multitask_local_coexistence.png	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig1_multitask_local_coexistence.png	figures/multitask_summary_plots/fig1_multitask_local_coexistence.png	figure-png	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 1 - local three-task coexistence | PNG kept for README/web preview only
fig2_local_vs_global_rehearsal.pdf	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig2_local_vs_global_rehearsal.pdf	figures/multitask_summary_plots/fig2_local_vs_global_rehearsal.pdf	figure-pdf	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 2 - local vs full-lexicon rehearsal endpoints | PDF is the canonical artifact
fig2_local_vs_global_rehearsal.png	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig2_local_vs_global_rehearsal.png	figures/multitask_summary_plots/fig2_local_vs_global_rehearsal.png	figure-png	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 2 - local vs full-lexicon rehearsal endpoints | PNG kept for README/web preview only
fig3_global_repetition_preservation.pdf	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig3_global_repetition_preservation.pdf	figures/multitask_summary_plots/fig3_global_repetition_preservation.pdf	figure-pdf	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 3 - global repetition preservation per route | PDF is the canonical artifact
fig3_global_repetition_preservation.png	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig3_global_repetition_preservation.png	figures/multitask_summary_plots/fig3_global_repetition_preservation.png	figure-png	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT Fig 3 - global repetition preservation per route | PNG kept for README/web preview only
fig_backup_ltm_recovery_dynamics.pdf	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig_backup_ltm_recovery_dynamics.pdf	figures/multitask_summary_plots/fig_backup_ltm_recovery_dynamics.pdf	figure-pdf	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT backup - LTM destabilisation and recovery | PDF is the canonical artifact
fig_backup_ltm_recovery_dynamics.png	E_warmstart_multitask	outputs/naming_comprehension_93a577f/multitask_summary_plots/fig_backup_ltm_recovery_dynamics.png	figures/multitask_summary_plots/fig_backup_ltm_recovery_dynamics.png	figure-png	(generated from retained runs)	8370a00b72adadf8db4cab2bb1794da41f5137c0	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		MT backup - LTM destabilisation and recovery | PNG kept for README/web preview only
FIGURE_SUMMARY.md	multi_family	outputs/naming_comprehension_93a577f/summary_plots/FIGURE_SUMMARY.md	figures/summary_plots/FIGURE_SUMMARY.md	markdown	(figure package)	5a79feee9383a631025e3a6ddfe2b0339119a3cb	seed_22_epoch_0140.pt	a15846cbf3c7df88ed289512bbb20cbefd2121d0deec1b39f363932a743da595	yes		Per-figure question, population, metric, observation, supported interpretation and stated limitation, as written by the generating script
