step	steps_repetition	steps_naming	steps_comprehension	loss_repetition	loss_naming	loss_comprehension
2000	333	667	1000	0.02324897032189141	19.82565240130789	1.2444982602596284
5000	833	1666	2501	0.11649208329990506	9.240804693720362	1.2289270566829755
10000	1666	3333	5001	0.17151741787236707	4.074184059596162	1.2211586706638335
20000	3333	6666	10001	0.09805088783890885	2.1620347657577077	1.1678554529190064
40000	6667	13333	20000	0.05103131885688929	1.116524670190927	1.0854289822667131
60000	10000	20000	30000	0.027119996901595965	0.3423124472987121	1.016302195495367
80000	13333	26666	40001	0.0184397261565735	0.04044423147503978	0.975632108213806
100000	16667	33333	50000	0.013064860242606662	0.007923250961981718	0.9466608188929397
120000	20000	40000	60000	0.013216440462147688	0.004358111898844621	0.9251533360242844
140000	23333	46667	70000	0.010804919760872351	0.0031977142203133764	0.907855799382925
160000	26666	53334	80000	0.012061055139950042	0.0026787323122008746	0.8924791174173355
180000	30000	60000	90000	0.012780429533886403	0.0023555683381849897	0.8797364233195781
200000	33333	66667	100000	0.015680636576034	0.0022821184864993543	0.8696392042100429
220000	36667	73333	110000	0.013307372856875138	0.0020447395119311423	0.8600603538572789
240000	40000	80000	120000	0.013865444206723766	0.0019753434481680366	0.8521572444677353
260000	43333	86666	130001	0.012826898064655179	0.0018394597998106035	0.8442681420565772
280000	46667	93333	140000	0.013296243891368012	0.0017111885039262514	0.8374916332544643
300000	50000	100000	150000	0.012708642821195385	0.0016930378508468824	0.831602493262291
320000	53334	106667	159999	0.012983314107091462	0.0015849166932880813	0.8262143720387339
340000	56667	113334	169999	0.013955560483256656	0.0015915513532147514	0.8213230420589447
360000	60000	120000	180000	0.015519809965538842	0.0015649872991464447	0.8163100607620932
380000	63334	126667	189999	0.012842687532023164	0.001426747521677226	0.8111546943993411
400000	66667	133333	200000	0.015503683033157023	0.0015565071964986845	0.8085655736608537
